rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2014-11-14,Valparaiso,,East Tennessee State,REG (Non-Conf),W 90-76,,15,3,5,0.6,1,1,1.0,2,4,0.5,0.7,4,4,1.0,4,1,5,1,1,0,1,0,11,12.5,H,1,1,david-skara-1,David Skara,2015
2,2,2,2014-11-16,Valparaiso,@,Missouri,REG (Non-Conf),L 41-56,,18,2,4,0.5,1,2,0.5,1,2,0.5,0.625,0,0,,0,1,1,1,0,1,1,0,5,3.7,A,0,1,david-skara-1,David Skara,2015
3,3,3,2014-11-19,Valparaiso,,IU South Bend,REG (Non-Conf),W 91-55,,25,6,9,0.667,2,3,0.667,4,6,0.667,0.778,3,4,0.75,2,3,5,6,1,0,0,2,17,19.4,H,1,1,david-skara-1,David Skara,2015
4,4,4,2014-11-21,Valparaiso,N,Arkansas–Pine Bluff,REG (Non-Conf),W 59-46,,16,0,5,0.0,0,3,0.0,0,2,0.0,0.0,0,0,,0,4,4,0,0,0,1,1,0,-3.7,N,1,1,david-skara-1,David Skara,2015
5,5,5,2014-11-23,Valparaiso,N,Maine,REG (Non-Conf),W 93-70,,23,4,6,0.667,2,3,0.667,2,3,0.667,0.833,0,0,,1,2,3,1,1,2,3,5,10,6.8,N,1,1,david-skara-1,David Skara,2015
6,6,6,2014-11-28,Valparaiso,N,Drake,REG (Non-Conf),W 66-46,,15,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,1,0,1,2,0,0,1,2,2,1.3,N,1,1,david-skara-1,David Skara,2015
7,7,7,2014-11-29,Valparaiso,N,Murray State,REG (Non-Conf),W 93-58,,18,3,4,0.75,0,1,0.0,3,3,1.0,0.75,4,4,1.0,0,2,2,0,0,1,0,2,10,8.9,N,1,1,david-skara-1,David Skara,2015
8,8,8,2014-11-30,Valparaiso,N,Portland,REG (Non-Conf),W 70-55,,20,3,5,0.6,1,1,1.0,2,4,0.5,0.7,0,1,0.0,2,1,3,1,0,1,3,3,7,3.2,N,1,1,david-skara-1,David Skara,2015
9,9,9,2014-12-03,Valparaiso,@,Eastern Kentucky,REG (Non-Conf),W 72-66,,20,1,4,0.25,0,3,0.0,1,1,1.0,0.25,2,2,1.0,2,7,9,3,1,0,2,2,4,5.4,A,1,1,david-skara-1,David Skara,2015
10,10,10,2014-12-06,Valparaiso,,New Mexico,REG (Non-Conf),L 46-63,,26,2,4,0.5,0,1,0.0,2,3,0.667,0.5,2,2,1.0,1,3,4,1,1,0,2,5,6,3.3,H,0,1,david-skara-1,David Skara,2015
11,11,11,2014-12-10,Valparaiso,,Trinity International (IL),REG (Non-Conf),W 79-54,*,23,5,8,0.625,0,1,0.0,5,7,0.714,0.625,1,2,0.5,1,3,4,3,1,2,0,1,11,12.7,H,1,1,david-skara-1,David Skara,2015
12,12,12,2014-12-13,Valparaiso,,Ball State,REG (Non-Conf),W 65-62,,21,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,2,2,4,2,0,0,0,1,0,1.6,H,1,1,david-skara-1,David Skara,2015
13,13,13,2014-12-20,Valparaiso,@,IPFW,REG (Non-Conf),W 75-72,,20,2,5,0.4,1,1,1.0,1,4,0.25,0.5,0,0,,1,3,4,0,0,0,2,1,5,1.5,A,1,1,david-skara-1,David Skara,2015
14,14,14,2014-12-21,Valparaiso,,Goshen,REG (Non-Conf),W 82-55,,25,4,4,1.0,1,1,1.0,3,3,1.0,1.125,0,1,0.0,1,6,7,4,1,0,2,4,9,10.1,H,1,1,david-skara-1,David Skara,2015
15,15,15,2014-12-29,Valparaiso,@,James Madison,REG (Non-Conf),W 79-52,,27,0,4,0.0,0,3,0.0,0,1,0.0,0.0,0,0,,0,2,2,2,0,0,0,2,0,-1.6,A,1,1,david-skara-1,David Skara,2015
16,16,16,2015-01-02,Valparaiso,@,Oakland,REG (Conf),L 75-89 (OT),,17,2,3,0.667,0,1,0.0,2,2,1.0,0.667,0,0,,1,2,3,0,0,0,4,4,4,-1.6,A,0,1,david-skara-1,David Skara,2015
17,17,17,2015-01-04,Valparaiso,,Youngstown State,REG (Conf),W 79-64,,15,2,5,0.4,0,2,0.0,2,3,0.667,0.4,1,1,1.0,0,2,2,1,1,0,0,0,5,4.6,H,1,1,david-skara-1,David Skara,2015
18,18,18,2015-01-08,Valparaiso,,Illinois–Chicago,REG (Conf),W 85-56,,15,1,4,0.25,0,2,0.0,1,2,0.5,0.25,3,3,1.0,0,2,2,2,1,0,0,5,5,3.6,H,1,1,david-skara-1,David Skara,2015
19,19,19,2015-01-10,Valparaiso,,Cleveland State,REG (Conf),W 58-56,,13,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,1,1,1,0,0,2,0,0,-1.7,H,1,1,david-skara-1,David Skara,2015
20,20,20,2015-01-17,Valparaiso,@,Wright State,REG (Conf),W 66-56,,23,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,1,6,7,1,0,0,2,0,2,1.5,A,1,1,david-skara-1,David Skara,2015
21,21,21,2015-01-20,Valparaiso,@,Youngstown State,REG (Conf),W 77-62,,23,1,4,0.25,0,1,0.0,1,3,0.333,0.25,0,0,,2,4,6,1,0,0,2,2,2,0.1,A,1,1,david-skara-1,David Skara,2015
22,22,22,2015-01-23,Valparaiso,@,Green Bay,REG (Conf),L 50-51,,22,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,2,2,1,0,0,4,3,2,-2.9,A,0,1,david-skara-1,David Skara,2015
23,23,23,2015-01-26,Valparaiso,,Milwaukee,REG (Conf),W 73-48,,20,4,5,0.8,1,1,1.0,3,4,0.75,0.9,5,5,1.0,0,3,3,1,0,0,1,5,14,10.7,H,1,1,david-skara-1,David Skara,2015
24,24,24,2015-01-31,Valparaiso,@,Illinois–Chicago,REG (Conf),W 70-65,,20,1,3,0.333,0,2,0.0,1,1,1.0,0.333,1,2,0.5,1,1,2,4,1,2,1,2,3,5.3,A,1,1,david-skara-1,David Skara,2015
25,25,25,2015-02-04,Valparaiso,,Detroit Mercy,REG (Conf),W 78-70,,17,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,2,0,2,4,3,0,2,0,4,7.9,H,1,1,david-skara-1,David Skara,2015
