rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,31,1,2014-11-14,Eastern Washington,,Texas Southern,REG (Non-Conf),W 86-62,*,31,4,8,0.5,1,4,0.25,3,4,0.75,0.563,1,1,1.0,2,10,12,9,4,2,1,1,10,20.7,H,1,1,drew-brandon-1,Drew Brandon,2015
2,32,2,2014-11-17,Eastern Washington,,Utah Valley,REG (Non-Conf),W 75-50,*,30,5,8,0.625,0,2,0.0,5,6,0.833,0.625,0,0,,1,5,6,3,0,1,3,1,10,8.0,H,1,1,drew-brandon-1,Drew Brandon,2015
3,33,4,2014-11-22,Eastern Washington,@,SMU,REG (Non-Conf),L 68-77,*,32,3,6,0.5,0,2,0.0,3,4,0.75,0.5,0,0,,4,3,7,5,1,0,2,2,6,8.4,A,0,1,drew-brandon-1,Drew Brandon,2015
4,34,5,2014-11-24,Eastern Washington,@,Indiana,REG (Non-Conf),W 88-86,*,30,10,16,0.625,0,2,0.0,10,14,0.714,0.625,7,8,0.875,2,6,8,4,5,0,3,3,27,26.2,A,1,1,drew-brandon-1,Drew Brandon,2015
5,35,6,2014-11-26,Eastern Washington,,Northern Kentucky,REG (Non-Conf),W 81-60,*,33,4,7,0.571,0,2,0.0,4,5,0.8,0.571,3,3,1.0,2,3,5,4,2,0,0,1,11,14.4,H,1,1,drew-brandon-1,Drew Brandon,2015
6,36,7,2014-11-30,Eastern Washington,,Eastern Ore.,REG (Non-Conf),W 104-87,*,28,0,3,0.0,0,0,,0,3,0.0,0.0,0,0,,2,6,8,4,1,0,1,0,0,3.9,H,1,1,drew-brandon-1,Drew Brandon,2015
7,37,8,2014-12-06,Eastern Washington,@,Seattle,REG (Non-Conf),W 87-75,*,36,2,4,0.5,0,0,,2,4,0.5,0.5,1,1,1.0,3,9,12,11,0,0,2,4,5,11.9,A,1,1,drew-brandon-1,Drew Brandon,2015
8,38,9,2014-12-11,Eastern Washington,@,San Francisco,REG (Non-Conf),W 81-76,*,23,0,7,0.0,0,1,0.0,0,6,0.0,0.0,1,2,0.5,2,3,5,0,3,0,3,4,1,-3.6,A,1,1,drew-brandon-1,Drew Brandon,2015
9,39,10,2014-12-14,Eastern Washington,@,Washington,REG (Non-Conf),L 77-81,*,32,6,13,0.462,0,2,0.0,6,11,0.545,0.462,4,4,1.0,3,6,9,3,1,0,2,4,16,12.7,A,0,1,drew-brandon-1,Drew Brandon,2015
10,40,11,2014-12-16,Eastern Washington,@,Sam Houston State,REG (Non-Conf),L 52-76,*,27,2,6,0.333,0,2,0.0,2,4,0.5,0.333,0,0,,0,5,5,1,0,0,2,6,4,-1.6,A,0,1,drew-brandon-1,Drew Brandon,2015
11,41,12,2014-12-19,Eastern Washington,@,California,REG (Non-Conf),L 67-78,*,29,1,7,0.143,1,2,0.5,0,5,0.0,0.214,1,2,0.5,1,2,3,1,1,0,1,5,4,-0.9,A,0,1,drew-brandon-1,Drew Brandon,2015
12,42,13,2014-12-22,Eastern Washington,,Lewis & Clark,REG (Non-Conf),W 87-81,*,38,1,6,0.167,0,2,0.0,1,4,0.25,0.167,0,1,0.0,2,3,5,11,3,0,1,1,2,9.4,H,1,1,drew-brandon-1,Drew Brandon,2015
13,43,14,2015-01-01,Eastern Washington,,Weber State,REG (Conf),W 84-78,*,33,2,7,0.286,0,1,0.0,2,6,0.333,0.286,3,4,0.75,3,5,8,6,1,0,2,2,7,8.5,H,1,1,drew-brandon-1,Drew Brandon,2015
14,44,15,2015-01-03,Eastern Washington,,Idaho State,REG (Conf),W 65-57,*,7,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,1,0,0,1,0,0,-1.0,H,1,1,drew-brandon-1,Drew Brandon,2015
15,45,16,2015-01-10,Eastern Washington,@,Idaho,REG (Conf),W 89-86,*,34,3,7,0.429,1,3,0.333,2,4,0.5,0.5,4,4,1.0,4,4,8,9,2,0,2,4,11,16.0,A,1,1,drew-brandon-1,Drew Brandon,2015
16,46,17,2015-01-15,Eastern Washington,@,Portland State,REG (Conf),W 92-85,*,34,1,5,0.2,0,1,0.0,1,4,0.25,0.2,2,2,1.0,1,7,8,9,2,0,5,2,4,6.2,A,1,1,drew-brandon-1,Drew Brandon,2015
17,47,18,2015-01-17,Eastern Washington,@,Sacramento State,REG (Conf),L 77-90,*,28,6,8,0.75,1,3,0.333,5,5,1.0,0.813,0,0,,3,3,6,3,1,0,3,5,13,10.9,A,0,1,drew-brandon-1,Drew Brandon,2015
18,48,19,2015-01-22,Eastern Washington,,Northern Colorado,REG (Conf),W 95-85,*,33,4,8,0.5,1,2,0.5,3,6,0.5,0.563,5,5,1.0,3,8,11,4,0,1,4,2,14,13.2,H,1,1,drew-brandon-1,Drew Brandon,2015
19,49,20,2015-01-24,Eastern Washington,,North Dakota,REG (Conf),W 102-80,*,35,3,7,0.429,0,2,0.0,3,5,0.6,0.429,5,6,0.833,2,6,8,13,4,0,3,2,11,19.4,H,1,1,drew-brandon-1,Drew Brandon,2015
20,50,21,2015-01-31,Eastern Washington,,Idaho,REG (Conf),W 98-95 (OT),*,44,5,11,0.455,2,6,0.333,3,5,0.6,0.545,6,8,0.75,5,4,9,10,1,2,1,4,18,23.0,H,1,1,drew-brandon-1,Drew Brandon,2015
21,51,22,2015-02-05,Eastern Washington,@,Montana,REG (Conf),W 75-69,*,40,10,20,0.5,3,7,0.429,7,13,0.538,0.575,4,6,0.667,1,5,6,5,2,0,1,1,27,22.5,A,1,1,drew-brandon-1,Drew Brandon,2015
22,52,23,2015-02-07,Eastern Washington,@,Montana State,REG (Conf),W 61-51,*,39,4,13,0.308,0,4,0.0,4,9,0.444,0.308,7,8,0.875,4,8,12,0,6,0,1,0,15,17.3,A,1,1,drew-brandon-1,Drew Brandon,2015
23,53,24,2015-02-12,Eastern Washington,,Sacramento State,REG (Conf),W 64-61,*,40,3,9,0.333,2,5,0.4,1,4,0.25,0.444,5,5,1.0,0,5,5,3,1,0,2,3,13,9.3,H,1,1,drew-brandon-1,Drew Brandon,2015
24,54,25,2015-02-14,Eastern Washington,,Portland State,REG (Conf),L 66-68,*,39,3,11,0.273,1,4,0.25,2,7,0.286,0.318,2,2,1.0,1,5,6,2,2,0,4,1,9,3.7,H,0,1,drew-brandon-1,Drew Brandon,2015
25,55,26,2015-02-19,Eastern Washington,@,Southern Utah,REG (Conf),W 78-75,*,38,2,7,0.286,0,2,0.0,2,5,0.4,0.286,6,10,0.6,2,1,3,6,0,0,0,4,10,8.6,A,1,1,drew-brandon-1,Drew Brandon,2015
26,56,27,2015-02-21,Eastern Washington,@,Northern Arizona,REG (Conf),L 69-73,*,30,2,3,0.667,1,1,1.0,1,2,0.5,0.833,0,0,,1,5,6,2,3,2,2,4,5,8.1,A,0,1,drew-brandon-1,Drew Brandon,2015
27,57,28,2015-02-26,Eastern Washington,,Montana State,REG (Conf),W 92-68,*,30,0,3,0.0,0,0,,0,3,0.0,0.0,6,8,0.75,2,10,12,6,2,0,2,1,6,11.3,H,1,1,drew-brandon-1,Drew Brandon,2015
28,58,29,2015-02-28,Eastern Washington,,Montana,REG (Conf),L 76-77,*,40,6,12,0.5,3,4,0.75,3,8,0.375,0.625,0,0,,5,4,9,5,3,1,0,0,15,20.9,H,0,1,drew-brandon-1,Drew Brandon,2015
29,59,30,2015-03-05,Eastern Washington,@,Idaho State,REG (Conf),W 85-81,*,36,4,11,0.364,1,4,0.25,3,7,0.429,0.409,2,2,1.0,4,6,10,5,1,0,0,2,11,13.2,A,1,1,drew-brandon-1,Drew Brandon,2015
30,60,31,2015-03-07,Eastern Washington,@,Weber State,REG (Conf),W 79-71 (OT),*,44,3,9,0.333,0,3,0.0,3,6,0.5,0.333,1,2,0.5,1,7,8,3,2,0,1,2,7,6.6,A,1,1,drew-brandon-1,Drew Brandon,2015
31,61,32,2015-03-12,Eastern Washington,N,Idaho,CTOURN,W 91-83,*,38,3,7,0.429,0,4,0.0,3,3,1.0,0.429,2,3,0.667,1,1,2,1,2,0,1,2,8,5.8,N,1,0,drew-brandon-1,Drew Brandon,2015
32,62,33,2015-03-13,Eastern Washington,N,Sacramento State,CTOURN,W 91-83,*,31,3,5,0.6,3,4,0.75,0,1,0.0,0.9,0,0,,0,5,5,8,2,0,1,3,9,13.6,N,1,0,drew-brandon-1,Drew Brandon,2015
33,63,34,2015-03-14,Eastern Washington,@,Montana,CTOURN,W 69-65,*,37,6,9,0.667,1,3,0.333,5,6,0.833,0.722,3,3,1.0,0,7,7,2,1,1,5,2,16,11.5,A,1,0,drew-brandon-1,Drew Brandon,2015
34,64,35,2015-03-19,Eastern Washington,N,Georgetown,ROUND-64,L 74-84,*,40,2,9,0.222,0,4,0.0,2,5,0.4,0.222,0,0,,0,2,2,1,2,0,0,1,4,1.4,N,0,0,drew-brandon-1,Drew Brandon,2015
