rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,50,1,2014-11-14,Indiana,,Mississippi Valley State,REG (Non-Conf),W 116-65,*,21,3,4,0.75,0,0,3,4,0.75,0.75,3,7,0.429,2,10,12,1,0,1,1,1,9,10.2,H,1,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
2,51,2,2014-11-17,Indiana,,Texas Southern,REG (Non-Conf),W 83-64,*,26,5,8,0.625,0,0,5,8,0.625,0.625,2,4,0.5,2,3,5,1,1,5,3,3,12,10.9,H,1,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
3,52,3,2014-11-20,Indiana,,SMU,REG (Non-Conf),W 74-68,*,29,1,2,0.5,0,0,1,2,0.5,0.5,1,2,0.5,0,0,0,0,0,1,1,2,3,0.5,H,1,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
4,53,4,2014-11-22,Indiana,,Lamar,REG (Non-Conf),W 85-72,*,24,4,6,0.667,0,0,4,6,0.667,0.667,3,8,0.375,3,1,4,0,0,0,1,2,11,7.0,H,1,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
5,54,5,2014-11-24,Indiana,,Eastern Washington,REG (Non-Conf),L 86-88,*,14,1,1,1.0,0,0,1,1,1.0,1.0,2,2,1.0,0,1,1,0,1,1,1,3,4,3.5,H,0,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
6,55,6,2014-11-28,Indiana,,UNC Greensboro,REG (Non-Conf),W 87-79,*,23,3,3,1.0,0,0,3,3,1.0,1.0,4,5,0.8,2,4,6,0,1,0,0,2,10,11.5,H,1,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
7,56,7,2014-12-02,Indiana,,Pittsburgh,REG (Non-Conf),W 81-69,*,17,4,6,0.667,0,0,4,6,0.667,0.667,0,0,,3,1,4,0,1,1,0,4,8,7.9,H,1,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
8,57,8,2014-12-06,Indiana,,Savannah State,REG (Non-Conf),W 95-49,*,15,1,1,1.0,0,0,1,1,1.0,1.0,0,0,,1,2,3,0,0,0,0,3,2,1.8,H,1,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
9,58,9,2014-12-09,Indiana,N,Louisville,REG (Non-Conf),L 74-94,*,20,5,6,0.833,0,0,5,6,0.833,0.833,0,0,,1,3,4,0,0,1,1,4,10,7.5,N,0,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
10,59,10,2014-12-13,Indiana,,Grand Canyon,REG (Non-Conf),W 94-66,*,22,4,7,0.571,0,0,4,7,0.571,0.571,3,5,0.6,3,4,7,1,0,2,1,2,11,10.5,H,1,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
11,60,11,2014-12-20,Indiana,N,Butler,REG (Non-Conf),W 82-73,*,30,3,6,0.5,0,0,3,6,0.5,0.5,2,2,1.0,2,7,9,0,0,4,3,2,8,7.5,N,1,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
12,61,12,2014-12-22,Indiana,,New Orleans,REG (Non-Conf),W 79-59,*,25,4,6,0.667,0,0,4,6,0.667,0.667,4,6,0.667,2,4,6,1,0,4,1,1,12,13.3,H,1,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
13,62,13,2014-12-27,Indiana,N,Georgetown,REG (Non-Conf),L 87-91 (OT),*,29,1,5,0.2,0,0,1,5,0.2,0.2,0,1,0.0,1,5,6,0,0,3,1,3,2,0.6,N,0,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
14,63,14,2014-12-31,Indiana,@,Nebraska,REG (Conf),W 70-65,*,22,5,8,0.625,0,0,5,8,0.625,0.625,2,5,0.4,1,9,10,1,1,0,2,3,12,9.1,A,1,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
15,64,15,2015-01-05,Indiana,@,Michigan State,REG (Conf),L 50-70,*,10,0,1,0.0,0,0,0,1,0.0,0.0,0,0,,0,1,1,0,0,1,0,2,0,-0.5,A,0,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
16,65,16,2015-01-10,Indiana,,Ohio State,REG (Conf),W 69-66,*,8,0,1,0.0,0,0,0,1,0.0,0.0,4,4,1.0,2,0,2,0,0,1,1,5,4,2.4,H,1,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
17,66,24,2015-02-08,Indiana,,Michigan,REG (Conf),W 70-67,,4,0,0,,0,0,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,0.3,H,1,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
18,67,25,2015-02-11,Indiana,@,Maryland,REG (Conf),L 66-68,,11,2,4,0.5,0,0,2,4,0.5,0.5,0,0,,2,1,3,0,0,0,1,1,4,2.3,A,0,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
19,68,26,2015-02-15,Indiana,,Minnesota,REG (Conf),W 90-71,,14,1,1,1.0,0,0,1,1,1.0,1.0,1,2,0.5,1,1,2,0,0,0,1,2,3,1.5,H,1,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
20,69,27,2015-02-19,Indiana,,Purdue,REG (Conf),L 63-67,*,17,5,7,0.714,0,0,5,7,0.714,0.714,0,2,0.0,1,0,1,0,0,2,0,4,10,6.8,H,0,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
21,70,28,2015-02-22,Indiana,@,Rutgers,REG (Conf),W 84-54,*,22,3,3,1.0,0,0,3,3,1.0,1.0,7,8,0.875,1,4,5,1,0,1,2,2,13,12.2,A,1,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
22,71,29,2015-02-25,Indiana,@,Northwestern,REG (Conf),L 65-72,*,25,1,4,0.25,0,0,1,4,0.25,0.25,2,4,0.5,2,2,4,0,0,2,3,2,4,0.4,A,0,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
23,72,30,2015-03-03,Indiana,,Iowa,REG (Conf),L 63-77,*,22,2,4,0.5,0,0,2,4,0.5,0.5,0,1,0.0,1,3,4,0,1,1,0,3,4,3.7,H,0,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
24,73,31,2015-03-07,Indiana,,Michigan State,REG (Conf),L 72-74,*,19,3,4,0.75,0,0,3,4,0.75,0.75,0,0,,2,1,3,0,0,1,1,1,6,5.4,H,0,1,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
25,74,32,2015-03-12,Indiana,N,Northwestern,CTOURN,W 71-56,*,17,1,5,0.2,0,0,1,5,0.2,0.2,1,3,0.333,1,3,4,0,0,1,1,2,3,-0.4,N,1,0,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
26,75,34,2015-03-20,Indiana,N,Wichita State,ROUND-64,L 76-81,,19,1,3,0.333,0,0,1,3,0.333,0.333,1,2,0.5,1,3,4,0,0,0,2,2,3,-0.3,N,0,0,hanner-mosquera-perea-1,Hanner Mosquera-Perea,2015
