rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,71,1,2014-11-14,Maryland,,Wagner,REG (Non-Conf),W 82-48,*,25,5,7,0.714,0,2,0.0,5,5,1.0,0.714,6,8,0.75,2,7,9,6,0,0,2,1,16,17.6,H,1,1,jake-layman-1,Jake Layman,2015
2,72,2,2014-11-17,Maryland,,Central Connecticut State,REG (Non-Conf),W 93-57,*,23,5,7,0.714,2,4,0.5,3,3,1.0,0.857,2,2,1.0,0,4,4,1,2,0,0,2,14,14.2,H,1,1,jake-layman-1,Jake Layman,2015
3,73,3,2014-11-20,Maryland,,Fordham,REG (Non-Conf),W 66-50,*,21,5,6,0.833,2,2,1.0,3,4,0.75,1.0,0,3,0.0,0,4,4,0,1,0,3,2,12,7.0,H,1,1,jake-layman-1,Jake Layman,2015
4,74,4,2014-11-24,Maryland,N,Arizona State,REG (Non-Conf),W 78-73,*,33,5,8,0.625,0,0,,5,8,0.625,0.625,2,2,1.0,0,4,4,1,0,0,1,1,12,8.9,N,1,1,jake-layman-1,Jake Layman,2015
5,75,5,2014-11-25,Maryland,N,Iowa State,REG (Non-Conf),W 72-63,*,26,4,8,0.5,2,4,0.5,2,4,0.5,0.625,5,7,0.714,1,5,6,2,0,0,2,4,15,10.2,N,1,1,jake-layman-1,Jake Layman,2015
6,76,6,2014-11-28,Maryland,,Monmouth,REG (Non-Conf),W 61-56,*,33,4,10,0.4,1,3,0.333,3,7,0.429,0.45,5,6,0.833,2,2,4,1,1,0,2,0,14,9.9,H,1,1,jake-layman-1,Jake Layman,2015
7,77,7,2014-11-30,Maryland,,VMI,REG (Non-Conf),W 95-77,*,27,5,11,0.455,1,3,0.333,4,8,0.5,0.5,8,11,0.727,2,7,9,1,1,1,5,4,19,11.4,H,1,1,jake-layman-1,Jake Layman,2015
8,78,8,2014-12-03,Maryland,,Virginia,REG (Non-Conf),L 65-76,*,34,4,9,0.444,0,4,0.0,4,5,0.8,0.444,6,8,0.75,1,4,5,1,0,0,1,3,14,8.9,H,0,1,jake-layman-1,Jake Layman,2015
9,79,9,2014-12-06,Maryland,,Winthrop,REG (Non-Conf),W 82-62,*,35,4,11,0.364,2,5,0.4,2,6,0.333,0.455,11,14,0.786,1,5,6,2,0,2,2,3,21,15.5,H,1,1,jake-layman-1,Jake Layman,2015
10,80,10,2014-12-10,Maryland,,North Carolina Central,REG (Non-Conf),W 67-56,*,27,6,9,0.667,3,5,0.6,3,4,0.75,0.833,0,0,,0,3,3,4,0,0,1,0,15,13.8,H,1,1,jake-layman-1,Jake Layman,2015
11,81,11,2014-12-13,Maryland,,USC Upstate,REG (Non-Conf),W 67-57,*,32,6,15,0.4,2,7,0.286,4,8,0.5,0.467,3,5,0.6,0,3,3,2,2,1,2,1,17,10.7,H,1,1,jake-layman-1,Jake Layman,2015
12,82,12,2014-12-21,Maryland,@,Oklahoma State,REG (Non-Conf),W 73-64,*,33,7,12,0.583,3,5,0.6,4,7,0.571,0.708,4,4,1.0,1,10,11,2,3,0,3,2,21,19.7,A,1,1,jake-layman-1,Jake Layman,2015
13,83,13,2014-12-27,Maryland,,Oakland,REG (Non-Conf),W 72-56,*,30,6,9,0.667,1,2,0.5,5,7,0.714,0.722,2,3,0.667,2,10,12,1,0,0,0,0,15,15.8,H,1,1,jake-layman-1,Jake Layman,2015
14,84,14,2014-12-30,Maryland,@,Michigan State,REG (Conf),W 68-66 (2OT),*,36,2,4,0.5,0,2,0.0,2,2,1.0,0.5,0,2,0.0,2,7,9,0,2,2,2,4,4,4.5,A,1,1,jake-layman-1,Jake Layman,2015
15,85,15,2015-01-03,Maryland,,Minnesota,REG (Conf),W 70-58,*,29,5,7,0.714,2,4,0.5,3,3,1.0,0.857,0,0,,1,5,6,0,1,2,4,2,12,8.9,H,1,1,jake-layman-1,Jake Layman,2015
16,86,16,2015-01-07,Maryland,@,Illinois,REG (Conf),L 57-64,*,19,4,6,0.667,1,2,0.5,3,4,0.75,0.75,1,2,0.5,1,3,4,1,0,1,2,4,10,6.4,A,0,1,jake-layman-1,Jake Layman,2015
17,87,17,2015-01-10,Maryland,@,Purdue,REG (Conf),W 69-60,*,31,2,11,0.182,1,4,0.25,1,7,0.143,0.227,9,11,0.818,3,5,8,0,2,3,0,3,14,12.8,A,1,1,jake-layman-1,Jake Layman,2015
18,88,18,2015-01-14,Maryland,,Rutgers,REG (Conf),W 73-65,*,29,3,12,0.25,1,6,0.167,2,6,0.333,0.292,5,7,0.714,2,11,13,3,1,0,3,0,12,8.8,H,1,1,jake-layman-1,Jake Layman,2015
19,89,19,2015-01-17,Maryland,,Michigan State,REG (Conf),W 75-59,*,28,5,8,0.625,2,2,1.0,3,6,0.5,0.75,11,12,0.917,4,8,12,1,0,0,2,2,23,22.1,H,1,1,jake-layman-1,Jake Layman,2015
20,90,20,2015-01-22,Maryland,@,Indiana,REG (Conf),L 70-89,*,26,6,10,0.6,1,3,0.333,5,7,0.714,0.65,0,0,,1,3,4,0,2,2,2,0,13,11.4,A,0,1,jake-layman-1,Jake Layman,2015
21,91,21,2015-01-25,Maryland,,Northwestern,REG (Conf),W 68-67,*,36,3,7,0.429,2,3,0.667,1,4,0.25,0.571,0,0,,4,4,8,2,3,0,0,3,8,11.5,H,1,1,jake-layman-1,Jake Layman,2015
22,92,22,2015-01-29,Maryland,@,Ohio State,REG (Conf),L 56-80,*,28,4,12,0.333,1,5,0.2,3,7,0.429,0.375,1,1,1.0,1,5,6,3,0,0,1,1,10,6.1,A,0,1,jake-layman-1,Jake Layman,2015
23,93,23,2015-02-04,Maryland,,Penn State,REG (Conf),W 64-58,*,33,5,12,0.417,0,1,0.0,5,11,0.455,0.417,0,0,,1,8,9,1,1,1,2,2,10,6.3,H,1,1,jake-layman-1,Jake Layman,2015
