rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,18,1,2014-11-14,Oregon,,Coppin State,REG (Non-Conf),W 107-65,,18,3,6,0.5,1,2,0.5,2,4,0.5,0.583,0,0,,1,1,2,2,2,0,1,2,7,6.6,H,1,1,jalil-abdul-bassit-1,Jalil Abdul-Bassit,2015
2,19,2,2014-11-17,Oregon,,Detroit Mercy,REG (Non-Conf),W 83-66,,19,6,8,0.75,3,5,0.6,3,3,1.0,0.938,2,3,0.667,3,3,6,1,0,0,2,1,17,14.7,H,1,1,jalil-abdul-bassit-1,Jalil Abdul-Bassit,2015
3,20,3,2014-11-21,Oregon,,Toledo,REG (Non-Conf),W 78-68,,17,2,7,0.286,1,3,0.333,1,4,0.25,0.357,0,0,,0,0,0,0,0,1,0,1,5,1.2,H,1,1,jalil-abdul-bassit-1,Jalil Abdul-Bassit,2015
4,21,4,2014-11-24,Oregon,N,Michigan,REG (Non-Conf),L 63-70,,19,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,1,1,2,0,1,0,0,4,3,2.4,N,0,1,jalil-abdul-bassit-1,Jalil Abdul-Bassit,2015
5,22,5,2014-11-25,Oregon,N,VCU,REG (Non-Conf),L 63-77,,18,3,8,0.375,1,5,0.2,2,3,0.667,0.438,0,0,,0,1,1,1,3,0,2,3,7,3.4,N,0,1,jalil-abdul-bassit-1,Jalil Abdul-Bassit,2015
6,23,6,2014-11-30,Oregon,,Portland State,REG (Non-Conf),W 81-59,,23,6,11,0.545,5,8,0.625,1,3,0.333,0.773,2,2,1.0,0,2,2,2,0,1,0,2,19,15.6,H,1,1,jalil-abdul-bassit-1,Jalil Abdul-Bassit,2015
7,24,7,2014-12-03,Oregon,,Concordia (OR),REG (Non-Conf),W 94-63,,19,3,7,0.429,2,5,0.4,1,2,0.5,0.571,0,0,,1,2,3,1,0,0,1,2,8,4.5,H,1,1,jalil-abdul-bassit-1,Jalil Abdul-Bassit,2015
8,25,8,2014-12-07,Oregon,,Ole Miss,REG (Non-Conf),L 73-79,,15,0,4,0.0,0,3,0.0,0,1,0.0,0.0,0,0,,0,5,5,0,0,0,0,3,0,-2.5,H,0,1,jalil-abdul-bassit-1,Jalil Abdul-Bassit,2015
9,26,9,2014-12-13,Oregon,@,Illinois,REG (Non-Conf),W 77-70,*,17,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,1,1,1,0,1,3,3,0,-3.9,A,1,1,jalil-abdul-bassit-1,Jalil Abdul-Bassit,2015
10,27,10,2014-12-17,Oregon,,Cal State Northridge,REG (Non-Conf),W 79-56,,17,3,6,0.5,2,5,0.4,1,1,1.0,0.667,0,0,,0,0,0,1,1,0,0,2,8,5.9,H,1,1,jalil-abdul-bassit-1,Jalil Abdul-Bassit,2015
