rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,34,1,2014-11-14,Iowa,,Hampton,REG (Non-Conf),W 90-56,*,19,4,5,0.8,4,5,0.8,0,0,,1.2,1,2,0.5,2,3,5,2,1,1,0,2,13,15.3,H,1,1,jarrod-uthoff-1,Jarrod Uthoff,2015
2,35,2,2014-11-17,Iowa,,North Dakota State,REG (Non-Conf),W 87-56,*,22,5,11,0.455,2,5,0.4,3,6,0.5,0.545,0,0,,0,2,2,2,0,1,2,1,12,6.6,H,1,1,jarrod-uthoff-1,Jarrod Uthoff,2015
3,36,3,2014-11-20,Iowa,N,Texas,REG (Non-Conf),L 57-71,*,30,3,8,0.375,2,4,0.5,1,4,0.25,0.5,0,0,,2,4,6,0,3,2,1,3,8,8.4,N,0,1,jarrod-uthoff-1,Jarrod Uthoff,2015
4,37,4,2014-11-21,Iowa,N,Syracuse,REG (Non-Conf),L 63-66,*,36,7,14,0.5,3,6,0.5,4,8,0.5,0.607,3,6,0.5,1,5,6,0,3,2,4,2,20,13.6,N,0,1,jarrod-uthoff-1,Jarrod Uthoff,2015
5,38,5,2014-11-24,Iowa,,Pepperdine,REG (Non-Conf),W 72-61,*,33,6,15,0.4,0,3,0.0,6,12,0.5,0.4,3,7,0.429,4,4,8,3,2,0,0,3,15,12.2,H,1,1,jarrod-uthoff-1,Jarrod Uthoff,2015
6,39,6,2014-11-26,Iowa,,Northern Illinois,REG (Non-Conf),W 70-49,*,29,0,4,0.0,0,1,0.0,0,3,0.0,0.0,2,4,0.5,0,6,6,4,1,5,1,1,2,6.1,H,1,1,jarrod-uthoff-1,Jarrod Uthoff,2015
7,40,7,2014-11-29,Iowa,,Longwood,REG (Non-Conf),W 77-44,*,17,4,9,0.444,3,5,0.6,1,4,0.25,0.611,0,0,,2,4,6,1,2,1,2,0,11,10.3,H,1,1,jarrod-uthoff-1,Jarrod Uthoff,2015
8,41,8,2014-12-03,Iowa,@,North Carolina,REG (Non-Conf),W 60-55,*,33,2,13,0.154,1,7,0.143,1,6,0.167,0.192,3,4,0.75,4,7,11,0,1,5,1,2,8,6.9,A,1,1,jarrod-uthoff-1,Jarrod Uthoff,2015
9,42,9,2014-12-06,Iowa,,UMBC,REG (Non-Conf),W 77-47,*,15,4,10,0.4,1,5,0.2,3,5,0.6,0.45,2,2,1.0,1,5,6,3,1,1,0,1,11,11.2,H,1,1,jarrod-uthoff-1,Jarrod Uthoff,2015
10,43,10,2014-12-09,Iowa,,Alcorn State,REG (Non-Conf),W 67-44,*,20,6,11,0.545,1,3,0.333,5,8,0.625,0.591,0,0,,2,2,4,1,1,0,0,0,13,11.4,H,1,1,jarrod-uthoff-1,Jarrod Uthoff,2015
11,44,11,2014-12-12,Iowa,,Iowa State,REG (Non-Conf),L 75-90,*,21,4,10,0.4,1,2,0.5,3,8,0.375,0.45,0,0,,2,3,5,1,1,1,1,1,9,6.9,H,0,1,jarrod-uthoff-1,Jarrod Uthoff,2015
12,45,12,2014-12-20,Iowa,@,Northern Iowa,REG (Non-Conf),L 44-56,*,31,3,7,0.429,0,3,0.0,3,4,0.75,0.429,0,0,,3,6,9,1,1,1,2,2,6,5.8,A,0,1,jarrod-uthoff-1,Jarrod Uthoff,2015
13,46,13,2014-12-22,Iowa,,North Florida,REG (Non-Conf),W 80-70,*,33,3,11,0.273,2,4,0.5,1,7,0.143,0.364,2,2,1.0,3,9,12,5,1,0,2,2,10,10.0,H,1,1,jarrod-uthoff-1,Jarrod Uthoff,2015
14,47,14,2014-12-30,Iowa,@,Ohio State,REG (Conf),W 71-65,*,36,6,11,0.545,4,6,0.667,2,5,0.4,0.727,2,2,1.0,3,4,7,5,0,1,2,2,18,17.4,A,1,1,jarrod-uthoff-1,Jarrod Uthoff,2015
15,48,15,2015-01-05,Iowa,,Nebraska,REG (Conf),W 70-59,*,33,5,11,0.455,3,8,0.375,2,3,0.667,0.591,2,4,0.5,2,5,7,2,1,1,0,3,15,13.3,H,1,1,jarrod-uthoff-1,Jarrod Uthoff,2015
16,49,16,2015-01-08,Iowa,,Michigan State,REG (Conf),L 61-75,*,35,6,16,0.375,0,4,0.0,6,12,0.5,0.375,0,2,0.0,4,6,10,2,1,2,0,0,12,10.8,H,0,1,jarrod-uthoff-1,Jarrod Uthoff,2015
17,50,17,2015-01-13,Iowa,@,Minnesota,REG (Conf),W 77-75,*,34,7,10,0.7,2,4,0.5,5,6,0.833,0.8,6,6,1.0,0,5,5,4,1,4,3,4,22,21.3,A,1,1,jarrod-uthoff-1,Jarrod Uthoff,2015
18,51,18,2015-01-17,Iowa,,Ohio State,REG (Conf),W 76-67,*,28,2,7,0.286,1,2,0.5,1,5,0.2,0.357,2,2,1.0,3,2,5,2,0,0,2,0,7,5.0,H,1,1,jarrod-uthoff-1,Jarrod Uthoff,2015
19,52,19,2015-01-20,Iowa,@,Wisconsin,REG (Conf),L 50-82,*,29,5,10,0.5,2,5,0.4,3,5,0.6,0.6,0,0,,1,1,2,0,0,1,1,1,12,7.3,A,0,1,jarrod-uthoff-1,Jarrod Uthoff,2015
20,53,20,2015-01-24,Iowa,@,Purdue,REG (Conf),L 63-67,*,35,2,14,0.143,0,5,0.0,2,9,0.222,0.143,2,2,1.0,0,6,6,2,0,2,0,2,6,0.8,A,0,1,jarrod-uthoff-1,Jarrod Uthoff,2015
21,54,21,2015-01-31,Iowa,,Wisconsin,REG (Conf),L 63-74,*,27,3,9,0.333,1,2,0.5,2,7,0.286,0.389,2,2,1.0,2,1,3,2,2,0,1,4,9,6.4,H,0,1,jarrod-uthoff-1,Jarrod Uthoff,2015
22,55,22,2015-02-05,Iowa,@,Michigan,REG (Conf),W 72-54,*,36,7,10,0.7,2,3,0.667,5,7,0.714,0.8,0,0,,3,6,9,0,0,1,0,2,16,15.6,A,1,1,jarrod-uthoff-1,Jarrod Uthoff,2015
23,56,23,2015-02-08,Iowa,,Maryland,REG (Conf),W 71-55,*,34,3,5,0.6,2,3,0.667,1,2,0.5,0.8,0,0,,0,3,3,1,1,1,2,2,8,6.2,H,1,1,jarrod-uthoff-1,Jarrod Uthoff,2015
24,57,24,2015-02-12,Iowa,,Minnesota,REG (Conf),L 59-64,*,33,5,12,0.417,1,3,0.333,4,9,0.444,0.458,6,7,0.857,0,7,7,2,1,2,1,1,17,14.7,H,0,1,jarrod-uthoff-1,Jarrod Uthoff,2015
25,58,25,2015-02-15,Iowa,@,Northwestern,REG (Conf),L 61-66 (OT),*,37,8,16,0.5,5,11,0.455,3,5,0.6,0.656,4,4,1.0,1,3,4,1,0,1,0,3,25,18.8,A,0,1,jarrod-uthoff-1,Jarrod Uthoff,2015
26,59,26,2015-02-19,Iowa,,Rutgers,REG (Conf),W 81-47,*,25,5,9,0.556,2,4,0.5,3,5,0.6,0.667,2,2,1.0,0,3,3,2,4,1,0,0,14,16.7,H,1,1,jarrod-uthoff-1,Jarrod Uthoff,2015
27,60,27,2015-02-22,Iowa,@,Nebraska,REG (Conf),W 74-46,*,31,4,8,0.5,1,1,1.0,3,7,0.429,0.563,2,2,1.0,2,3,5,3,1,4,1,2,11,13.4,A,1,1,jarrod-uthoff-1,Jarrod Uthoff,2015
28,61,28,2015-02-25,Iowa,,Illinois,REG (Conf),W 68-60,*,34,3,10,0.3,0,4,0.0,3,6,0.5,0.3,0,3,0.0,2,8,10,2,0,4,2,0,6,5.0,H,1,1,jarrod-uthoff-1,Jarrod Uthoff,2015
29,62,29,2015-02-28,Iowa,@,Penn State,REG (Conf),W 81-77 (OT),*,37,4,14,0.286,3,7,0.429,1,7,0.143,0.393,0,0,,1,7,8,3,1,1,0,2,11,8.6,A,1,1,jarrod-uthoff-1,Jarrod Uthoff,2015
30,63,30,2015-03-03,Iowa,@,Indiana,REG (Conf),W 77-63,*,32,5,6,0.833,1,2,0.5,4,4,1.0,0.917,3,3,1.0,1,5,6,0,3,3,0,0,14,19.1,A,1,1,jarrod-uthoff-1,Jarrod Uthoff,2015
31,64,31,2015-03-07,Iowa,,Northwestern,REG (Conf),W 69-52,*,37,6,12,0.5,3,7,0.429,3,5,0.6,0.625,1,2,0.5,2,6,8,1,3,2,1,1,16,16.5,H,1,1,jarrod-uthoff-1,Jarrod Uthoff,2015
32,65,32,2015-03-12,Iowa,N,Penn State,CTOURN,L 58-67,*,32,5,14,0.357,1,6,0.167,4,8,0.5,0.393,6,6,1.0,2,5,7,0,1,3,2,2,17,12.4,N,0,0,jarrod-uthoff-1,Jarrod Uthoff,2015
33,66,33,2015-03-20,Iowa,N,Davidson,ROUND-64,W 83-52,*,29,4,12,0.333,0,2,0.0,4,10,0.4,0.333,0,0,,4,5,9,1,0,1,1,1,8,5.5,N,1,0,jarrod-uthoff-1,Jarrod Uthoff,2015
34,67,34,2015-03-22,Iowa,N,Gonzaga,ROUND-32,L 68-87,*,38,10,19,0.526,0,3,0.0,10,16,0.625,0.526,0,0,,1,7,8,1,0,1,0,0,20,14.9,N,0,0,jarrod-uthoff-1,Jarrod Uthoff,2015
