rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,31,1,2014-11-14,Robert Morris,,Lafayette,REG (Non-Conf),L 50-77,*,28,1,4,0.25,1,2,0.5,0,2,0.0,0.375,7,9,0.778,2,1,3,1,1,0,0,2,10,9.4,H,0,1,kavon-stewart-1,Kavon Stewart,2015
2,32,2,2014-11-16,Robert Morris,@,North Carolina,REG (Non-Conf),L 59-103,*,23,2,6,0.333,0,1,0.0,2,5,0.4,0.333,0,0,,0,1,1,4,0,0,1,1,4,2.3,A,0,1,kavon-stewart-1,Kavon Stewart,2015
3,33,3,2014-11-19,Robert Morris,@,Bradley,REG (Non-Conf),W 68-61,*,32,1,4,0.25,0,1,0.0,1,3,0.333,0.25,0,3,0.0,0,3,3,6,1,0,4,3,2,-0.7,A,1,1,kavon-stewart-1,Kavon Stewart,2015
4,34,4,2014-11-22,Robert Morris,@,Georgetown,REG (Non-Conf),L 66-80,*,27,2,6,0.333,0,2,0.0,2,4,0.5,0.333,3,4,0.75,0,1,1,5,2,0,2,2,7,6.2,A,0,1,kavon-stewart-1,Kavon Stewart,2015
5,35,5,2014-11-26,Robert Morris,@,Chattanooga,REG (Non-Conf),L 46-61,*,20,0,6,0.0,0,2,0.0,0,4,0.0,0.0,0,0,,1,2,3,0,0,0,2,2,0,-5.7,A,0,1,kavon-stewart-1,Kavon Stewart,2015
6,36,6,2014-11-27,Robert Morris,N,Louisiana–Monroe,REG (Non-Conf),W 71-54,*,24,1,4,0.25,1,3,0.333,0,1,0.0,0.375,2,2,1.0,0,2,2,4,1,0,1,2,5,5.2,N,1,1,kavon-stewart-1,Kavon Stewart,2015
7,37,7,2014-12-02,Robert Morris,,Youngstown State,REG (Non-Conf),L 81-89,*,28,4,7,0.571,0,0,,4,7,0.571,0.571,2,2,1.0,2,1,3,6,0,0,6,0,10,6.6,H,0,1,kavon-stewart-1,Kavon Stewart,2015
8,38,8,2014-12-07,Robert Morris,,Buffalo,REG (Non-Conf),L 59-74,*,30,1,3,0.333,0,1,0.0,1,2,0.5,0.333,2,5,0.4,0,3,3,4,0,0,4,2,4,0.0,H,0,1,kavon-stewart-1,Kavon Stewart,2015
9,39,9,2014-12-13,Robert Morris,,Duquesne,REG (Non-Conf),W 75-59,*,32,1,8,0.125,0,2,0.0,1,6,0.167,0.125,10,13,0.769,1,6,7,11,4,0,2,3,12,16.6,H,1,1,kavon-stewart-1,Kavon Stewart,2015
10,40,10,2014-12-17,Robert Morris,@,Toledo,REG (Non-Conf),L 57-83,*,30,4,8,0.5,0,0,,4,8,0.5,0.5,0,1,0.0,0,6,6,1,1,0,3,0,8,4.1,A,0,1,kavon-stewart-1,Kavon Stewart,2015
11,41,12,2014-12-30,Robert Morris,@,Clemson,REG (Non-Conf),L 57-64,,25,1,6,0.167,0,1,0.0,1,5,0.2,0.167,0,0,,0,4,4,3,0,1,1,2,2,0.4,A,0,1,kavon-stewart-1,Kavon Stewart,2015
12,42,13,2015-01-03,Robert Morris,,Mount St. Mary's,REG (Conf),W 70-45,*,30,1,2,0.5,1,1,1.0,0,1,0.0,0.75,1,2,0.5,0,4,4,7,3,0,2,2,4,8.9,H,1,1,kavon-stewart-1,Kavon Stewart,2015
13,43,14,2015-01-05,Robert Morris,@,Saint Francis (PA),REG (Conf),L 59-66,*,26,1,2,0.5,1,2,0.5,0,0,,0.75,3,4,0.75,0,0,0,2,2,0,4,2,6,3.2,A,0,1,kavon-stewart-1,Kavon Stewart,2015
14,44,15,2015-01-08,Robert Morris,@,Wagner,REG (Conf),W 77-73,*,33,3,6,0.5,0,0,,3,6,0.5,0.5,0,0,,1,1,2,5,4,0,0,1,6,11.1,A,1,1,kavon-stewart-1,Kavon Stewart,2015
15,45,16,2015-01-10,Robert Morris,@,Central Connecticut State,REG (Conf),W 72-60,,19,3,5,0.6,0,0,,3,5,0.6,0.6,2,3,0.667,0,1,1,4,1,0,1,2,8,7.6,A,1,1,kavon-stewart-1,Kavon Stewart,2015
16,46,17,2015-01-16,Robert Morris,,St. Francis Brooklyn,REG (Conf),L 63-68,*,31,0,3,0.0,0,1,0.0,0,2,0.0,0.0,4,5,0.8,0,0,0,3,1,0,0,0,4,4.6,H,0,1,kavon-stewart-1,Kavon Stewart,2015
17,47,18,2015-01-18,Robert Morris,,Sacred Heart,REG (Conf),W 85-65,*,26,1,6,0.167,0,2,0.0,1,4,0.25,0.167,0,0,,0,2,2,5,2,0,3,1,2,0.9,H,1,1,kavon-stewart-1,Kavon Stewart,2015
18,48,19,2015-01-22,Robert Morris,@,Mount St. Mary's,REG (Conf),W 63-59 (OT),*,26,2,4,0.5,1,1,1.0,1,3,0.333,0.625,1,2,0.5,0,4,4,3,1,0,3,1,6,4.5,A,1,1,kavon-stewart-1,Kavon Stewart,2015
19,49,20,2015-01-24,Robert Morris,@,St. Francis Brooklyn,REG (Conf),W 67-65,*,31,3,7,0.429,2,2,1.0,1,5,0.2,0.571,5,9,0.556,1,2,3,3,3,0,3,1,13,10.7,A,1,1,kavon-stewart-1,Kavon Stewart,2015
20,50,21,2015-01-29,Robert Morris,,Fairleigh Dickinson,REG (Conf),W 87-65,*,17,0,4,0.0,0,2,0.0,0,2,0.0,0.0,0,0,,1,1,2,4,1,0,2,1,0,-0.4,H,1,1,kavon-stewart-1,Kavon Stewart,2015
21,51,22,2015-01-31,Robert Morris,,Bryant,REG (Conf),L 68-71,*,19,1,3,0.333,0,1,0.0,1,2,0.5,0.333,1,2,0.5,0,1,1,2,1,0,5,0,3,-1.4,H,0,1,kavon-stewart-1,Kavon Stewart,2015
22,52,23,2015-02-05,Robert Morris,@,LIU Brooklyn,REG (Conf),L 65-72,*,34,1,10,0.1,0,4,0.0,1,6,0.167,0.1,2,2,1.0,1,2,3,8,5,0,5,4,4,2.7,A,0,1,kavon-stewart-1,Kavon Stewart,2015
23,53,24,2015-02-07,Robert Morris,@,Fairleigh Dickinson,REG (Conf),W 76-62,*,29,5,6,0.833,0,0,,5,6,0.833,0.833,2,7,0.286,0,0,0,3,2,0,3,4,12,7.3,A,1,1,kavon-stewart-1,Kavon Stewart,2015
24,54,25,2015-02-12,Robert Morris,,LIU Brooklyn,REG (Conf),L 62-63,*,33,1,5,0.2,0,1,0.0,1,4,0.25,0.2,2,2,1.0,1,1,2,6,2,0,5,1,4,2.7,H,0,1,kavon-stewart-1,Kavon Stewart,2015
25,55,26,2015-02-14,Robert Morris,,Central Connecticut State,REG (Conf),W 53-52,*,28,1,4,0.25,1,2,0.5,0,2,0.0,0.375,0,0,,0,1,1,1,1,0,2,1,3,0.2,H,1,1,kavon-stewart-1,Kavon Stewart,2015
26,56,27,2015-02-19,Robert Morris,@,Sacred Heart,REG (Conf),L 76-80,*,32,3,9,0.333,1,2,0.5,2,7,0.286,0.389,4,7,0.571,0,3,3,6,2,0,5,2,11,6.0,A,0,1,kavon-stewart-1,Kavon Stewart,2015
27,57,28,2015-02-21,Robert Morris,@,Bryant,REG (Conf),W 76-70,*,29,0,1,0.0,0,0,,0,1,0.0,0.0,1,2,0.5,0,1,1,7,0,0,1,2,1,3.3,A,1,1,kavon-stewart-1,Kavon Stewart,2015
28,58,29,2015-02-26,Robert Morris,,Wagner,REG (Conf),W 91-59,*,26,3,8,0.375,1,3,0.333,2,5,0.4,0.438,0,0,,2,4,6,7,2,0,3,3,7,7.9,H,1,1,kavon-stewart-1,Kavon Stewart,2015
29,59,30,2015-02-28,Robert Morris,,Saint Francis (PA),REG (Conf),W 71-70 (OT),*,32,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,1,1,2,4,0,0,3,4,2,0.9,H,1,1,kavon-stewart-1,Kavon Stewart,2015
30,60,31,2015-03-04,Robert Morris,,Wagner,CTOURN,W 91-68,*,33,3,7,0.429,1,3,0.333,2,4,0.5,0.5,3,5,0.6,0,3,3,5,1,0,2,2,10,8.1,H,1,0,kavon-stewart-1,Kavon Stewart,2015
31,61,32,2015-03-07,Robert Morris,,Bryant,CTOURN,W 66-53,*,34,6,11,0.545,2,3,0.667,4,8,0.5,0.636,5,6,0.833,0,1,1,8,7,0,1,1,19,24.8,H,1,0,kavon-stewart-1,Kavon Stewart,2015
32,62,33,2015-03-10,Robert Morris,@,St. Francis Brooklyn,CTOURN,W 66-63,*,33,2,5,0.4,0,0,,2,5,0.4,0.4,7,12,0.583,0,1,1,6,3,0,3,3,11,9.6,A,1,0,kavon-stewart-1,Kavon Stewart,2015
33,63,34,2015-03-18,Robert Morris,N,North Florida,FIRST-FOUR,W 81-77,*,34,1,5,0.2,0,1,0.0,1,4,0.25,0.2,5,9,0.556,0,1,1,6,1,0,2,3,7,4.6,N,1,0,kavon-stewart-1,Kavon Stewart,2015
34,64,35,2015-03-20,Robert Morris,N,Duke,ROUND-64,L 56-85,*,30,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,1,3,4,6,1,0,1,1,2,5.7,N,0,0,kavon-stewart-1,Kavon Stewart,2015
