rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,35,1,2014-11-14,North Carolina,,North Carolina Central,REG (Non-Conf),W 76-60,*,17,4,10,0.4,0,0,,4,10,0.4,0.4,2,3,0.667,2,7,9,0,1,2,0,2,10,9.3,H,1,1,kennedy-meeks-1,Kennedy Meeks,2015
2,36,2,2014-11-16,North Carolina,,Robert Morris,REG (Non-Conf),W 103-59,*,17,6,7,0.857,0,0,,6,7,0.857,0.857,9,14,0.643,6,6,12,1,0,0,1,3,21,21.0,H,1,1,kennedy-meeks-1,Kennedy Meeks,2015
3,37,3,2014-11-22,North Carolina,N,Davidson,REG (Non-Conf),W 90-72,*,31,9,13,0.692,0,0,,9,13,0.692,0.692,1,3,0.333,3,9,12,3,2,2,1,2,19,21.2,N,1,1,kennedy-meeks-1,Kennedy Meeks,2015
4,38,4,2014-11-26,North Carolina,N,Butler,REG (Non-Conf),L 66-74,*,25,2,4,0.5,0,0,,2,4,0.5,0.5,3,6,0.5,4,6,10,2,0,5,2,1,7,10.9,N,0,1,kennedy-meeks-1,Kennedy Meeks,2015
5,39,5,2014-11-27,North Carolina,N,UCLA,REG (Non-Conf),W 78-56,,18,3,6,0.5,0,0,,3,6,0.5,0.5,2,2,1.0,0,2,2,1,0,0,1,3,8,4.1,N,1,1,kennedy-meeks-1,Kennedy Meeks,2015
6,40,6,2014-11-28,North Carolina,N,Florida,REG (Non-Conf),W 75-64,*,27,8,12,0.667,0,0,,8,12,0.667,0.667,2,4,0.5,5,8,13,1,1,2,6,3,18,13.8,N,1,1,kennedy-meeks-1,Kennedy Meeks,2015
7,41,7,2014-12-03,North Carolina,,Iowa,REG (Non-Conf),L 55-60,*,29,6,8,0.75,0,0,,6,8,0.75,0.75,3,3,1.0,6,6,12,2,0,2,0,5,15,18.6,H,0,1,kennedy-meeks-1,Kennedy Meeks,2015
8,42,8,2014-12-07,North Carolina,,East Carolina,REG (Non-Conf),W 108-64,*,20,6,9,0.667,0,0,,6,9,0.667,0.667,0,1,0.0,1,10,11,1,3,2,1,2,12,14.7,H,1,1,kennedy-meeks-1,Kennedy Meeks,2015
9,43,9,2014-12-13,North Carolina,@,Kentucky,REG (Non-Conf),L 70-84,*,22,4,8,0.5,0,0,,4,8,0.5,0.5,2,2,1.0,4,0,4,1,0,1,0,2,10,9.4,A,0,1,kennedy-meeks-1,Kennedy Meeks,2015
10,44,10,2014-12-16,North Carolina,@,UNC Greensboro,REG (Non-Conf),W 79-56,*,19,8,9,0.889,0,0,,8,9,0.889,0.889,2,2,1.0,1,5,6,0,0,0,0,3,18,15.9,A,1,1,kennedy-meeks-1,Kennedy Meeks,2015
