rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,41,10,2014-12-17,Hampton,@,Illinois,REG (Non-Conf),L 55-73,,28,3,12,0.25,2,3,0.667,1,9,0.111,0.333,0,0,,1,2,3,0,1,0,0,1,8,2.7,A,0,1,reggie-johnson-3,Reggie Johnson,2015
2,42,11,2014-12-19,Hampton,,Tennessee State,REG (Non-Conf),W 66-54,,17,3,8,0.375,0,2,0.0,3,6,0.5,0.375,2,3,0.667,1,1,2,1,3,0,0,3,8,6.7,H,1,1,reggie-johnson-3,Reggie Johnson,2015
3,43,12,2014-12-21,Hampton,,Northern Arizona,REG (Non-Conf),W 75-66,,19,2,6,0.333,0,1,0.0,2,5,0.4,0.333,1,1,1.0,1,1,2,0,3,0,1,4,5,3.0,H,1,1,reggie-johnson-3,Reggie Johnson,2015
4,44,13,2014-12-29,Hampton,@,Northern Illinois,REG (Non-Conf),L 51-83,*,28,4,13,0.308,2,5,0.4,2,8,0.25,0.385,0,0,,0,3,3,2,0,0,3,3,10,0.6,A,0,1,reggie-johnson-3,Reggie Johnson,2015
5,45,14,2015-01-03,Hampton,@,USC Upstate,REG (Non-Conf),L 54-68,*,13,2,6,0.333,1,3,0.333,1,3,0.333,0.417,1,2,0.5,0,0,0,0,0,0,0,0,6,2.2,A,0,1,reggie-johnson-3,Reggie Johnson,2015
6,46,15,2015-01-10,Hampton,@,Bethune-Cookman,REG (Conf),W 58-56,,20,7,11,0.636,2,2,1.0,5,9,0.556,0.727,1,1,1.0,2,1,3,1,1,0,0,1,17,15.1,A,1,1,reggie-johnson-3,Reggie Johnson,2015
7,47,16,2015-01-12,Hampton,@,Florida A&M,REG (Conf),W 78-63,,23,3,7,0.429,2,4,0.5,1,3,0.333,0.571,7,12,0.583,3,2,5,3,6,0,3,1,15,16.7,A,1,1,reggie-johnson-3,Reggie Johnson,2015
8,48,17,2015-01-17,Hampton,,North Carolina A&T,REG (Conf),L 61-64,,16,3,11,0.273,1,7,0.143,2,4,0.5,0.318,1,1,1.0,1,2,3,0,0,0,2,2,8,0.0,H,0,1,reggie-johnson-3,Reggie Johnson,2015
9,49,18,2015-01-19,Hampton,,North Carolina Central,REG (Conf),L 52-59,,21,3,9,0.333,0,3,0.0,3,6,0.5,0.333,0,0,,2,1,3,1,2,0,3,2,6,1.5,H,0,1,reggie-johnson-3,Reggie Johnson,2015
10,50,19,2015-01-24,Hampton,@,Savannah State,REG (Conf),L 66-68,*,36,1,5,0.2,0,3,0.0,1,2,0.5,0.2,4,6,0.667,1,2,3,3,3,1,5,3,6,3.0,A,0,1,reggie-johnson-3,Reggie Johnson,2015
11,51,20,2015-01-26,Hampton,@,South Carolina State,REG (Conf),L 56-65,*,15,1,5,0.2,0,2,0.0,1,3,0.333,0.2,1,2,0.5,0,0,0,0,0,0,0,2,3,-1.3,A,0,1,reggie-johnson-3,Reggie Johnson,2015
12,52,21,2015-01-31,Hampton,@,Norfolk State,REG (Conf),L 60-63,,19,2,6,0.333,1,3,0.333,1,3,0.333,0.417,0,2,0.0,1,2,3,1,0,0,0,1,5,2.4,A,0,1,reggie-johnson-3,Reggie Johnson,2015
13,53,22,2015-02-02,Hampton,@,NJIT,REG (Non-Conf),L 67-86,,26,10,17,0.588,5,10,0.5,5,7,0.714,0.735,2,5,0.4,2,0,2,1,1,0,1,0,27,20.0,A,0,1,reggie-johnson-3,Reggie Johnson,2015
14,54,23,2015-02-07,Hampton,,Maryland Eastern Shore,REG (Conf),W 64-61,*,26,7,15,0.467,3,6,0.5,4,9,0.444,0.567,4,9,0.444,1,3,4,1,2,0,0,1,21,15.2,H,1,1,reggie-johnson-3,Reggie Johnson,2015
15,55,24,2015-02-09,Hampton,,Howard,REG (Conf),W 73-69 (OT),*,41,4,14,0.286,2,7,0.286,2,7,0.286,0.357,5,5,1.0,1,3,4,1,2,2,2,3,15,9.3,H,1,1,reggie-johnson-3,Reggie Johnson,2015
16,56,25,2015-02-16,Hampton,@,Morgan State,REG (Conf),W 93-65,*,25,6,11,0.545,1,5,0.2,5,6,0.833,0.591,4,6,0.667,1,2,3,3,0,1,1,3,17,12.8,A,1,1,reggie-johnson-3,Reggie Johnson,2015
17,57,26,2015-02-21,Hampton,,Delaware State,REG (Conf),L 71-74,*,38,5,12,0.417,2,4,0.5,3,8,0.375,0.5,5,8,0.625,1,8,9,3,2,1,2,2,17,14.5,H,0,1,reggie-johnson-3,Reggie Johnson,2015
18,58,27,2015-02-28,Hampton,@,Howard,REG (Conf),W 68-67,*,40,3,8,0.375,2,4,0.5,1,4,0.25,0.5,1,4,0.25,2,2,4,4,0,1,2,3,9,5.7,A,1,1,reggie-johnson-3,Reggie Johnson,2015
19,59,28,2015-03-02,Hampton,@,Delaware State,REG (Conf),L 75-85,*,22,2,9,0.222,0,4,0.0,2,5,0.4,0.222,2,4,0.5,3,2,5,1,1,0,0,2,6,3.3,A,0,1,reggie-johnson-3,Reggie Johnson,2015
20,60,29,2015-03-05,Hampton,,Norfolk State,REG (Conf),L 69-80,*,36,4,17,0.235,3,10,0.3,1,7,0.143,0.324,0,0,,2,2,4,1,0,0,2,5,11,-0.6,H,0,1,reggie-johnson-3,Reggie Johnson,2015
21,61,30,2015-03-09,Hampton,N,Morgan State,CTOURN,W 91-71,*,35,5,12,0.417,1,4,0.25,4,8,0.5,0.458,7,10,0.7,0,2,2,4,1,0,1,4,18,12.2,N,1,0,reggie-johnson-3,Reggie Johnson,2015
22,62,31,2015-03-12,Hampton,N,Maryland Eastern Shore,CTOURN,W 76-71,*,38,5,14,0.357,4,7,0.571,1,7,0.143,0.5,1,4,0.25,5,4,9,4,0,1,4,2,15,9.4,N,1,0,reggie-johnson-3,Reggie Johnson,2015
23,63,32,2015-03-13,Hampton,N,Norfolk State,CTOURN,W 75-64,*,35,5,12,0.417,1,5,0.2,4,7,0.571,0.458,2,2,1.0,0,1,1,1,1,0,1,3,13,6.4,N,1,0,reggie-johnson-3,Reggie Johnson,2015
24,64,33,2015-03-14,Hampton,N,Delaware State,CTOURN,W 82-61,*,35,7,16,0.438,3,5,0.6,4,11,0.364,0.531,3,5,0.6,0,2,2,2,1,0,1,0,20,12.8,N,1,0,reggie-johnson-3,Reggie Johnson,2015
25,65,34,2015-03-17,Hampton,N,Manhattan,FIRST-FOUR,W 74-64,*,37,5,16,0.313,1,3,0.333,4,13,0.308,0.344,4,7,0.571,1,4,5,5,2,0,2,2,15,9.2,N,1,0,reggie-johnson-3,Reggie Johnson,2015
26,66,35,2015-03-19,Hampton,N,Kentucky,ROUND-64,L 56-79,*,33,2,9,0.222,0,1,0.0,2,8,0.25,0.222,5,7,0.714,1,1,2,0,4,0,3,1,9,4.3,N,0,0,reggie-johnson-3,Reggie Johnson,2015
