rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,59,1,2014-11-14,Belmont,@,Wright State,REG (Non-Conf),L 70-73,,8,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,,0,2,2,1,0,0,1,1,0,-1.5,A,0,1,spencer-turner-1,Spencer Turner,2015
2,60,2,2014-11-17,Belmont,@,Lipscomb,REG (Non-Conf),W 87-62,,8,1,1,1.0,1,1,1.0,0,0,,1.5,0,0,,0,1,1,1,0,0,1,2,3,1.9,A,1,1,spencer-turner-1,Spencer Turner,2015
3,61,3,2014-11-19,Belmont,,Trevecca-Naz,REG (Non-Conf),W 96-76,,17,1,4,0.25,1,4,0.25,0,0,,0.375,0,0,,2,0,2,3,0,0,0,1,3,3.7,H,1,1,spencer-turner-1,Spencer Turner,2015
4,62,4,2014-11-22,Belmont,@,Western Kentucky,REG (Non-Conf),W 64-63,,7,0,4,0.0,0,4,0.0,0,0,,0.0,0,0,,1,0,1,0,0,0,2,0,0,-4.1,A,1,1,spencer-turner-1,Spencer Turner,2015
5,63,5,2014-11-24,Belmont,,Lipscomb,REG (Non-Conf),W 82-77,,2,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,,0,0,0,0,0,0,0,0,0,-1.4,H,1,1,spencer-turner-1,Spencer Turner,2015
6,64,6,2014-11-26,Belmont,,Denver,REG (Non-Conf),W 78-57,,6,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,H,1,1,spencer-turner-1,Spencer Turner,2015
7,65,7,2014-11-29,Belmont,@,Ohio,REG (Non-Conf),W 83-81,,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,A,1,1,spencer-turner-1,Spencer Turner,2015
8,66,8,2014-12-02,Belmont,,Middle Tennessee,REG (Non-Conf),W 63-59,,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,H,1,1,spencer-turner-1,Spencer Turner,2015
9,67,9,2014-12-09,Belmont,,Evansville,REG (Non-Conf),L 62-65,*,29,4,10,0.4,2,7,0.286,2,3,0.667,0.5,0,0,,0,2,2,1,0,0,3,0,10,2.9,H,0,1,spencer-turner-1,Spencer Turner,2015
10,68,10,2014-12-11,Belmont,,Wright State,REG (Non-Conf),L 71-79,*,32,8,14,0.571,7,13,0.538,1,1,1.0,0.821,0,1,0.0,0,2,2,1,0,0,2,3,23,14.1,H,0,1,spencer-turner-1,Spencer Turner,2015
11,69,11,2014-12-16,Belmont,@,VCU,REG (Non-Conf),L 51-78,*,29,2,9,0.222,2,9,0.222,0,0,,0.333,2,2,1.0,1,3,4,1,0,0,0,1,8,4.4,A,0,1,spencer-turner-1,Spencer Turner,2015
12,70,12,2014-12-20,Belmont,@,Fairfield,REG (Non-Conf),W 73-61,,14,0,3,0.0,0,3,0.0,0,0,,0.0,0,0,,0,1,1,0,2,0,0,1,0,-0.2,A,1,1,spencer-turner-1,Spencer Turner,2015
13,71,13,2014-12-28,Belmont,@,Butler,REG (Non-Conf),L 56-67,,5,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,0,0,0,0,0,0,1,3,1.6,A,0,1,spencer-turner-1,Spencer Turner,2015
14,72,14,2015-01-01,Belmont,,Southeast Missouri State,REG (Conf),W 78-77,,6,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,1,0,0,0,0,0,0.0,H,1,1,spencer-turner-1,Spencer Turner,2015
15,73,16,2015-01-10,Belmont,@,Eastern Illinois,REG (Conf),L 73-84,,9,1,5,0.2,0,4,0.0,1,1,1.0,0.2,0,0,,0,1,1,0,0,0,1,1,2,-2.2,A,0,1,spencer-turner-1,Spencer Turner,2015
