rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,85,1,2014-11-14,Ole Miss,,Charleston Southern,REG (Non-Conf),L 65-66 (OT),,27,2,9,0.222,1,5,0.2,1,4,0.25,0.278,0,0,,0,3,3,2,0,2,2,0,5,1.2,H,0,1,terence-smith-1,Terence Smith,2015
2,86,2,2014-11-17,Ole Miss,@,Troy,REG (Non-Conf),W 74-64,,9,1,3,0.333,0,1,0.0,1,2,0.5,0.333,0,0,,0,1,1,0,0,0,0,2,2,-0.2,A,1,1,terence-smith-1,Terence Smith,2015
3,87,3,2014-11-20,Ole Miss,,Southern,REG (Non-Conf),W 69-38,,20,1,5,0.2,0,2,0.0,1,3,0.333,0.2,0,1,0.0,0,3,3,3,0,0,1,2,2,-0.3,H,1,1,terence-smith-1,Terence Smith,2015
4,88,4,2014-11-23,Ole Miss,,Northern Arizona,REG (Non-Conf),W 80-74,,15,1,2,0.5,0,1,0.0,1,1,1.0,0.5,0,0,,0,3,3,3,0,0,0,1,2,3.6,H,1,1,terence-smith-1,Terence Smith,2015
5,89,5,2014-11-28,Ole Miss,N,Creighton,REG (Non-Conf),W 75-68,,12,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,1,0,0,2,0,0.5,N,1,1,terence-smith-1,Terence Smith,2015
6,90,6,2014-11-29,Ole Miss,N,Cincinnati,REG (Non-Conf),W 66-54,,16,1,2,0.5,0,0,,1,2,0.5,0.5,0,1,0.0,0,0,0,2,0,0,0,0,2,2.0,N,1,1,terence-smith-1,Terence Smith,2015
7,91,7,2014-12-04,Ole Miss,,TCU,REG (Non-Conf),L 54-66,,17,1,4,0.25,0,0,,1,4,0.25,0.25,0,0,,0,0,0,0,0,0,1,1,2,-1.8,H,0,1,terence-smith-1,Terence Smith,2015
8,92,8,2014-12-07,Ole Miss,@,Oregon,REG (Non-Conf),W 79-73,,17,0,2,0.0,0,1,0.0,0,1,0.0,0.0,2,2,1.0,0,2,2,0,0,0,1,2,2,-0.6,A,1,1,terence-smith-1,Terence Smith,2015
9,93,9,2014-12-13,Ole Miss,,Western Kentucky,REG (Non-Conf),L 74-81,,14,1,3,0.333,0,1,0.0,1,2,0.5,0.333,0,1,0.0,0,0,0,1,1,0,0,1,2,1.2,H,0,1,terence-smith-1,Terence Smith,2015
10,94,10,2014-12-18,Ole Miss,,Coastal Carolina,REG (Non-Conf),W 71-68,,9,1,4,0.25,0,3,0.0,1,1,1.0,0.25,0,0,,0,0,0,3,0,0,0,1,2,1.3,H,1,1,terence-smith-1,Terence Smith,2015
11,95,11,2014-12-22,Ole Miss,N,Southeast Missouri State,REG (Non-Conf),W 82-51,*,32,4,7,0.571,3,4,0.75,1,3,0.333,0.786,5,6,0.833,0,0,0,3,1,0,2,1,16,13.0,N,1,1,terence-smith-1,Terence Smith,2015
12,96,12,2014-12-30,Ole Miss,@,Dayton,REG (Non-Conf),L 74-78,,17,2,2,1.0,1,1,1.0,1,1,1.0,1.25,0,0,,0,2,2,2,0,0,1,3,5,4.2,A,0,1,terence-smith-1,Terence Smith,2015
13,97,13,2015-01-03,Ole Miss,,Austin Peay,REG (Non-Conf),W 92-63,,21,4,7,0.571,2,3,0.667,2,4,0.5,0.714,0,0,,0,1,1,2,0,0,0,2,10,7.6,H,1,1,terence-smith-1,Terence Smith,2015
14,98,14,2015-01-06,Ole Miss,@,Kentucky,REG (Conf),L 86-89 (OT),,11,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,0,0,2,0,0,0,3,0,-1.2,A,0,1,terence-smith-1,Terence Smith,2015
15,99,15,2015-01-10,Ole Miss,,South Carolina,REG (Conf),W 65-49,,14,1,2,0.5,0,1,0.0,1,1,1.0,0.5,0,0,,0,2,2,2,0,0,0,1,2,2.6,H,1,1,terence-smith-1,Terence Smith,2015
16,100,16,2015-01-14,Ole Miss,,Louisiana State,REG (Conf),L 71-75,,14,1,6,0.167,1,3,0.333,0,3,0.0,0.25,0,0,,0,1,1,2,0,0,0,2,3,0.1,H,0,1,terence-smith-1,Terence Smith,2015
17,101,17,2015-01-17,Ole Miss,@,Arkansas,REG (Conf),W 96-82,,16,3,4,0.75,1,2,0.5,2,2,1.0,0.875,0,0,,0,1,1,1,0,0,0,1,7,6.0,A,1,1,terence-smith-1,Terence Smith,2015
18,102,18,2015-01-20,Ole Miss,@,Georgia,REG (Conf),L 64-69,,15,2,3,0.667,1,1,1.0,1,2,0.5,0.833,0,0,,0,1,1,0,2,0,1,4,5,3.4,A,0,1,terence-smith-1,Terence Smith,2015
19,103,19,2015-01-24,Ole Miss,,Florida,REG (Conf),W 72-71,,15,3,7,0.429,3,6,0.5,0,1,0.0,0.643,2,2,1.0,0,3,3,2,0,0,0,0,11,9.6,H,1,1,terence-smith-1,Terence Smith,2015
20,104,20,2015-01-28,Ole Miss,,Mississippi State,REG (Conf),W 79-73,,25,3,6,0.5,0,2,0.0,3,4,0.75,0.5,1,2,0.5,1,1,2,2,1,0,0,2,7,6.2,H,1,1,terence-smith-1,Terence Smith,2015
21,105,21,2015-01-31,Ole Miss,@,Missouri,REG (Conf),W 67-47,,17,1,5,0.2,0,1,0.0,1,4,0.25,0.2,0,0,,0,1,1,3,1,0,2,2,2,-0.5,A,1,1,terence-smith-1,Terence Smith,2015
22,106,22,2015-02-04,Ole Miss,,Texas A&M,REG (Conf),W 69-59,,17,3,4,0.75,2,3,0.667,1,1,1.0,1.0,0,0,,0,2,2,2,0,0,0,1,8,8.0,H,1,1,terence-smith-1,Terence Smith,2015
23,107,23,2015-02-07,Ole Miss,@,Auburn,REG (Conf),W 86-79,,17,0,1,0.0,0,1,0.0,0,0,,0.0,2,2,1.0,0,1,1,0,0,0,0,1,2,1.2,A,1,1,terence-smith-1,Terence Smith,2015
24,108,24,2015-02-12,Ole Miss,@,Florida,REG (Conf),W 62-61,,12,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,,0,1,1,2,0,0,1,1,0,-1.1,A,1,1,terence-smith-1,Terence Smith,2015
25,109,25,2015-02-14,Ole Miss,,Arkansas,REG (Conf),L 70-71,,14,1,4,0.25,1,2,0.5,0,2,0.0,0.375,0,0,,0,1,1,2,0,0,1,0,3,1.3,H,0,1,terence-smith-1,Terence Smith,2015
26,110,26,2015-02-19,Ole Miss,@,Mississippi State,REG (Conf),W 71-65,,17,2,4,0.5,2,4,0.5,0,0,,0.75,2,2,1.0,0,1,1,5,0,0,0,2,8,9.0,A,1,1,terence-smith-1,Terence Smith,2015
27,111,27,2015-02-21,Ole Miss,,Tennessee,REG (Conf),W 59-57,,10,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,2,0,0,0,0,0,0.7,H,1,1,terence-smith-1,Terence Smith,2015
