rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2014-11-14,Texas Southern,@,Eastern Washington,REG (Non-Conf),L 62-86,,30,6,16,0.375,2,7,0.286,4,9,0.444,0.438,9,10,0.9,2,4,6,0,1,0,1,3,23,15.2,A,0,1,tonnie-collier-1,Tonnie Collier,2015
2,2,2,2014-11-17,Texas Southern,@,Indiana,REG (Non-Conf),L 64-83,,22,7,12,0.583,2,5,0.4,5,7,0.714,0.667,0,0,,0,2,2,0,0,0,0,3,16,9.8,A,0,1,tonnie-collier-1,Tonnie Collier,2015
3,3,3,2014-11-20,Texas Southern,@,Tennessee,REG (Non-Conf),L 58-70,,25,3,5,0.6,1,3,0.333,2,2,1.0,0.7,0,0,,1,1,2,1,0,1,2,1,7,4.7,A,0,1,tonnie-collier-1,Tonnie Collier,2015
4,4,4,2014-11-22,Texas Southern,@,Norfolk State,REG (Non-Conf),L 66-76,,26,4,5,0.8,2,2,1.0,2,3,0.667,1.0,3,5,0.6,0,1,1,0,0,0,2,3,13,7.4,A,0,1,tonnie-collier-1,Tonnie Collier,2015
5,5,5,2014-11-26,Texas Southern,@,SMU,REG (Non-Conf),L 59-72,,16,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,,1,2,3,0,1,0,2,2,0,-1.9,A,0,1,tonnie-collier-1,Tonnie Collier,2015
6,6,6,2014-11-28,Texas Southern,,Lamar,REG (Non-Conf),W 71-59,,5,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,1,1,2,0,0,0.3,H,1,1,tonnie-collier-1,Tonnie Collier,2015
7,7,7,2014-12-01,Texas Southern,@,Baylor,REG (Non-Conf),L 49-75,,15,2,4,0.5,0,2,0.0,2,2,1.0,0.5,2,3,0.667,1,1,2,0,1,0,3,2,6,1.8,A,0,1,tonnie-collier-1,Tonnie Collier,2015
8,8,8,2014-12-12,Texas Southern,@,Florida,REG (Non-Conf),L 50-75,,5,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,1,1,2,0,0,0,1,0,0,-1.4,A,0,1,tonnie-collier-1,Tonnie Collier,2015
9,9,10,2014-12-20,Texas Southern,@,Michigan State,REG (Non-Conf),W 71-64 (OT),,6,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,2,1,0,-1.4,A,1,1,tonnie-collier-1,Tonnie Collier,2015
10,10,12,2014-12-28,Texas Southern,@,Kansas State,REG (Non-Conf),W 58-56,,0,0,0,,0,0,,0,0,,,2,3,0.667,0,0,0,0,0,0,0,0,2,1.6,A,1,1,tonnie-collier-1,Tonnie Collier,2015
11,11,13,2014-12-30,Texas Southern,@,New Mexico State,REG (Non-Conf),L 52-54,,12,0,3,0.0,0,3,0.0,0,0,,0.0,0,0,,0,2,2,0,0,0,0,1,0,-1.9,A,0,1,tonnie-collier-1,Tonnie Collier,2015
12,12,14,2015-01-03,Texas Southern,@,Alcorn State,REG (Conf),W 72-55,,21,8,13,0.615,4,7,0.571,4,6,0.667,0.769,7,8,0.875,1,4,5,1,0,0,0,0,27,23.3,A,1,1,tonnie-collier-1,Tonnie Collier,2015
13,13,15,2015-01-05,Texas Southern,@,Southern,REG (Conf),W 59-58,,17,0,3,0.0,0,2,0.0,0,1,0.0,0.0,0,0,,1,3,4,0,0,0,0,0,0,-0.5,A,1,1,tonnie-collier-1,Tonnie Collier,2015
14,14,16,2015-01-10,Texas Southern,@,Prairie View A&M,REG (Conf),W 81-77,,11,1,5,0.2,0,2,0.0,1,3,0.333,0.2,0,0,,0,1,1,0,0,0,2,1,2,-3.2,A,1,1,tonnie-collier-1,Tonnie Collier,2015
15,15,17,2015-01-17,Texas Southern,,Grambling State,REG (Conf),W 60-51,,18,2,6,0.333,2,6,0.333,0,0,,0.5,5,6,0.833,1,1,2,0,0,0,1,1,11,6.8,H,1,1,tonnie-collier-1,Tonnie Collier,2015
16,16,18,2015-01-19,Texas Southern,,Jackson State,REG (Conf),W 67-54,,11,1,4,0.25,1,4,0.25,0,0,,0.375,0,0,,1,0,1,0,0,0,0,0,3,1.3,H,1,1,tonnie-collier-1,Tonnie Collier,2015
17,17,19,2015-01-24,Texas Southern,@,Arkansas–Pine Bluff,REG (Conf),L 62-66,,7,1,4,0.25,0,3,0.0,1,1,1.0,0.25,2,2,1.0,2,0,2,0,0,0,0,0,4,3.0,A,0,1,tonnie-collier-1,Tonnie Collier,2015
18,18,20,2015-01-26,Texas Southern,@,Mississippi Valley State,REG (Conf),W 85-84 (3OT),,38,8,14,0.571,5,11,0.455,3,3,1.0,0.75,5,5,1.0,2,5,7,0,0,0,0,4,26,20.7,A,1,1,tonnie-collier-1,Tonnie Collier,2015
19,19,21,2015-01-31,Texas Southern,,Alabama State,REG (Conf),W 80-65,*,14,2,5,0.4,1,3,0.333,1,2,0.5,0.5,0,0,,1,4,5,2,0,0,0,1,5,5.2,H,1,1,tonnie-collier-1,Tonnie Collier,2015
20,20,22,2015-02-02,Texas Southern,,Alabama A&M,REG (Conf),W 68-65 (OT),*,37,6,12,0.5,5,9,0.556,1,3,0.333,0.708,1,3,0.333,2,2,4,0,0,0,4,2,18,8.4,H,1,1,tonnie-collier-1,Tonnie Collier,2015
21,21,23,2015-02-07,Texas Southern,,Prairie View A&M,REG (Conf),L 55-58,*,19,3,12,0.25,1,8,0.125,2,4,0.5,0.292,1,2,0.5,2,3,5,1,0,0,2,0,8,1.4,H,0,1,tonnie-collier-1,Tonnie Collier,2015
22,22,24,2015-02-14,Texas Southern,@,Grambling State,REG (Conf),W 81-58,,17,4,8,0.5,3,7,0.429,1,1,1.0,0.688,2,2,1.0,1,1,2,2,1,0,1,1,13,11.0,A,1,1,tonnie-collier-1,Tonnie Collier,2015
23,23,25,2015-02-16,Texas Southern,@,Jackson State,REG (Conf),W 71-70 (OT),,6,0,1,0.0,0,1,0.0,0,0,,0.0,2,2,1.0,0,0,0,0,0,0,1,1,2,-0.1,A,1,1,tonnie-collier-1,Tonnie Collier,2015
24,24,26,2015-02-21,Texas Southern,,Arkansas–Pine Bluff,REG (Conf),W 56-50,,14,0,1,0.0,0,1,0.0,0,0,,0.0,2,2,1.0,0,1,1,0,1,0,1,2,2,0.8,H,1,1,tonnie-collier-1,Tonnie Collier,2015
25,25,27,2015-02-23,Texas Southern,,Mississippi Valley State,REG (Conf),W 83-73,,11,1,2,0.5,1,1,1.0,0,1,0.0,0.75,2,3,0.667,0,0,0,0,0,0,1,1,5,2.2,H,1,1,tonnie-collier-1,Tonnie Collier,2015
26,26,28,2015-02-28,Texas Southern,@,Alabama State,REG (Conf),W 58-49,,9,2,7,0.286,1,5,0.2,1,2,0.5,0.357,0,0,,1,3,4,1,1,0,0,1,5,3.8,A,1,1,tonnie-collier-1,Tonnie Collier,2015
27,27,29,2015-03-02,Texas Southern,@,Alabama A&M,REG (Conf),W 77-75,,14,1,3,0.333,1,2,0.5,0,1,0.0,0.5,0,0,,1,4,5,0,0,0,0,0,3,3.2,A,1,1,tonnie-collier-1,Tonnie Collier,2015
28,28,30,2015-03-05,Texas Southern,,Alcorn State,REG (Conf),W 94-73,,23,2,3,0.667,0,1,0.0,2,2,1.0,0.667,5,8,0.625,2,4,6,0,0,0,0,3,9,7.9,H,1,1,tonnie-collier-1,Tonnie Collier,2015
29,29,31,2015-03-07,Texas Southern,,Southern,REG (Conf),W 88-78,,14,1,3,0.333,1,2,0.5,0,1,0.0,0.5,4,5,0.8,0,3,3,0,0,0,0,3,7,4.6,H,1,1,tonnie-collier-1,Tonnie Collier,2015
30,30,32,2015-03-11,Texas Southern,N,Alcorn State,CTOURN,W 95-74,,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,0,1,1,0,-0.4,N,1,0,tonnie-collier-1,Tonnie Collier,2015
31,31,33,2015-03-13,Texas Southern,N,Prairie View A&M,CTOURN,W 90-77,,16,5,9,0.556,2,2,1.0,3,7,0.429,0.667,3,4,0.75,2,2,4,0,0,0,0,2,15,11.5,N,1,0,tonnie-collier-1,Tonnie Collier,2015
32,32,34,2015-03-14,Texas Southern,N,Southern,CTOURN,W 62-58,,15,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,0,4,4,0,0,0,2,4,0,-3.8,N,1,0,tonnie-collier-1,Tonnie Collier,2015
33,33,35,2015-03-19,Texas Southern,N,Arizona,ROUND-64,L 72-93,,24,3,9,0.333,2,6,0.333,1,3,0.333,0.444,2,3,0.667,2,2,4,0,0,0,2,1,10,4.1,N,0,0,tonnie-collier-1,Tonnie Collier,2015
