rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2015-11-13,UNC Wilmington,,Milligan,REG (Non-Conf),W 100-62,*,27,3,8,0.375,1,5,0.2,2,3,0.667,0.438,3,4,0.75,1,5,6,5,4,0,0,0,10,14.9,H,1,1,chris-flemmings-1,Chris Flemmings,2016
2,2,2,2015-11-16,UNC Wilmington,,Eastern Kentucky,REG (Non-Conf),W 78-59,*,13,1,3,0.333,1,2,0.5,0,1,0.0,0.5,0,0,,1,1,2,1,0,1,2,3,3,0.5,H,1,1,chris-flemmings-1,Chris Flemmings,2016
3,3,3,2015-11-21,UNC Wilmington,,Western Michigan,REG (Non-Conf),W 80-76,,28,5,10,0.5,4,8,0.5,1,2,0.5,0.7,5,8,0.625,3,2,5,1,2,0,1,4,19,15.6,H,1,1,chris-flemmings-1,Chris Flemmings,2016
4,4,4,2015-11-28,UNC Wilmington,@,East Tennessee State,REG (Non-Conf),W 94-73,*,24,8,13,0.615,2,6,0.333,6,7,0.857,0.692,0,0,,1,2,3,1,3,0,0,0,18,17.1,A,1,1,chris-flemmings-1,Chris Flemmings,2016
5,5,5,2015-12-02,UNC Wilmington,,Coker,REG (Non-Conf),W 93-73,,25,7,12,0.583,3,7,0.429,4,5,0.8,0.708,4,4,1.0,2,4,6,3,2,0,2,1,21,19.7,H,1,1,chris-flemmings-1,Chris Flemmings,2016
6,6,6,2015-12-12,UNC Wilmington,@,Georgetown,REG (Non-Conf),L 82-87,,29,6,10,0.6,2,3,0.667,4,7,0.571,0.7,5,7,0.714,2,2,4,0,1,1,2,2,19,14.5,A,0,1,chris-flemmings-1,Chris Flemmings,2016
7,7,7,2015-12-16,UNC Wilmington,@,East Carolina,REG (Non-Conf),L 73-78,,26,6,10,0.6,1,3,0.333,5,7,0.714,0.65,3,3,1.0,0,5,5,4,1,1,1,4,16,14.8,A,0,1,chris-flemmings-1,Chris Flemmings,2016
8,8,8,2015-12-19,UNC Wilmington,@,Radford,REG (Non-Conf),L 67-69,,30,6,8,0.75,0,1,0.0,6,7,0.857,0.75,4,6,0.667,1,6,7,3,2,1,1,1,16,17.9,A,0,1,chris-flemmings-1,Chris Flemmings,2016
9,9,9,2015-12-22,UNC Wilmington,N,Utah Valley,REG (Non-Conf),W 102-77,*,23,5,9,0.556,0,2,0.0,5,7,0.714,0.556,2,2,1.0,1,7,8,4,1,0,1,2,12,12.5,N,1,1,chris-flemmings-1,Chris Flemmings,2016
10,10,10,2015-12-23,UNC Wilmington,N,Kansas City,REG (Non-Conf),W 76-56,*,27,2,5,0.4,1,4,0.25,1,1,1.0,0.5,2,2,1.0,1,7,8,3,1,0,0,0,7,10.2,N,1,1,chris-flemmings-1,Chris Flemmings,2016
11,11,11,2015-12-28,UNC Wilmington,,Campbell,REG (Non-Conf),W 106-83,,30,6,12,0.5,2,6,0.333,4,6,0.667,0.583,4,5,0.8,2,10,12,0,2,1,1,2,18,16.9,H,1,1,chris-flemmings-1,Chris Flemmings,2016
12,12,12,2015-12-31,UNC Wilmington,,Drexel,REG (Conf),W 75-63,,27,1,3,0.333,0,1,0.0,1,2,0.5,0.333,15,16,0.938,2,0,2,0,1,1,0,0,17,18.0,H,1,1,chris-flemmings-1,Chris Flemmings,2016
