rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,64,1,2015-11-13,Baylor,,Stephen F. Austin,REG (Non-Conf),W 97-55,*,32,2,6,0.333,1,3,0.333,1,3,0.333,0.417,3,4,0.75,3,6,9,6,1,0,0,3,8,12.1,H,1,1,ish-wainright-1,Ishmail Wainright,2016
2,65,2,2015-11-16,Baylor,@,Oregon,REG (Non-Conf),L 67-74,*,32,1,6,0.167,0,1,0.0,1,5,0.2,0.167,0,0,,3,6,9,3,1,0,5,1,2,-0.2,A,0,1,ish-wainright-1,Ishmail Wainright,2016
3,66,3,2015-11-20,Baylor,,Jackson State,REG (Non-Conf),W 77-60,*,14,0,2,0.0,0,1,0.0,0,1,0.0,0.0,1,2,0.5,1,2,3,2,0,0,1,2,1,0.1,H,1,1,ish-wainright-1,Ishmail Wainright,2016
4,67,4,2015-11-23,Baylor,,Savannah State,REG (Non-Conf),W 100-61,*,25,5,8,0.625,0,1,0.0,5,7,0.714,0.625,0,0,,4,3,7,5,0,1,0,4,10,12.7,H,1,1,ish-wainright-1,Ishmail Wainright,2016
5,68,5,2015-11-27,Baylor,,Arkansas State,REG (Non-Conf),W 94-72,*,19,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,1,3,4,3,4,1,0,3,3,9.2,H,1,1,ish-wainright-1,Ishmail Wainright,2016
6,69,6,2015-12-02,Baylor,,Prairie View A&M,REG (Non-Conf),W 80-41,*,25,1,1,1.0,1,1,1.0,0,0,,1.5,0,0,,1,1,2,5,1,1,2,3,3,5.7,H,1,1,ish-wainright-1,Ishmail Wainright,2016
7,70,7,2015-12-06,Baylor,,Vanderbilt,REG (Non-Conf),W 69-67,*,32,1,7,0.143,0,1,0.0,1,6,0.167,0.143,0,0,,3,4,7,4,1,2,3,4,2,1.4,H,1,1,ish-wainright-1,Ishmail Wainright,2016
8,71,8,2015-12-08,Baylor,,Northwestern State,REG (Non-Conf),W 75-62,*,31,4,11,0.364,0,3,0.0,4,8,0.5,0.364,0,0,,1,2,3,6,0,0,0,2,8,6.6,H,1,1,ish-wainright-1,Ishmail Wainright,2016
9,72,9,2015-12-16,Baylor,,Hardin-Simmons,REG (Non-Conf),W 104-59,*,20,4,9,0.444,1,4,0.25,3,5,0.6,0.5,0,0,,1,2,3,7,1,1,2,2,9,9.4,H,1,1,ish-wainright-1,Ishmail Wainright,2016
10,73,10,2015-12-19,Baylor,@,Texas A&M,REG (Non-Conf),L 61-80,*,24,4,8,0.5,4,5,0.8,0,3,0.0,0.75,0,0,,2,0,2,2,0,0,1,5,12,7.8,A,0,1,ish-wainright-1,Ishmail Wainright,2016
