rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2015-11-14,Hampton,@,Winthrop,REG (Non-Conf),L 95-102,,8,2,5,0.4,2,4,0.5,0,1,0.0,0.6,1,2,0.5,1,1,2,0,0,0,0,3,7,3.7,A,0,1,kalin-fisher-1,Kalin Fisher,2016
2,2,2,2015-11-17,Hampton,@,American,REG (Non-Conf),W 61-48,,14,2,4,0.5,0,1,0.0,2,3,0.667,0.5,3,3,1.0,1,0,1,1,1,0,0,0,7,7.4,A,1,1,kalin-fisher-1,Kalin Fisher,2016
3,3,3,2015-11-20,Hampton,,Appalachian State,REG (Non-Conf),W 82-61,,5,0,1,0.0,0,1,0.0,0,0,,0.0,2,4,0.5,1,1,2,0,0,0,0,1,2,1.1,H,1,1,kalin-fisher-1,Kalin Fisher,2016
4,4,4,2015-11-25,Hampton,@,William & Mary,REG (Non-Conf),L 67-86,,10,1,2,0.5,1,2,0.5,0,0,,0.75,0,2,0.0,1,0,1,0,0,0,0,1,3,1.5,A,0,1,kalin-fisher-1,Kalin Fisher,2016
5,5,5,2015-11-30,Hampton,@,Grand Canyon,REG (Non-Conf),L 51-63,,16,2,5,0.4,0,2,0.0,2,3,0.667,0.4,0,0,,2,1,3,0,1,0,0,0,4,4.0,A,0,1,kalin-fisher-1,Kalin Fisher,2016
6,6,6,2015-12-02,Hampton,@,Northern Arizona,REG (Non-Conf),W 98-94 (2OT),,13,1,3,0.333,0,1,0.0,1,2,0.5,0.333,3,4,0.75,0,3,3,2,0,0,0,1,5,4.8,A,1,1,kalin-fisher-1,Kalin Fisher,2016
7,7,7,2015-12-05,Hampton,@,Coppin State,REG (Conf),W 74-71 (OT),,26,3,9,0.333,1,2,0.5,2,7,0.286,0.389,6,9,0.667,1,3,4,0,2,0,2,2,13,7.5,A,1,1,kalin-fisher-1,Kalin Fisher,2016
8,8,8,2015-12-17,Hampton,@,SMU,REG (Non-Conf),L 72-105,,12,0,4,0.0,0,3,0.0,0,1,0.0,0.0,3,5,0.6,0,1,1,0,0,0,0,0,3,-0.3,A,0,1,kalin-fisher-1,Kalin Fisher,2016
9,9,9,2015-12-19,Hampton,@,Colorado,REG (Non-Conf),L 53-95,,11,0,4,0.0,0,1,0.0,0,3,0.0,0.0,0,0,,1,2,3,0,1,0,0,1,0,-0.9,A,0,1,kalin-fisher-1,Kalin Fisher,2016
10,10,10,2015-12-22,Hampton,N,Nicholls State,REG (Non-Conf),L 81-84,,7,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,1,0,1,0,0,0,1,2,2,0.6,N,0,1,kalin-fisher-1,Kalin Fisher,2016
