rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,32,1,2015-11-13,Seton Hall,,Dartmouth,REG (Non-Conf),W 84-67,*,17,3,5,0.6,0,1,0.0,3,4,0.75,0.6,7,11,0.636,0,0,0,2,0,0,1,4,13,7.9,H,1,1,khadeen-carrington-1,Khadeen Carrington,2016
2,33,2,2015-11-15,Seton Hall,,Wagner,REG (Non-Conf),W 69-59,*,30,3,6,0.5,1,3,0.333,2,3,0.667,0.583,2,2,1.0,0,3,3,1,1,0,4,2,9,3.8,H,1,1,khadeen-carrington-1,Khadeen Carrington,2016
3,34,3,2015-11-19,Seton Hall,N,Long Beach State,REG (Non-Conf),L 77-80,*,27,5,13,0.385,2,5,0.4,3,8,0.375,0.462,3,4,0.75,0,3,3,0,0,0,2,4,15,4.8,N,0,1,khadeen-carrington-1,Khadeen Carrington,2016
4,35,4,2015-11-20,Seton Hall,N,Bradley,REG (Non-Conf),W 67-59,*,33,5,12,0.417,0,4,0.0,5,8,0.625,0.417,4,4,1.0,0,3,3,2,1,1,1,2,14,9.8,N,1,1,khadeen-carrington-1,Khadeen Carrington,2016
5,36,5,2015-11-22,Seton Hall,N,Ole Miss,REG (Non-Conf),W 75-63,*,32,4,13,0.308,2,6,0.333,2,7,0.286,0.385,0,1,0.0,0,2,2,5,1,0,2,1,10,4.8,N,1,1,khadeen-carrington-1,Khadeen Carrington,2016
6,37,6,2015-11-28,Seton Hall,,Georgia,REG (Non-Conf),W 69-62,*,33,7,13,0.538,1,4,0.25,6,9,0.667,0.577,5,10,0.5,2,4,6,3,0,0,1,0,20,15.4,H,1,1,khadeen-carrington-1,Khadeen Carrington,2016
7,38,7,2015-12-02,Seton Hall,@,George Washington,REG (Non-Conf),L 64-72,*,32,8,16,0.5,0,3,0.0,8,13,0.615,0.5,5,6,0.833,1,1,2,0,1,0,1,2,21,12.8,A,0,1,khadeen-carrington-1,Khadeen Carrington,2016
8,39,8,2015-12-05,Seton Hall,@,Rutgers,REG (Non-Conf),W 84-55,,31,6,13,0.462,2,4,0.5,4,9,0.444,0.538,4,4,1.0,0,1,1,2,1,0,2,2,18,11.2,A,1,1,khadeen-carrington-1,Khadeen Carrington,2016
9,40,9,2015-12-10,Seton Hall,,Troy,REG (Non-Conf),W 78-69,*,31,4,12,0.333,3,4,0.75,1,8,0.125,0.458,0,0,,0,3,3,4,3,0,1,2,11,9.1,H,1,1,khadeen-carrington-1,Khadeen Carrington,2016
10,41,10,2015-12-13,Seton Hall,,Saint Peter's,REG (Non-Conf),W 72-46,*,30,5,8,0.625,4,5,0.8,1,3,0.333,0.875,0,0,,0,4,4,2,3,0,2,0,14,14.0,H,1,1,khadeen-carrington-1,Khadeen Carrington,2016
