rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,62,1,2015-11-13,Weber State,,Utah State,REG (Non-Conf),L 70-73,,28,1,2,0.5,0,1,0.0,1,1,1.0,0.5,0,0,,0,2,2,2,0,1,2,4,2,0.1,H,0,1,kyndahl-hill-1,Kyndahl Hill,2016
2,63,2,2015-11-16,Weber State,@,South Dakota State,REG (Non-Conf),L 68-85,,18,2,3,0.667,0,1,0.0,2,2,1.0,0.667,7,8,0.875,1,1,2,1,0,1,1,3,11,9.5,A,0,1,kyndahl-hill-1,Kyndahl Hill,2016
3,64,3,2015-11-19,Weber State,,Antelope Valley,REG (Non-Conf),W 90-47,,18,2,5,0.4,0,0,,2,5,0.4,0.4,3,4,0.75,2,6,8,1,0,0,1,0,7,6.8,H,1,1,kyndahl-hill-1,Kyndahl Hill,2016
4,65,4,2015-11-23,Weber State,N,Central Michigan,REG (Non-Conf),W 63-60,,12,1,3,0.333,0,2,0.0,1,1,1.0,0.333,2,2,1.0,1,1,2,0,0,0,0,3,4,2.1,N,1,1,kyndahl-hill-1,Kyndahl Hill,2016
5,66,5,2015-11-24,Weber State,N,Drake,REG (Non-Conf),W 74-58,,19,1,4,0.25,0,2,0.0,1,2,0.5,0.25,2,3,0.667,2,3,5,0,0,0,0,2,4,2.7,N,1,1,kyndahl-hill-1,Kyndahl Hill,2016
6,67,6,2015-11-25,Weber State,N,Murray State,REG (Non-Conf),W 75-59,,20,2,5,0.4,0,1,0.0,2,4,0.5,0.4,1,2,0.5,0,3,3,3,1,1,0,0,5,6.6,N,1,1,kyndahl-hill-1,Kyndahl Hill,2016
7,68,7,2015-12-01,Weber State,,Pacific Union,REG (Non-Conf),W 95-57,,13,5,5,1.0,0,0,,5,5,1.0,1.0,0,0,,3,3,6,0,0,0,0,0,10,11.5,H,1,1,kyndahl-hill-1,Kyndahl Hill,2016
8,69,8,2015-12-05,Weber State,@,Brigham Young,REG (Non-Conf),L 68-73,,22,3,5,0.6,0,0,,3,5,0.6,0.6,2,2,1.0,2,2,4,0,0,0,2,3,8,4.5,A,0,1,kyndahl-hill-1,Kyndahl Hill,2016
9,70,9,2015-12-09,Weber State,@,Utah Valley,REG (Non-Conf),L 81-84 (2OT),,33,3,9,0.333,1,2,0.5,2,7,0.286,0.389,3,4,0.75,4,4,8,0,2,4,0,5,10,11.3,A,0,1,kyndahl-hill-1,Kyndahl Hill,2016
10,71,10,2015-12-13,Weber State,@,Denver,REG (Non-Conf),L 68-69,,25,6,8,0.75,0,0,,6,8,0.75,0.75,1,2,0.5,4,6,10,0,2,2,2,0,13,15.4,A,0,1,kyndahl-hill-1,Kyndahl Hill,2016
11,72,11,2015-12-18,Weber State,N,Portland,REG (Non-Conf),W 92-82 (OT),,31,3,4,0.75,0,0,,3,4,0.75,0.75,3,6,0.5,3,8,11,2,0,3,1,2,9,12.4,N,1,1,kyndahl-hill-1,Kyndahl Hill,2016
12,73,12,2015-12-22,Weber State,,South Dakota State,REG (Non-Conf),W 99-95,,28,7,7,1.0,0,0,,7,7,1.0,1.0,7,8,0.875,2,4,6,2,1,2,2,4,21,21.3,H,1,1,kyndahl-hill-1,Kyndahl Hill,2016
13,74,13,2015-12-28,Weber State,,Multnomah,REG (Non-Conf),W 114-47,*,19,5,5,1.0,0,0,,5,5,1.0,1.0,1,1,1.0,3,5,8,0,1,1,0,3,11,13.6,H,1,1,kyndahl-hill-1,Kyndahl Hill,2016
14,75,14,2016-01-02,Weber State,,Idaho State,REG (Conf),W 77-56,,25,3,4,0.75,0,0,,3,4,0.75,0.75,5,6,0.833,1,2,3,2,1,1,3,3,11,9.2,H,1,1,kyndahl-hill-1,Kyndahl Hill,2016
15,76,15,2016-01-07,Weber State,,North Dakota,REG (Conf),W 74-62,,27,4,6,0.667,0,0,,4,6,0.667,0.667,0,0,,0,5,5,0,0,5,1,4,8,7.8,H,1,1,kyndahl-hill-1,Kyndahl Hill,2016
16,77,16,2016-01-09,Weber State,,Northern Colorado,REG (Conf),W 85-68,,22,5,7,0.714,0,0,,5,7,0.714,0.714,4,5,0.8,2,6,8,1,0,1,0,4,14,13.7,H,1,1,kyndahl-hill-1,Kyndahl Hill,2016
17,78,17,2016-01-14,Weber State,@,Portland State,REG (Conf),W 73-58,,23,2,5,0.4,0,0,,2,5,0.4,0.4,1,2,0.5,4,3,7,0,0,0,0,3,5,4.4,A,1,1,kyndahl-hill-1,Kyndahl Hill,2016
18,79,18,2016-01-16,Weber State,@,Sacramento State,REG (Conf),W 85-74,,19,3,3,1.0,0,0,,3,3,1.0,1.0,3,3,1.0,1,1,2,0,0,0,1,3,9,6.9,A,1,1,kyndahl-hill-1,Kyndahl Hill,2016
19,80,19,2016-01-23,Weber State,@,Idaho State,REG (Conf),L 68-69,,30,1,2,0.5,0,0,,1,2,0.5,0.5,4,4,1.0,5,7,12,2,0,0,3,1,6,8.6,A,0,1,kyndahl-hill-1,Kyndahl Hill,2016
20,81,20,2016-01-28,Weber State,,Northern Arizona,REG (Conf),W 76-66,,25,3,4,0.75,0,0,,3,4,0.75,0.75,2,5,0.4,4,0,4,2,1,0,2,1,8,8.0,H,1,1,kyndahl-hill-1,Kyndahl Hill,2016
21,82,21,2016-01-30,Weber State,,Southern Utah,REG (Conf),W 77-50,,18,4,7,0.571,0,0,,4,7,0.571,0.571,0,0,,2,4,6,0,0,0,1,2,8,5.5,H,1,1,kyndahl-hill-1,Kyndahl Hill,2016
22,83,22,2016-02-04,Weber State,@,Northern Colorado,REG (Conf),W 64-54,,22,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,3,3,1,0,2,1,2,0,-0.2,A,1,1,kyndahl-hill-1,Kyndahl Hill,2016
23,84,23,2016-02-06,Weber State,@,North Dakota,REG (Conf),L 71-78,,21,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,2,5,7,1,1,1,0,5,2,4.3,A,0,1,kyndahl-hill-1,Kyndahl Hill,2016
24,85,24,2016-02-11,Weber State,,Sacramento State,REG (Conf),W 63-50,,22,3,6,0.5,0,0,,3,6,0.5,0.5,2,2,1.0,4,7,11,2,0,3,1,4,8,10.8,H,1,1,kyndahl-hill-1,Kyndahl Hill,2016
25,86,25,2016-02-13,Weber State,,Portland State,REG (Conf),W 87-78,,15,3,3,1.0,0,0,,3,3,1.0,1.0,1,4,0.25,1,3,4,0,1,1,1,4,7,5.6,H,1,1,kyndahl-hill-1,Kyndahl Hill,2016
26,87,26,2016-02-18,Weber State,@,Southern Utah,REG (Conf),W 87-83,,17,1,1,1.0,0,0,,1,1,1.0,1.0,1,1,1.0,3,0,3,0,0,0,3,3,3,0.6,A,1,1,kyndahl-hill-1,Kyndahl Hill,2016
27,88,27,2016-02-20,Weber State,@,Northern Arizona,REG (Conf),W 77-74,,33,8,13,0.615,0,0,,8,13,0.615,0.615,3,5,0.6,2,6,8,0,0,0,1,2,19,13.7,A,1,1,kyndahl-hill-1,Kyndahl Hill,2016
28,89,28,2016-02-25,Weber State,,Montana State,REG (Conf),W 68-60,*,32,6,9,0.667,0,0,,6,9,0.667,0.667,4,5,0.8,1,9,10,1,1,2,2,2,16,15.4,H,1,1,kyndahl-hill-1,Kyndahl Hill,2016
29,90,29,2016-02-27,Weber State,,Montana,REG (Conf),W 60-54,*,35,1,6,0.167,0,0,,1,6,0.167,0.167,3,4,0.75,0,6,6,0,2,3,2,2,5,3.9,H,1,1,kyndahl-hill-1,Kyndahl Hill,2016
30,91,30,2016-03-03,Weber State,@,Idaho,REG (Conf),L 58-62,,15,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,4,4,1,0,0,1,4,2,0.3,A,0,1,kyndahl-hill-1,Kyndahl Hill,2016
31,92,31,2016-03-05,Weber State,@,Eastern Washington,REG (Conf),W 79-77,,22,3,3,1.0,0,0,,3,3,1.0,1.0,5,5,1.0,0,2,2,1,0,1,0,2,11,11.3,A,1,1,kyndahl-hill-1,Kyndahl Hill,2016
32,93,32,2016-03-10,Weber State,N,Portland State,CTOURN,W 78-74,,25,2,3,0.667,0,0,,2,3,0.667,0.667,2,2,1.0,1,6,7,1,0,0,4,3,6,2.7,N,1,0,kyndahl-hill-1,Kyndahl Hill,2016
33,94,33,2016-03-11,Weber State,N,North Dakota,CTOURN,W 83-78 (OT),,31,3,4,0.75,0,0,,3,4,0.75,0.75,1,2,0.5,2,5,7,1,0,1,0,4,7,7.7,N,1,0,kyndahl-hill-1,Kyndahl Hill,2016
34,95,34,2016-03-12,Weber State,N,Montana,CTOURN,W 62-59,,29,5,10,0.5,0,1,0.0,5,9,0.556,0.5,0,0,,1,5,6,2,1,0,0,1,10,9.2,N,1,0,kyndahl-hill-1,Kyndahl Hill,2016
35,96,35,2016-03-18,Weber State,N,Xavier,ROUND-64,L 53-71,,20,2,5,0.4,0,0,,2,5,0.4,0.4,1,1,1.0,0,4,4,0,1,0,2,3,5,1.3,N,0,0,kyndahl-hill-1,Kyndahl Hill,2016
