rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,71,1,2015-11-13,Xavier,,Miami (OH),REG (Non-Conf),W 81-72,*,25,1,5,0.2,1,3,0.333,0,2,0.0,0.3,2,3,0.667,0,1,1,3,1,0,0,1,5,4.5,H,1,1,myles-davis-1,Myles Davis,2016
2,72,2,2015-11-17,Xavier,,Missouri,REG (Non-Conf),W 78-66,*,31,3,7,0.429,0,4,0.0,3,3,1.0,0.429,4,4,1.0,1,2,3,4,2,0,1,1,10,11.0,H,1,1,myles-davis-1,Myles Davis,2016
3,73,3,2015-11-20,Xavier,@,Michigan,REG (Non-Conf),W 86-70,*,26,3,11,0.273,1,3,0.333,2,8,0.25,0.318,7,7,1.0,4,2,6,3,0,0,1,4,14,10.4,A,1,1,myles-davis-1,Myles Davis,2016
4,74,4,2015-11-23,Xavier,,Northern Kentucky,REG (Non-Conf),W 78-66,*,31,4,9,0.444,2,5,0.4,2,4,0.5,0.556,2,2,1.0,0,2,2,0,1,1,1,3,12,7.4,H,1,1,myles-davis-1,Myles Davis,2016
5,75,5,2015-11-26,Xavier,N,Alabama,REG (Non-Conf),W 64-45,*,26,2,7,0.286,2,6,0.333,0,1,0.0,0.429,0,0,,0,6,6,2,0,1,2,0,6,3.8,N,1,1,myles-davis-1,Myles Davis,2016
6,76,6,2015-11-27,Xavier,N,Southern California,REG (Non-Conf),W 87-77,*,34,3,8,0.375,2,5,0.4,1,3,0.333,0.5,4,5,0.8,0,3,3,2,1,0,1,1,12,9.1,N,1,1,myles-davis-1,Myles Davis,2016
7,77,7,2015-11-29,Xavier,N,Dayton,REG (Non-Conf),W 90-61,*,24,5,8,0.625,2,4,0.5,3,4,0.75,0.75,0,0,,2,4,6,3,1,0,3,2,12,10.3,N,1,1,myles-davis-1,Myles Davis,2016
8,78,8,2015-12-05,Xavier,,Western Kentucky,REG (Non-Conf),W 95-64,*,30,5,9,0.556,3,5,0.6,2,4,0.5,0.722,3,3,1.0,0,0,0,6,0,1,1,1,16,15.2,H,1,1,myles-davis-1,Myles Davis,2016
9,79,9,2015-12-08,Xavier,,Wright State,REG (Non-Conf),W 90-55,*,20,3,6,0.5,2,4,0.5,1,2,0.5,0.667,5,5,1.0,1,4,5,2,0,0,0,1,13,12.9,H,1,1,myles-davis-1,Myles Davis,2016
10,80,10,2015-12-12,Xavier,,Cincinnati,REG (Non-Conf),W 65-55,*,32,7,10,0.7,3,4,0.75,4,6,0.667,0.85,0,0,,1,2,3,3,1,0,0,0,17,17.2,H,1,1,myles-davis-1,Myles Davis,2016
11,81,11,2015-12-19,Xavier,,Auburn,REG (Non-Conf),W 85-61,*,27,2,9,0.222,1,5,0.2,1,4,0.25,0.278,0,0,,0,1,1,5,3,0,1,1,5,4.9,H,1,1,myles-davis-1,Myles Davis,2016
12,82,12,2015-12-22,Xavier,@,Wake Forest,REG (Non-Conf),W 78-70,*,29,2,7,0.286,1,4,0.25,1,3,0.333,0.357,4,4,1.0,1,4,5,3,2,0,0,2,9,10.1,A,1,1,myles-davis-1,Myles Davis,2016
13,83,13,2015-12-31,Xavier,@,Villanova,REG (Conf),L 64-95,*,27,1,8,0.125,1,4,0.25,0,4,0.0,0.188,0,0,,2,1,3,5,0,0,5,2,3,-2.8,A,0,1,myles-davis-1,Myles Davis,2016
14,84,14,2016-01-02,Xavier,,Butler,REG (Conf),W 88-69,*,25,4,8,0.5,3,6,0.5,1,2,0.5,0.688,0,0,,0,1,1,5,0,0,3,4,11,6.2,H,1,1,myles-davis-1,Myles Davis,2016
15,85,15,2016-01-06,Xavier,@,St. John's (NY),REG (Conf),W 74-66,*,36,4,9,0.444,2,5,0.4,2,4,0.5,0.556,9,9,1.0,0,3,3,4,1,0,3,1,19,15.6,A,1,1,myles-davis-1,Myles Davis,2016
16,86,16,2016-01-12,Xavier,,DePaul,REG (Conf),W 84-64,*,29,4,8,0.5,3,5,0.6,1,3,0.333,0.688,3,4,0.75,0,2,2,7,1,1,1,2,14,15.0,H,1,1,myles-davis-1,Myles Davis,2016
17,87,17,2016-01-16,Xavier,@,Marquette,REG (Conf),W 74-66,*,36,2,10,0.2,2,7,0.286,0,3,0.0,0.3,0,0,,1,7,8,4,0,0,2,3,6,2.2,A,1,1,myles-davis-1,Myles Davis,2016
