rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,32,1,2015-11-13,Texas Tech,,High Point,REG (Non-Conf),W 77-73,*,9,2,3,0.667,0,1,0.0,2,2,1.0,0.667,0,0,,0,0,0,2,0,0,1,4,4,1.5,H,1,1,norense-odiase-1,Norense Odiase,2016
2,33,2,2015-11-19,Texas Tech,N,Utah,REG (Non-Conf),L 63-73,*,22,4,9,0.444,0,0,,4,9,0.444,0.444,1,2,0.5,4,2,6,0,0,2,0,4,9,7.1,N,0,1,norense-odiase-1,Norense Odiase,2016
3,34,3,2015-11-20,Texas Tech,N,Mississippi State,REG (Non-Conf),W 74-72,*,26,2,7,0.286,0,0,,2,7,0.286,0.286,0,1,0.0,4,6,10,1,0,0,1,3,4,2.6,N,1,1,norense-odiase-1,Norense Odiase,2016
4,35,4,2015-11-22,Texas Tech,N,Minnesota,REG (Non-Conf),W 81-68,*,25,2,5,0.4,0,0,,2,5,0.4,0.4,1,2,0.5,1,4,5,0,0,1,0,3,5,3.3,N,1,1,norense-odiase-1,Norense Odiase,2016
5,36,5,2015-11-28,Texas Tech,,Hawaii,REG (Non-Conf),W 82-74,*,32,8,13,0.615,0,0,,8,13,0.615,0.615,0,3,0.0,1,2,3,1,0,0,1,2,16,9.1,H,1,1,norense-odiase-1,Norense Odiase,2016
6,37,6,2015-12-02,Texas Tech,,Sam Houston State,REG (Non-Conf),W 71-56,*,18,5,7,0.714,0,0,,5,7,0.714,0.714,6,10,0.6,1,3,4,0,0,1,1,4,16,11.2,H,1,1,norense-odiase-1,Norense Odiase,2016
7,38,7,2015-12-09,Texas Tech,,UT Martin,REG (Non-Conf),W 68-49,*,18,3,8,0.375,0,0,,3,8,0.375,0.375,1,2,0.5,2,3,5,1,0,1,0,4,7,4.3,H,1,1,norense-odiase-1,Norense Odiase,2016
8,39,8,2015-12-16,Texas Tech,,South Dakota State,REG (Non-Conf),W 79-67,*,25,3,7,0.429,0,0,,3,7,0.429,0.429,4,4,1.0,3,1,4,3,2,1,1,2,10,11.7,H,1,1,norense-odiase-1,Norense Odiase,2016
9,40,9,2015-12-19,Texas Tech,,Arkansas–Pine Bluff,REG (Non-Conf),W 94-54,*,23,4,8,0.5,0,0,,4,8,0.5,0.5,4,6,0.667,2,5,7,1,0,2,3,2,12,8.4,H,1,1,norense-odiase-1,Norense Odiase,2016
10,41,10,2015-12-22,Texas Tech,,Little Rock,REG (Non-Conf),W 65-53,*,9,2,5,0.4,0,0,,2,5,0.4,0.4,2,2,1.0,0,1,1,0,1,0,3,4,6,0.0,H,1,1,norense-odiase-1,Norense Odiase,2016
11,42,11,2015-12-29,Texas Tech,,Richmond,REG (Non-Conf),W 85-70,*,24,7,12,0.583,0,0,,7,12,0.583,0.583,0,0,,3,6,9,0,1,1,2,3,14,10.8,H,1,1,norense-odiase-1,Norense Odiase,2016
12,43,12,2016-01-02,Texas Tech,,Texas,REG (Conf),W 82-74,*,23,4,8,0.5,0,0,,4,8,0.5,0.5,5,5,1.0,2,5,7,1,1,0,3,4,13,9.0,H,1,1,norense-odiase-1,Norense Odiase,2016
13,44,13,2016-01-06,Texas Tech,@,Iowa State,REG (Conf),L 69-76,*,21,5,9,0.556,0,0,,5,9,0.556,0.556,1,2,0.5,1,4,5,1,0,1,3,4,11,5.0,A,0,1,norense-odiase-1,Norense Odiase,2016
14,45,14,2016-01-09,Texas Tech,,Kansas,REG (Conf),L 59-69,*,29,7,11,0.636,0,0,,7,11,0.636,0.636,0,1,0.0,0,3,3,1,0,0,2,2,14,7.5,H,0,1,norense-odiase-1,Norense Odiase,2016
15,46,15,2016-01-12,Texas Tech,@,Kansas State,REG (Conf),L 70-83,*,10,2,6,0.333,0,0,,2,6,0.333,0.333,0,0,,3,0,3,0,0,0,3,3,4,-1.5,A,0,1,norense-odiase-1,Norense Odiase,2016
16,47,16,2016-01-16,Texas Tech,,Baylor,REG (Conf),L 60-63,*,19,0,3,0.0,0,0,,0,3,0.0,0.0,0,0,,0,1,1,3,0,1,4,2,0,-3.8,H,0,1,norense-odiase-1,Norense Odiase,2016
17,48,17,2016-01-18,Texas Tech,@,TCU,REG (Conf),W 76-69,*,8,4,6,0.667,0,0,,4,6,0.667,0.667,0,0,,1,2,3,0,0,3,2,0,8,6.8,A,1,1,norense-odiase-1,Norense Odiase,2016
18,49,30,2016-03-05,Texas Tech,,Kansas State,REG (Conf),W 80-71,,8,2,2,1.0,0,0,,2,2,1.0,1.0,0,0,,1,0,1,1,0,0,1,3,4,2.6,H,1,1,norense-odiase-1,Norense Odiase,2016
19,50,31,2016-03-09,Texas Tech,N,TCU,CTOURN,L 62-67,,19,5,10,0.5,0,0,,5,10,0.5,0.5,0,0,,3,3,6,1,0,0,1,1,10,7.3,N,0,0,norense-odiase-1,Norense Odiase,2016
20,51,32,2016-03-17,Texas Tech,N,Butler,ROUND-64,L 61-71,,11,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,1,1,2,1,0,2,3,2,1.2,N,0,0,norense-odiase-1,Norense Odiase,2016
