rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,32,1,2015-11-13,Saint Joseph's,,Drexel,REG (Non-Conf),W 82-81,*,25,1,6,0.167,0,1,0.0,1,5,0.2,0.167,4,6,0.667,0,3,3,4,0,0,1,3,6,2.9,H,1,1,shavar-newkirk-1,Shavar Newkirk,2016
2,33,2,2015-11-15,Saint Joseph's,,Niagara,REG (Non-Conf),W 73-62,*,22,1,3,0.333,0,0,,1,3,0.333,0.333,4,4,1.0,0,4,4,2,0,0,1,0,6,5.9,H,1,1,shavar-newkirk-1,Shavar Newkirk,2016
3,34,3,2015-11-18,Saint Joseph's,,Buffalo,REG (Non-Conf),W 89-67,*,23,4,7,0.571,1,2,0.5,3,5,0.6,0.643,3,3,1.0,0,2,2,2,0,1,2,0,12,9.4,H,1,1,shavar-newkirk-1,Shavar Newkirk,2016
4,35,4,2015-11-21,Saint Joseph's,N,Florida,REG (Non-Conf),L 63-74,*,21,2,5,0.4,0,1,0.0,2,4,0.5,0.4,1,2,0.5,0,3,3,0,0,0,2,1,5,0.4,N,0,1,shavar-newkirk-1,Shavar Newkirk,2016
5,36,5,2015-11-22,Saint Joseph's,N,Old Dominion,REG (Non-Conf),W 66-64,*,23,4,8,0.5,0,1,0.0,4,7,0.571,0.5,2,4,0.5,1,0,1,2,0,0,0,3,10,6.1,N,1,1,shavar-newkirk-1,Shavar Newkirk,2016
6,37,6,2015-12-01,Saint Joseph's,,Villanova,REG (Non-Conf),L 72-86,*,31,4,9,0.444,1,2,0.5,3,7,0.429,0.5,4,4,1.0,0,3,3,9,1,0,0,1,13,16.1,H,0,1,shavar-newkirk-1,Shavar Newkirk,2016
7,38,7,2015-12-04,Saint Joseph's,@,Columbia,REG (Non-Conf),W 80-78,*,24,1,5,0.2,0,0,,1,5,0.2,0.2,2,2,1.0,0,1,1,5,0,0,2,2,4,1.9,A,1,1,shavar-newkirk-1,Shavar Newkirk,2016
8,39,8,2015-12-08,Saint Joseph's,,Princeton,REG (Non-Conf),W 62-50,*,20,0,6,0.0,0,2,0.0,0,4,0.0,0.0,0,0,,0,1,1,0,0,0,0,1,0,-4.3,H,1,1,shavar-newkirk-1,Shavar Newkirk,2016
9,40,9,2015-12-13,Saint Joseph's,@,Temple,REG (Non-Conf),W 66-65 (OT),*,20,2,5,0.4,1,1,1.0,1,4,0.25,0.5,0,1,0.0,0,1,1,0,0,1,1,0,5,1.9,A,1,1,shavar-newkirk-1,Shavar Newkirk,2016
10,41,10,2015-12-19,Saint Joseph's,,Illinois State,REG (Non-Conf),W 79-65,*,27,4,7,0.571,3,5,0.6,1,2,0.5,0.786,2,3,0.667,1,3,4,6,0,0,2,0,13,13.1,H,1,1,shavar-newkirk-1,Shavar Newkirk,2016
11,42,11,2015-12-22,Saint Joseph's,N,Virginia Tech,REG (Non-Conf),W 79-62,*,26,3,9,0.333,2,5,0.4,1,4,0.25,0.444,0,0,,0,1,1,2,1,0,3,0,8,2.6,N,1,1,shavar-newkirk-1,Shavar Newkirk,2016
12,43,12,2015-12-29,Saint Joseph's,,Maryland Eastern Shore,REG (Non-Conf),W 78-68,*,25,2,6,0.333,2,4,0.5,0,2,0.0,0.5,0,0,,1,2,3,2,2,0,4,0,6,3.3,H,1,1,shavar-newkirk-1,Shavar Newkirk,2016
13,44,13,2016-01-02,Saint Joseph's,@,Richmond,REG (Conf),W 77-73,*,27,2,5,0.4,1,2,0.5,1,3,0.333,0.5,5,6,0.833,0,0,0,4,0,0,1,0,10,8.7,A,1,1,shavar-newkirk-1,Shavar Newkirk,2016
14,45,14,2016-01-05,Saint Joseph's,,VCU,REG (Conf),L 82-85,*,26,2,6,0.333,0,2,0.0,2,4,0.5,0.333,5,7,0.714,1,1,2,3,1,0,3,0,9,5.9,H,0,1,shavar-newkirk-1,Shavar Newkirk,2016
15,46,15,2016-01-10,Saint Joseph's,,Rhode Island,REG (Conf),W 72-67,*,22,1,5,0.2,0,1,0.0,1,4,0.25,0.2,5,8,0.625,1,3,4,1,0,0,0,1,7,4.6,H,1,1,shavar-newkirk-1,Shavar Newkirk,2016
16,47,16,2016-01-13,Saint Joseph's,@,George Mason,REG (Conf),W 87-73,*,22,2,6,0.333,0,2,0.0,2,4,0.5,0.333,8,10,0.8,1,0,1,3,0,0,2,2,12,7.8,A,1,1,shavar-newkirk-1,Shavar Newkirk,2016
17,48,17,2016-01-16,Saint Joseph's,,Fordham,REG (Conf),W 80-55,*,20,3,8,0.375,1,2,0.5,2,6,0.333,0.438,0,0,,2,2,4,3,0,1,0,0,7,7.4,H,1,1,shavar-newkirk-1,Shavar Newkirk,2016
18,49,18,2016-01-20,Saint Joseph's,@,Pennsylvania,REG (Non-Conf),W 75-60,*,18,3,5,0.6,1,1,1.0,2,4,0.5,0.7,4,4,1.0,1,1,2,5,0,0,1,2,11,11.4,A,1,1,shavar-newkirk-1,Shavar Newkirk,2016
19,50,19,2016-01-24,Saint Joseph's,@,La Salle,REG (Conf),W 69-48,*,21,2,7,0.286,0,5,0.0,2,2,1.0,0.286,0,2,0.0,0,0,0,1,2,0,0,0,4,1.8,A,1,1,shavar-newkirk-1,Shavar Newkirk,2016
20,51,20,2016-01-27,Saint Joseph's,,Massachusetts,REG (Conf),W 78-70,*,29,2,6,0.333,0,1,0.0,2,5,0.4,0.333,3,6,0.5,1,2,3,2,0,1,3,1,7,2.4,H,1,1,shavar-newkirk-1,Shavar Newkirk,2016
