rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,65,1,2015-11-13,Indiana,,Eastern Illinois,REG (Non-Conf),W 88-49,*,22,4,8,0.5,0,2,0.0,4,6,0.667,0.5,4,8,0.5,2,6,8,0,2,0,1,4,12,9.0,H,1,1,troy-williams-2,Troy Williams,2016
2,66,2,2015-11-16,Indiana,,Austin Peay,REG (Non-Conf),W 102-76,*,26,6,9,0.667,1,1,1.0,5,8,0.625,0.722,1,2,0.5,2,3,5,5,2,1,2,1,14,15.8,H,1,1,troy-williams-2,Troy Williams,2016
3,67,3,2015-11-19,Indiana,,Creighton,REG (Non-Conf),W 86-65,*,30,6,13,0.462,0,1,0.0,6,12,0.5,0.462,1,2,0.5,2,2,4,3,1,1,4,3,13,6.5,H,1,1,troy-williams-2,Troy Williams,2016
4,68,4,2015-11-23,Indiana,N,Wake Forest,REG (Non-Conf),L 78-82,*,36,6,10,0.6,1,3,0.333,5,7,0.714,0.65,3,4,0.75,0,3,3,4,5,2,5,2,16,15.3,N,0,1,troy-williams-2,Troy Williams,2016
5,69,5,2015-11-24,Indiana,N,St. John's (NY),REG (Non-Conf),W 83-73,,19,3,5,0.6,1,2,0.5,2,3,0.667,0.7,0,0,,1,8,9,4,2,1,1,1,7,11.9,N,1,1,troy-williams-2,Troy Williams,2016
6,70,6,2015-11-25,Indiana,N,UNLV,REG (Non-Conf),L 69-72,*,27,3,7,0.429,0,0,,3,7,0.429,0.429,3,4,0.75,1,5,6,2,0,0,4,3,9,3.3,N,0,1,troy-williams-2,Troy Williams,2016
7,71,7,2015-11-30,Indiana,,Alcorn State,REG (Non-Conf),W 112-70,*,22,2,3,0.667,0,0,,2,3,0.667,0.667,7,8,0.875,4,4,8,1,1,2,1,2,11,14.6,H,1,1,troy-williams-2,Troy Williams,2016
8,72,8,2015-12-02,Indiana,@,Duke,REG (Non-Conf),L 74-94,*,24,6,7,0.857,0,0,,6,7,0.857,0.857,5,7,0.714,0,3,3,0,1,1,2,3,17,13.1,A,0,1,troy-williams-2,Troy Williams,2016
9,73,9,2015-12-05,Indiana,,Morehead State,REG (Non-Conf),W 92-59,*,22,6,7,0.857,0,0,,6,7,0.857,0.857,4,8,0.5,0,4,4,0,0,1,1,4,16,11.2,H,1,1,troy-williams-2,Troy Williams,2016
10,74,10,2015-12-09,Indiana,,IPFW,REG (Non-Conf),W 90-65,*,33,4,11,0.364,0,2,0.0,4,9,0.444,0.364,7,11,0.636,3,16,19,2,2,5,5,1,15,15.7,H,1,1,troy-williams-2,Troy Williams,2016
11,75,11,2015-12-12,Indiana,,McNeese State,REG (Non-Conf),W 105-60,*,24,6,11,0.545,1,2,0.5,5,9,0.556,0.591,0,0,,3,4,7,3,2,1,4,1,13,11.4,H,1,1,troy-williams-2,Troy Williams,2016
12,76,12,2015-12-19,Indiana,N,Notre Dame,REG (Non-Conf),W 80-73,*,25,6,14,0.429,0,1,0.0,6,13,0.462,0.429,6,9,0.667,5,5,10,2,3,0,4,1,18,14.4,N,1,1,troy-williams-2,Troy Williams,2016
