rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,66,1,2015-11-13,Colorado,N,Iowa State,REG (Non-Conf),L 62-68,*,20,2,7,0.286,0,0,,2,7,0.286,0.286,0,0,,0,3,3,1,1,0,2,5,4,-1.5,N,0,1,wesley-gordon-1,Wesley Gordon,2016
2,67,2,2015-11-17,Colorado,@,Auburn,REG (Non-Conf),W 91-84,*,32,3,7,0.429,0,0,,3,7,0.429,0.429,2,2,1.0,3,2,5,2,1,1,1,2,8,8.3,A,1,1,wesley-gordon-1,Wesley Gordon,2016
3,68,3,2015-11-20,Colorado,,Portland,REG (Non-Conf),W 85-63,*,19,0,2,0.0,0,0,,0,2,0.0,0.0,0,2,0.0,3,3,6,2,0,6,3,2,0,2.6,H,1,1,wesley-gordon-1,Wesley Gordon,2016
4,69,4,2015-11-22,Colorado,,Omaha,REG (Non-Conf),W 87-82,*,29,4,9,0.444,0,0,,4,9,0.444,0.444,4,4,1.0,2,5,7,2,0,3,2,4,12,10.1,H,1,1,wesley-gordon-1,Wesley Gordon,2016
5,70,5,2015-11-25,Colorado,,Air Force,REG (Non-Conf),W 81-70,,22,0,1,0.0,0,0,,0,1,0.0,0.0,1,2,0.5,1,7,8,0,1,0,1,0,1,2.7,H,1,1,wesley-gordon-1,Wesley Gordon,2016
6,71,6,2015-11-29,Colorado,,Northern Colorado,REG (Non-Conf),W 82-52,*,26,3,5,0.6,0,0,,3,5,0.6,0.6,3,4,0.75,3,12,15,0,0,2,1,0,9,12.4,H,1,1,wesley-gordon-1,Wesley Gordon,2016
7,72,7,2015-12-02,Colorado,,Fort Lewis,REG (Non-Conf),W 95-71,*,30,3,6,0.5,0,1,0.0,3,5,0.6,0.5,2,4,0.5,4,6,10,1,0,1,1,1,8,8.8,H,1,1,wesley-gordon-1,Wesley Gordon,2016
8,73,8,2015-12-06,Colorado,@,Colorado State,REG (Non-Conf),W 88-77,*,33,3,4,0.75,2,2,1.0,1,2,0.5,1.0,7,9,0.778,5,7,12,1,0,3,0,1,15,20.6,A,1,1,wesley-gordon-1,Wesley Gordon,2016
9,74,9,2015-12-12,Colorado,,Brigham Young,REG (Non-Conf),W 92-83,*,29,3,8,0.375,0,1,0.0,3,7,0.429,0.375,3,4,0.75,2,3,5,1,1,3,0,3,9,9.1,H,1,1,wesley-gordon-1,Wesley Gordon,2016
10,75,10,2015-12-18,Colorado,,Nicholls State,REG (Non-Conf),W 85-68,*,31,1,3,0.333,0,0,,1,3,0.333,0.333,3,4,0.75,2,5,7,1,0,7,1,1,5,10.0,H,1,1,wesley-gordon-1,Wesley Gordon,2016
