rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,93,1,2015-11-13,Notre Dame,,Saint Francis (PA),REG (Non-Conf),W 87-56,*,25,6,12,0.5,0,0,6,12,0.5,0.5,3,5,0.6,4,10,14,2,1,0,1,0,15,15.4,H,1,1,zach-auguste-1,Zach Auguste,2016
2,94,2,2015-11-17,Notre Dame,,Milwaukee,REG (Non-Conf),W 86-78,*,27,8,11,0.727,0,0,8,11,0.727,0.727,1,2,0.5,3,3,6,3,2,1,2,3,17,16.7,H,1,1,zach-auguste-1,Zach Auguste,2016
3,95,3,2015-11-21,Notre Dame,,UMass Lowell,REG (Non-Conf),W 83-57,*,25,7,11,0.636,0,0,7,11,0.636,0.636,5,6,0.833,5,5,10,3,3,1,3,3,19,20.3,H,1,1,zach-auguste-1,Zach Auguste,2016
4,96,4,2015-11-26,Notre Dame,N,Monmouth,REG (Non-Conf),L 68-70,*,32,5,11,0.455,0,0,5,11,0.455,0.455,2,4,0.5,5,8,13,3,0,1,5,2,12,8.4,N,0,1,zach-auguste-1,Zach Auguste,2016
5,97,5,2015-11-27,Notre Dame,N,Iowa,REG (Non-Conf),W 68-62,*,26,2,6,0.333,0,0,2,6,0.333,0.333,0,1,0.0,3,8,11,2,0,2,2,4,4,3.9,N,1,1,zach-auguste-1,Zach Auguste,2016
6,98,6,2015-11-29,Notre Dame,N,Alabama,REG (Non-Conf),L 73-74,*,39,6,14,0.429,0,0,6,14,0.429,0.429,4,9,0.444,3,7,10,0,0,0,2,3,16,7.6,N,0,1,zach-auguste-1,Zach Auguste,2016
7,99,7,2015-12-02,Notre Dame,@,Illinois,REG (Non-Conf),W 84-79,*,33,6,13,0.462,0,0,6,13,0.462,0.462,4,7,0.571,3,11,14,4,1,2,3,1,16,15.3,A,1,1,zach-auguste-1,Zach Auguste,2016
8,100,8,2015-12-08,Notre Dame,,Stony Brook,REG (Non-Conf),W 86-61,*,30,9,13,0.692,0,0,9,13,0.692,0.692,5,8,0.625,2,9,11,2,0,2,4,2,23,18.4,H,1,1,zach-auguste-1,Zach Auguste,2016
9,101,9,2015-12-13,Notre Dame,,Loyola Chicago,REG (Non-Conf),W 81-61,*,23,4,8,0.5,0,0,4,8,0.5,0.5,0,1,0.0,2,3,5,1,2,0,3,1,8,5.2,H,1,1,zach-auguste-1,Zach Auguste,2016
10,102,10,2015-12-19,Notre Dame,N,Indiana,REG (Non-Conf),L 73-80,*,29,6,8,0.75,0,0,6,8,0.75,0.75,0,0,,1,6,7,1,0,3,5,5,12,7.1,N,0,1,zach-auguste-1,Zach Auguste,2016
11,103,11,2015-12-21,Notre Dame,,Youngstown State,REG (Non-Conf),W 87-78,*,28,3,5,0.6,0,0,3,5,0.6,0.6,10,12,0.833,1,9,10,3,1,2,1,4,16,18.2,H,1,1,zach-auguste-1,Zach Auguste,2016
12,104,12,2015-12-29,Notre Dame,,Liberty,REG (Non-Conf),W 73-56,*,31,4,6,0.667,0,0,4,6,0.667,0.667,5,8,0.625,5,9,14,0,1,0,4,1,13,12.0,H,1,1,zach-auguste-1,Zach Auguste,2016
13,105,13,2016-01-02,Notre Dame,@,Virginia,REG (Conf),L 66-77,*,22,0,2,0.0,0,0,0,2,0.0,0.0,1,2,0.5,0,2,2,1,0,0,3,1,1,-2.9,A,0,1,zach-auguste-1,Zach Auguste,2016
14,106,14,2016-01-07,Notre Dame,@,Boston College,REG (Conf),W 82-54,*,28,6,11,0.545,0,0,6,11,0.545,0.545,3,4,0.75,2,9,11,1,1,0,4,4,15,9.5,A,1,1,zach-auguste-1,Zach Auguste,2016
15,107,15,2016-01-09,Notre Dame,,Pittsburgh,REG (Conf),L 82-86,*,29,5,11,0.455,0,0,5,11,0.455,0.455,2,3,0.667,2,3,5,0,0,0,1,5,12,5.2,H,0,1,zach-auguste-1,Zach Auguste,2016
