rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,49,1,2016-11-11,Mount St. Mary's,@,West Virginia,REG (Non-Conf),L 59-87,*,19,2,3,0.667,0,0,,2,3,0.667,0.667,1,2,0.5,2,1,3,1,1,0,3,3,5,2.5,A,0,1,chris-wray-1,Chris Wray,2017
2,50,2,2016-11-14,Mount St. Mary's,@,Iowa State,REG (Non-Conf),L 55-73,*,17,1,6,0.167,0,0,,1,6,0.167,0.167,1,2,0.5,3,2,5,1,1,1,0,4,3,2.3,A,0,1,chris-wray-1,Chris Wray,2017
3,51,3,2016-11-16,Mount St. Mary's,@,Minnesota,REG (Non-Conf),L 56-80,*,13,1,1,1.0,0,0,,1,1,1.0,1.0,1,4,0.25,2,1,3,1,0,1,1,2,3,2.8,A,0,1,chris-wray-1,Chris Wray,2017
4,52,4,2016-11-18,Mount St. Mary's,@,George Mason,REG (Non-Conf),W 78-76 (OT),*,36,10,13,0.769,0,0,,10,13,0.769,0.769,1,1,1.0,4,6,10,0,2,1,1,2,21,21.4,A,1,1,chris-wray-1,Chris Wray,2017
5,53,5,2016-11-21,Mount St. Mary's,@,Southern Illinois,REG (Non-Conf),L 63-73,*,31,1,4,0.25,0,0,,1,4,0.25,0.25,3,4,0.75,2,2,4,2,2,1,1,3,5,6.1,A,0,1,chris-wray-1,Chris Wray,2017
6,54,6,2016-11-23,Mount St. Mary's,@,UT Arlington,REG (Non-Conf),L 71-80,*,28,1,2,0.5,0,0,,1,2,0.5,0.5,1,2,0.5,2,1,3,1,2,1,4,5,3,0.7,A,0,1,chris-wray-1,Chris Wray,2017
7,55,7,2016-11-26,Mount St. Mary's,@,Michigan,REG (Non-Conf),L 47-64,*,32,2,4,0.5,0,0,,2,4,0.5,0.5,1,1,1.0,0,2,2,4,1,1,1,2,5,6.3,A,0,1,chris-wray-1,Chris Wray,2017
8,56,8,2016-11-28,Mount St. Mary's,@,Arkansas,REG (Non-Conf),L 76-89,*,30,3,5,0.6,0,0,,3,5,0.6,0.6,1,4,0.25,1,3,4,1,1,0,0,1,7,6.4,A,0,1,chris-wray-1,Chris Wray,2017
9,57,9,2016-12-03,Mount St. Mary's,@,Loyola (MD),REG (Non-Conf),L 57-64,*,31,2,4,0.5,0,0,,2,4,0.5,0.5,0,2,0.0,3,3,6,1,1,0,3,2,4,2.1,A,0,1,chris-wray-1,Chris Wray,2017
10,58,10,2016-12-07,Mount St. Mary's,,UMBC,REG (Non-Conf),L 70-78,*,28,2,4,0.5,0,0,,2,4,0.5,0.5,0,3,0.0,1,1,2,0,0,1,0,2,4,1.7,H,0,1,chris-wray-1,Chris Wray,2017
11,59,11,2016-12-10,Mount St. Mary's,,Lehigh,REG (Non-Conf),L 71-90,,12,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,3,1,4,1,1,0,1,2,4,5.0,H,0,1,chris-wray-1,Chris Wray,2017
12,60,12,2016-12-19,Mount St. Mary's,@,Bucknell,REG (Non-Conf),L 65-81,,26,0,4,0.0,0,0,,0,4,0.0,0.0,1,2,0.5,2,4,6,0,3,0,0,1,1,3.0,A,0,1,chris-wray-1,Chris Wray,2017
13,61,13,2016-12-22,Mount St. Mary's,,Coppin State,REG (Non-Conf),W 87-49,*,24,5,7,0.714,0,0,,5,7,0.714,0.714,1,2,0.5,2,5,7,4,1,3,2,3,11,13.3,H,1,1,chris-wray-1,Chris Wray,2017
14,62,14,2016-12-29,Mount St. Mary's,@,LIU Brooklyn,REG (Conf),W 67-65,*,17,3,5,0.6,0,0,,3,5,0.6,0.6,1,1,1.0,1,1,2,1,0,0,0,4,7,4.8,A,1,1,chris-wray-1,Chris Wray,2017
15,63,15,2016-12-31,Mount St. Mary's,,Wagner,REG (Conf),W 57-56,*,33,3,6,0.5,0,0,,3,6,0.5,0.5,2,8,0.25,4,6,10,1,1,1,0,2,8,8.8,H,1,1,chris-wray-1,Chris Wray,2017
16,64,16,2017-01-05,Mount St. Mary's,@,Bryant,REG (Conf),L 71-72,*,32,9,11,0.818,0,0,,9,11,0.818,0.818,0,4,0.0,4,0,4,1,1,2,0,3,18,17.0,A,0,1,chris-wray-1,Chris Wray,2017
