rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,83,1,2016-11-11,Iowa State,,Savannah State,REG (Non-Conf),W 113-71,,16,3,8,0.375,0,0,,3,8,0.375,0.375,2,2,1.0,2,8,10,1,1,0,4,2,8,4.3,H,1,1,darrell-bowie-1,Darrell Bowie,2017
2,84,2,2016-11-14,Iowa State,,Mount St. Mary's,REG (Non-Conf),W 73-55,,20,3,6,0.5,0,0,,3,6,0.5,0.5,2,4,0.5,1,5,6,1,0,0,1,2,8,5.3,H,1,1,darrell-bowie-1,Darrell Bowie,2017
3,85,3,2016-11-20,Iowa State,,The Citadel,REG (Non-Conf),W 130-63,,18,5,5,1.0,0,0,,5,5,1.0,1.0,3,4,0.75,1,9,10,4,2,0,3,2,13,15.5,H,1,1,darrell-bowie-1,Darrell Bowie,2017
4,86,4,2016-11-24,Iowa State,N,Indiana State,REG (Non-Conf),W 73-71,,27,5,9,0.556,0,1,0.0,5,8,0.625,0.556,3,12,0.25,6,5,11,0,2,1,2,3,13,10.3,N,1,1,darrell-bowie-1,Darrell Bowie,2017
5,87,5,2016-11-25,Iowa State,N,Miami (FL),REG (Non-Conf),W 73-56,,17,3,5,0.6,0,0,,3,5,0.6,0.6,0,0,,0,5,5,0,1,0,1,4,6,3.6,N,1,1,darrell-bowie-1,Darrell Bowie,2017
6,88,6,2016-11-27,Iowa State,N,Gonzaga,REG (Non-Conf),L 71-73,,11,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,1,1,2,0,0,0,0,2,0,-1.2,N,0,1,darrell-bowie-1,Darrell Bowie,2017
7,89,7,2016-12-01,Iowa State,,Cincinnati,REG (Non-Conf),L 54-55 (OT),,36,4,7,0.571,0,0,,4,7,0.571,0.571,3,8,0.375,2,5,7,1,1,2,0,2,11,10.9,H,0,1,darrell-bowie-1,Darrell Bowie,2017
8,90,8,2016-12-05,Iowa State,,Omaha,REG (Non-Conf),W 91-47,,16,4,8,0.5,2,3,0.667,2,5,0.4,0.625,2,2,1.0,2,0,2,0,1,0,2,0,12,8.4,H,1,1,darrell-bowie-1,Darrell Bowie,2017
9,91,9,2016-12-08,Iowa State,@,Iowa,REG (Non-Conf),L 64-78,,19,2,5,0.4,1,1,1.0,1,4,0.25,0.5,0,0,,3,5,8,0,0,1,3,4,5,2.0,A,0,1,darrell-bowie-1,Darrell Bowie,2017
10,92,10,2016-12-17,Iowa State,N,Drake,REG (Non-Conf),W 97-80,*,27,5,11,0.455,1,2,0.5,4,9,0.444,0.5,1,4,0.25,6,2,8,0,0,1,1,3,12,8.4,N,1,1,darrell-bowie-1,Darrell Bowie,2017
