rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,32,1,2016-11-11,Michigan,,Howard,REG (Non-Conf),W 76-58,,20,3,5,0.6,0,1,0.0,3,4,0.75,0.6,3,3,1.0,3,5,8,2,0,1,2,3,9,9.2,H,1,1,dj-wilson-1,D.J. Wilson,2017
2,33,2,2016-11-13,Michigan,,IUPUI,REG (Non-Conf),W 77-65,,30,3,7,0.429,1,2,0.5,2,5,0.4,0.5,0,0,,4,10,14,1,0,5,0,2,7,12.5,H,1,1,dj-wilson-1,D.J. Wilson,2017
3,34,3,2016-11-17,Michigan,N,Marquette,REG (Non-Conf),W 79-61,*,34,3,7,0.429,1,4,0.25,2,3,0.667,0.5,3,3,1.0,2,10,12,2,0,2,2,3,10,10.3,N,1,1,dj-wilson-1,D.J. Wilson,2017
4,35,4,2016-11-18,Michigan,N,SMU,REG (Non-Conf),W 76-54,*,36,3,5,0.6,0,1,0.0,3,4,0.75,0.6,0,1,0.0,0,4,4,1,2,2,0,2,6,7.8,N,1,1,dj-wilson-1,D.J. Wilson,2017
5,36,5,2016-11-23,Michigan,@,South Carolina,REG (Non-Conf),L 46-61,*,29,1,5,0.2,0,2,0.0,1,3,0.333,0.2,0,0,,2,2,4,0,0,0,0,2,2,0.1,A,0,1,dj-wilson-1,D.J. Wilson,2017
6,37,6,2016-11-26,Michigan,,Mount St. Mary's,REG (Non-Conf),W 64-47,*,17,2,4,0.5,1,1,1.0,1,3,0.333,0.625,0,0,,2,5,7,0,0,0,1,2,5,4.1,H,1,1,dj-wilson-1,D.J. Wilson,2017
7,38,7,2016-11-30,Michigan,,Virginia Tech,REG (Non-Conf),L 70-73,*,11,1,4,0.25,0,0,,1,4,0.25,0.25,0,0,,2,1,3,0,0,1,1,5,2,-1.0,H,0,1,dj-wilson-1,D.J. Wilson,2017
8,39,8,2016-12-03,Michigan,,Kennesaw State,REG (Non-Conf),W 82-55,*,28,7,11,0.636,1,3,0.333,6,8,0.75,0.682,0,0,,1,10,11,2,2,1,1,0,15,16.9,H,1,1,dj-wilson-1,D.J. Wilson,2017
9,40,9,2016-12-06,Michigan,,Texas,REG (Non-Conf),W 53-50,*,36,5,6,0.833,2,2,1.0,3,4,0.75,1.0,1,2,0.5,1,5,6,2,2,2,0,3,13,16.2,H,1,1,dj-wilson-1,D.J. Wilson,2017
10,41,10,2016-12-10,Michigan,@,UCLA,REG (Non-Conf),L 84-102,*,24,3,6,0.5,2,3,0.667,1,3,0.333,0.667,0,0,,0,1,1,2,0,0,1,3,8,4.5,A,0,1,dj-wilson-1,D.J. Wilson,2017
11,42,11,2016-12-13,Michigan,,Central Arkansas,REG (Non-Conf),W 97-53,*,29,3,6,0.5,1,4,0.25,2,2,1.0,0.583,4,4,1.0,2,5,7,2,0,2,0,1,11,13.3,H,1,1,dj-wilson-1,D.J. Wilson,2017
12,43,12,2016-12-17,Michigan,,Maryland Eastern Shore,REG (Non-Conf),W 98-49,*,26,6,7,0.857,0,0,,6,7,0.857,0.857,4,5,0.8,1,5,6,1,0,2,2,1,16,15.0,H,1,1,dj-wilson-1,D.J. Wilson,2017
13,44,13,2016-12-22,Michigan,,Furman,REG (Non-Conf),W 68-62,*,32,2,5,0.4,0,2,0.0,2,3,0.667,0.4,3,3,1.0,1,2,3,0,0,0,3,0,7,2.6,H,1,1,dj-wilson-1,D.J. Wilson,2017
14,45,14,2017-01-01,Michigan,@,Iowa,REG (Conf),L 83-86 (OT),*,44,11,18,0.611,4,8,0.5,7,10,0.7,0.722,2,2,1.0,6,8,14,6,0,1,1,3,28,29.1,A,0,1,dj-wilson-1,D.J. Wilson,2017
15,46,15,2017-01-04,Michigan,,Penn State,REG (Conf),W 72-69,*,38,5,9,0.556,0,1,0.0,5,8,0.625,0.556,2,2,1.0,1,3,4,0,1,3,0,2,12,11.6,H,1,1,dj-wilson-1,D.J. Wilson,2017
16,47,16,2017-01-07,Michigan,,Maryland,REG (Conf),L 70-77,*,37,5,7,0.714,3,3,1.0,2,4,0.5,0.929,0,0,,0,3,3,0,1,1,0,0,13,12.7,H,0,1,dj-wilson-1,D.J. Wilson,2017
17,48,17,2017-01-11,Michigan,@,Illinois,REG (Conf),L 69-85,*,35,8,12,0.667,1,2,0.5,7,10,0.7,0.708,2,3,0.667,2,2,4,1,1,0,0,1,19,16.7,A,0,1,dj-wilson-1,D.J. Wilson,2017
