rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,35,1,2016-11-11,Kentucky,,Stephen F. Austin,REG (Non-Conf),W 87-64,*,31,6,11,0.545,1,3,0.333,5,8,0.625,0.591,4,7,0.571,0,1,1,2,1,0,4,2,17,8.4,H,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
2,36,2,2016-11-13,Kentucky,,Canisius,REG (Non-Conf),W 93-69,*,32,9,13,0.692,0,0,,9,13,0.692,0.692,3,4,0.75,0,5,5,2,0,1,1,3,21,16.5,H,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
3,37,3,2016-11-15,Kentucky,N,Michigan State,REG (Non-Conf),W 69-48,*,35,8,18,0.444,0,3,0.0,8,15,0.533,0.444,5,5,1.0,2,2,4,2,1,0,1,1,21,14.6,N,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
4,38,4,2016-11-20,Kentucky,,Duquesne,REG (Non-Conf),W 93-59,*,17,4,10,0.4,0,1,0.0,4,9,0.444,0.4,5,6,0.833,0,3,3,5,4,1,3,0,13,13.3,H,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
5,39,7,2016-11-28,Kentucky,N,Arizona State,REG (Non-Conf),W 115-69,*,25,7,9,0.778,2,2,1.0,5,7,0.714,0.889,4,6,0.667,1,3,4,7,3,0,1,3,20,23.0,N,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
6,40,8,2016-12-03,Kentucky,,UCLA,REG (Non-Conf),L 92-97,*,34,4,14,0.286,0,5,0.0,4,9,0.444,0.286,4,7,0.571,1,3,4,3,0,0,3,4,12,1.7,H,0,1,isaiah-briscoe-1,Isaiah Briscoe,2017
7,41,9,2016-12-07,Kentucky,,Valparaiso,REG (Non-Conf),W 87-63,*,24,4,7,0.571,0,1,0.0,4,6,0.667,0.571,2,3,0.667,0,1,1,2,2,0,3,2,10,6.2,H,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
8,42,10,2016-12-11,Kentucky,N,Hofstra,REG (Non-Conf),W 96-73,*,32,8,11,0.727,1,2,0.5,7,9,0.778,0.773,2,5,0.4,1,1,2,6,0,0,3,3,19,14.3,N,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
9,43,11,2016-12-17,Kentucky,N,North Carolina,REG (Non-Conf),W 103-100,*,38,4,6,0.667,1,1,1.0,3,5,0.6,0.75,1,2,0.5,3,4,7,4,0,1,1,4,10,11.2,N,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
10,44,12,2016-12-21,Kentucky,@,Louisville,REG (Non-Conf),L 70-73,*,31,1,5,0.2,0,0,,1,5,0.2,0.2,6,6,1.0,0,5,5,3,1,0,1,4,8,6.9,A,0,1,isaiah-briscoe-1,Isaiah Briscoe,2017
11,45,13,2016-12-29,Kentucky,@,Ole Miss,REG (Conf),W 99-76,*,36,6,14,0.429,1,1,1.0,5,13,0.385,0.464,6,6,1.0,3,7,10,11,1,0,2,2,19,21.7,A,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
12,46,14,2017-01-03,Kentucky,,Texas A&M,REG (Conf),W 100-58,*,28,5,9,0.556,3,3,1.0,2,6,0.333,0.722,0,0,,1,0,1,7,1,0,0,3,13,14.1,H,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
13,47,15,2017-01-07,Kentucky,,Arkansas,REG (Conf),W 97-71,*,36,4,11,0.364,0,1,0.0,4,10,0.4,0.364,7,9,0.778,3,5,8,1,0,0,2,2,15,9.6,H,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
14,48,16,2017-01-10,Kentucky,@,Vanderbilt,REG (Conf),W 87-81,*,39,10,18,0.556,0,1,0.0,10,17,0.588,0.556,3,4,0.75,2,5,7,5,0,0,1,0,23,19.4,A,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
15,49,17,2017-01-14,Kentucky,,Auburn,REG (Conf),W 92-72,*,25,4,6,0.667,2,2,1.0,2,4,0.5,0.833,0,4,0.0,1,2,3,5,1,0,4,4,10,6.0,H,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
16,50,18,2017-01-17,Kentucky,@,Mississippi State,REG (Conf),W 88-81,*,31,4,14,0.286,0,3,0.0,4,11,0.364,0.286,4,4,1.0,2,2,4,3,2,0,2,4,12,6.3,A,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
17,51,19,2017-01-21,Kentucky,,South Carolina,REG (Conf),W 85-69,*,29,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,1,2,3,4,0,0,7,4,0,-5.9,H,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
18,52,20,2017-01-24,Kentucky,@,Tennessee,REG (Conf),L 80-82,*,34,5,12,0.417,1,2,0.5,4,10,0.4,0.458,0,0,,3,11,14,5,1,0,2,2,11,11.7,A,0,1,isaiah-briscoe-1,Isaiah Briscoe,2017
19,53,21,2017-01-28,Kentucky,,Kansas,REG (Non-Conf),L 73-79,*,26,4,9,0.444,1,2,0.5,3,7,0.429,0.5,3,4,0.75,3,5,8,6,0,0,3,3,12,10.5,H,0,1,isaiah-briscoe-1,Isaiah Briscoe,2017
20,54,22,2017-01-31,Kentucky,,Georgia,REG (Conf),W 90-81 (OT),*,45,6,15,0.4,0,2,0.0,6,13,0.462,0.4,11,15,0.733,4,7,11,8,0,0,6,3,23,16.6,H,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
21,55,23,2017-02-04,Kentucky,@,Florida,REG (Conf),L 66-88,*,30,3,10,0.3,0,1,0.0,3,9,0.333,0.3,0,2,0.0,1,2,3,3,0,0,4,2,6,-2.0,A,0,1,isaiah-briscoe-1,Isaiah Briscoe,2017
22,56,24,2017-02-07,Kentucky,,Louisiana State,REG (Conf),W 92-85,*,33,4,9,0.444,1,3,0.333,3,6,0.5,0.5,5,6,0.833,1,5,6,3,1,0,3,1,14,10.8,H,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
23,57,25,2017-02-11,Kentucky,@,Alabama,REG (Conf),W 67-58,*,35,5,11,0.455,0,1,0.0,5,10,0.5,0.455,1,7,0.143,1,10,11,4,1,0,4,1,11,6.0,A,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
24,58,26,2017-02-14,Kentucky,,Tennessee,REG (Conf),W 83-58,*,22,6,10,0.6,0,2,0.0,6,8,0.75,0.6,0,1,0.0,1,3,4,6,2,1,1,3,12,13.3,H,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
25,59,27,2017-02-18,Kentucky,@,Georgia,REG (Conf),W 82-77,*,24,4,12,0.333,0,3,0.0,4,9,0.444,0.333,1,1,1.0,3,3,6,2,0,0,4,5,9,0.6,A,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
26,60,28,2017-02-21,Kentucky,@,Missouri,REG (Conf),W 72-62,*,23,4,6,0.667,0,2,0.0,4,4,1.0,0.667,1,3,0.333,3,2,5,3,0,1,6,5,9,3.1,A,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
27,61,29,2017-02-25,Kentucky,,Florida,REG (Conf),W 76-66,*,26,3,6,0.5,0,0,,3,6,0.5,0.5,3,5,0.6,1,7,8,2,0,0,2,4,9,5.8,H,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
28,62,30,2017-02-28,Kentucky,,Vanderbilt,REG (Conf),W 73-67,*,31,3,6,0.5,0,1,0.0,3,5,0.6,0.5,1,2,0.5,3,4,7,6,0,0,0,2,7,10.3,H,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
29,63,31,2017-03-04,Kentucky,@,Texas A&M,REG (Conf),W 71-63,*,32,3,8,0.375,0,2,0.0,3,6,0.5,0.375,1,4,0.25,1,5,6,8,0,0,1,2,7,7.4,A,1,1,isaiah-briscoe-1,Isaiah Briscoe,2017
30,64,32,2017-03-10,Kentucky,N,Georgia,CTOURN,W 71-60,*,34,8,15,0.533,1,2,0.5,7,13,0.538,0.567,3,6,0.5,2,4,6,2,2,0,2,3,20,14.3,N,1,0,isaiah-briscoe-1,Isaiah Briscoe,2017
31,65,33,2017-03-11,Kentucky,N,Alabama,CTOURN,W 79-74,*,18,1,3,0.333,0,1,0.0,1,2,0.5,0.333,4,5,0.8,1,0,1,3,1,0,1,4,6,5.1,N,1,0,isaiah-briscoe-1,Isaiah Briscoe,2017
32,66,34,2017-03-12,Kentucky,N,Arkansas,CTOURN,W 82-65,*,32,2,9,0.222,0,1,0.0,2,8,0.25,0.222,0,0,,0,4,4,3,0,0,4,1,4,-2.6,N,1,0,isaiah-briscoe-1,Isaiah Briscoe,2017
33,67,35,2017-03-17,Kentucky,N,Northern Kentucky,ROUND-64,W 79-70,*,31,7,11,0.636,0,0,,7,11,0.636,0.636,3,5,0.6,0,8,8,2,2,2,1,1,17,17.1,N,1,0,isaiah-briscoe-1,Isaiah Briscoe,2017
34,68,36,2017-03-19,Kentucky,N,Wichita State,ROUND-32,W 65-62,*,27,2,3,0.667,1,2,0.5,1,1,1.0,0.833,0,0,,0,4,4,2,0,0,3,1,5,2.9,N,1,0,isaiah-briscoe-1,Isaiah Briscoe,2017
35,69,37,2017-03-24,Kentucky,N,UCLA,ROUND-16,W 86-75,*,35,2,7,0.286,1,2,0.5,1,5,0.2,0.357,0,0,,3,4,7,4,0,0,0,3,5,5.8,N,1,0,isaiah-briscoe-1,Isaiah Briscoe,2017
36,70,38,2017-03-26,Kentucky,N,North Carolina,ROUND-8,L 73-75,*,34,3,7,0.429,0,0,,3,7,0.429,0.429,1,4,0.25,1,3,4,8,3,0,3,1,7,8.9,N,0,0,isaiah-briscoe-1,Isaiah Briscoe,2017
