rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2016-11-11,New Mexico State,,Arizona Christian,REG (Non-Conf),W 100-52,,14,1,3,0.333,0,1,0.0,1,2,0.5,0.333,0,0,,0,2,2,4,3,1,1,2,2,5.6,H,1,1,jemerrio-jones-1,Jemerrio Jones,2017
2,2,2,2016-11-13,New Mexico State,@,Colorado State,REG (Non-Conf),L 61-64,,28,2,8,0.25,2,5,0.4,0,3,0.0,0.375,3,4,0.75,1,8,9,1,2,2,0,3,9,9.8,A,0,1,jemerrio-jones-1,Jemerrio Jones,2017
3,3,3,2016-11-16,New Mexico State,,Samford,REG (Non-Conf),W 58-48,,18,1,7,0.143,0,0,,1,7,0.143,0.143,0,1,0.0,1,4,5,4,1,0,0,1,2,2.4,H,1,1,jemerrio-jones-1,Jemerrio Jones,2017
4,4,4,2016-11-18,New Mexico State,@,New Mexico,REG (Non-Conf),L 59-72,,10,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,,0,4,4,0,1,0,3,3,0,-4.1,A,0,1,jemerrio-jones-1,Jemerrio Jones,2017
5,5,5,2016-11-20,New Mexico State,,Bethune-Cookman,REG (Non-Conf),W 89-73,,29,3,4,0.75,0,0,,3,4,0.75,0.75,2,5,0.4,2,3,5,2,1,1,2,2,8,7.8,H,1,1,jemerrio-jones-1,Jemerrio Jones,2017
6,6,6,2016-11-22,New Mexico State,,Nicholls State,REG (Non-Conf),W 86-74,,27,11,15,0.733,0,0,,11,15,0.733,0.733,2,3,0.667,6,3,9,4,3,0,6,2,24,21.6,H,1,1,jemerrio-jones-1,Jemerrio Jones,2017
7,7,7,2016-11-26,New Mexico State,@,San Diego,REG (Non-Conf),W 56-51,,23,6,10,0.6,0,1,0.0,6,9,0.667,0.6,2,3,0.667,2,1,3,0,0,0,1,2,14,8.9,A,1,1,jemerrio-jones-1,Jemerrio Jones,2017
8,8,8,2016-11-30,New Mexico State,,Air Force,REG (Non-Conf),W 78-70,,28,6,7,0.857,1,1,1.0,5,6,0.833,0.929,2,2,1.0,3,4,7,7,1,1,2,5,15,18.4,H,1,1,jemerrio-jones-1,Jemerrio Jones,2017
9,9,9,2016-12-03,New Mexico State,,Long Beach State,REG (Non-Conf),W 93-85,,27,4,10,0.4,0,0,,4,10,0.4,0.4,2,4,0.5,6,7,13,2,2,1,4,5,10,8.2,H,1,1,jemerrio-jones-1,Jemerrio Jones,2017
10,10,10,2016-12-10,New Mexico State,,New Mexico,REG (Non-Conf),W 84-71,,31,4,6,0.667,1,1,1.0,3,5,0.6,0.75,6,10,0.6,3,7,10,3,1,2,3,3,15,15.3,H,1,1,jemerrio-jones-1,Jemerrio Jones,2017
11,11,11,2016-12-13,New Mexico State,@,UTEP,REG (Non-Conf),W 79-68,,26,6,7,0.857,1,1,1.0,5,6,0.833,0.929,5,5,1.0,3,10,13,3,1,1,5,3,18,18.2,A,1,1,jemerrio-jones-1,Jemerrio Jones,2017
12,12,12,2016-12-17,New Mexico State,@,Arizona State,REG (Non-Conf),W 81-70,,19,3,6,0.5,0,1,0.0,3,5,0.6,0.5,0,0,,1,4,5,2,2,3,3,4,6,5.8,A,1,1,jemerrio-jones-1,Jemerrio Jones,2017
13,13,13,2016-12-19,New Mexico State,,UC Irvine,REG (Non-Conf),W 85-79 (OT),,36,10,22,0.455,0,1,0.0,10,21,0.476,0.455,3,4,0.75,9,9,18,1,0,0,0,1,23,20.5,H,1,1,jemerrio-jones-1,Jemerrio Jones,2017
14,14,14,2016-12-27,New Mexico State,,Eastern N.M.,REG (Non-Conf),W 84-50,,22,3,7,0.429,0,0,,3,7,0.429,0.429,1,3,0.333,2,6,8,5,1,0,2,1,7,7.8,H,1,1,jemerrio-jones-1,Jemerrio Jones,2017
15,15,15,2016-12-30,New Mexico State,,UTEP,REG (Non-Conf),W 79-70,,25,8,12,0.667,0,1,0.0,8,11,0.727,0.667,1,2,0.5,2,9,11,4,0,2,3,1,17,16.3,H,1,1,jemerrio-jones-1,Jemerrio Jones,2017
16,16,16,2017-01-05,New Mexico State,@,Kansas City,REG (Conf),W 77-64,,19,1,3,0.333,0,1,0.0,1,2,0.5,0.333,1,2,0.5,0,5,5,1,1,0,1,5,3,1.1,A,1,1,jemerrio-jones-1,Jemerrio Jones,2017
17,17,17,2017-01-07,New Mexico State,@,Chicago State,REG (Conf),W 78-62,,24,2,5,0.4,0,0,,2,5,0.4,0.4,0,0,,1,4,5,5,1,1,0,3,4,7.2,A,1,1,jemerrio-jones-1,Jemerrio Jones,2017
18,18,18,2017-01-12,New Mexico State,,Grand Canyon,REG (Conf),W 81-69,,26,8,11,0.727,0,0,,8,11,0.727,0.727,3,4,0.75,5,2,7,1,1,1,0,3,19,19.4,H,1,1,jemerrio-jones-1,Jemerrio Jones,2017
19,19,19,2017-01-14,New Mexico State,,Cal State Bakersfield,REG (Conf),W 63-58,,26,5,17,0.294,0,1,0.0,5,16,0.313,0.294,2,6,0.333,8,8,16,3,0,1,2,3,12,8.1,H,1,1,jemerrio-jones-1,Jemerrio Jones,2017
20,20,20,2017-01-21,New Mexico State,,Kansas City,REG (Conf),W 94-71,,24,5,8,0.625,0,1,0.0,5,7,0.714,0.625,5,8,0.625,5,9,14,2,0,1,1,2,15,16.7,H,1,1,jemerrio-jones-1,Jemerrio Jones,2017
21,21,21,2017-01-26,New Mexico State,@,Seattle,REG (Conf),W 71-56,,26,8,17,0.471,0,0,,8,17,0.471,0.471,0,0,,3,7,10,5,2,0,2,4,16,13.4,A,1,1,jemerrio-jones-1,Jemerrio Jones,2017
22,22,22,2017-01-28,New Mexico State,@,Utah Valley,REG (Conf),W 74-69,,23,3,7,0.429,0,1,0.0,3,6,0.5,0.429,1,2,0.5,5,8,13,3,0,0,2,4,7,7.3,A,1,1,jemerrio-jones-1,Jemerrio Jones,2017
23,23,23,2017-01-30,New Mexico State,,N New Mexico,REG (Non-Conf),W 98-75,,25,3,6,0.5,0,1,0.0,3,5,0.6,0.5,0,0,,2,7,9,3,1,2,2,3,6,7.8,H,1,1,jemerrio-jones-1,Jemerrio Jones,2017
24,24,24,2017-02-04,New Mexico State,,Chicago State,REG (Conf),W 86-51,,12,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,1,1,2,2,0,2,1,2,2.3,H,1,1,jemerrio-jones-1,Jemerrio Jones,2017
25,25,25,2017-02-09,New Mexico State,@,Cal State Bakersfield,REG (Conf),L 53-72,,33,4,7,0.571,0,2,0.0,4,5,0.8,0.571,3,7,0.429,5,11,16,1,1,0,3,3,11,10.4,A,0,1,jemerrio-jones-1,Jemerrio Jones,2017
26,26,26,2017-02-11,New Mexico State,@,Grand Canyon,REG (Conf),L 71-83,,21,2,5,0.4,0,0,,2,5,0.4,0.4,2,2,1.0,1,4,5,4,0,0,2,3,6,4.8,A,0,1,jemerrio-jones-1,Jemerrio Jones,2017
27,27,27,2017-02-18,New Mexico State,@,Texas–Rio Grande Valley,REG (Conf),W 107-101,,32,5,8,0.625,0,0,,5,8,0.625,0.625,3,6,0.5,3,6,9,5,1,1,2,2,13,14.5,A,1,1,jemerrio-jones-1,Jemerrio Jones,2017
28,28,28,2017-02-23,New Mexico State,,Utah Valley,REG (Conf),L 72-84,,32,4,9,0.444,0,1,0.0,4,8,0.5,0.444,2,4,0.5,3,4,7,0,0,1,1,3,10,6.3,H,0,1,jemerrio-jones-1,Jemerrio Jones,2017
29,29,29,2017-02-25,New Mexico State,,Seattle,REG (Conf),W 86-53,,21,2,4,0.5,0,0,,2,4,0.5,0.5,3,4,0.75,1,5,6,4,0,0,0,1,7,9.2,H,1,1,jemerrio-jones-1,Jemerrio Jones,2017
30,30,30,2017-03-04,New Mexico State,,Texas–Rio Grande Valley,REG (Conf),W 107-81,,22,3,6,0.5,0,0,,3,6,0.5,0.5,3,4,0.75,5,5,10,5,1,0,3,2,9,11.3,H,1,1,jemerrio-jones-1,Jemerrio Jones,2017
31,31,31,2017-03-09,New Mexico State,N,Chicago State,CTOURN,W 67-53,,20,1,5,0.2,0,0,,1,5,0.2,0.2,2,2,1.0,1,3,4,1,2,1,2,4,4,2.3,N,1,0,jemerrio-jones-1,Jemerrio Jones,2017
32,32,32,2017-03-10,New Mexico State,N,Kansas City,CTOURN,W 78-60,,29,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,5,8,13,4,1,0,3,1,4,9.0,N,1,0,jemerrio-jones-1,Jemerrio Jones,2017
33,33,33,2017-03-11,New Mexico State,N,Cal State Bakersfield,CTOURN,W 70-60,,31,3,7,0.429,0,0,,3,7,0.429,0.429,2,3,0.667,4,5,9,5,2,2,4,4,8,9.5,N,1,0,jemerrio-jones-1,Jemerrio Jones,2017
34,34,34,2017-03-17,New Mexico State,N,Baylor,ROUND-64,L 73-91,,24,2,6,0.333,0,0,,2,6,0.333,0.333,0,0,,0,6,6,7,2,0,3,3,4,5.1,N,0,0,jemerrio-jones-1,Jemerrio Jones,2017
