rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,88,1,2016-11-11,Oklahoma State,,Campbell,REG (Non-Conf),W 102-65,*,13,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,,2,2,4,0,0,0,1,4,0,-2.0,H,1,1,leyton-hammonds-1,Leyton Hammonds,2017
2,89,2,2016-11-14,Oklahoma State,,Central Arkansas,REG (Non-Conf),W 102-90,*,20,4,6,0.667,0,2,0.0,4,4,1.0,0.667,0,2,0.0,1,4,5,2,0,0,2,4,8,4.3,H,1,1,leyton-hammonds-1,Leyton Hammonds,2017
3,90,3,2016-11-16,Oklahoma State,,New Orleans,REG (Non-Conf),W 117-72,*,20,6,15,0.4,1,6,0.167,5,9,0.556,0.433,2,2,1.0,2,11,13,2,0,1,1,3,15,11.5,H,1,1,leyton-hammonds-1,Leyton Hammonds,2017
4,91,4,2016-11-21,Oklahoma State,N,Connecticut,REG (Non-Conf),W 98-90,*,15,2,6,0.333,1,3,0.333,1,3,0.333,0.417,2,2,1.0,0,5,5,1,1,1,1,5,7,4.5,N,1,1,leyton-hammonds-1,Leyton Hammonds,2017
5,92,5,2016-11-22,Oklahoma State,N,North Carolina,REG (Non-Conf),L 75-107,*,15,2,9,0.222,0,2,0.0,2,7,0.286,0.222,2,2,1.0,2,2,4,0,0,1,3,5,6,-1.8,N,0,1,leyton-hammonds-1,Leyton Hammonds,2017
6,93,6,2016-11-23,Oklahoma State,N,Georgetown,REG (Non-Conf),W 97-70,*,11,0,4,0.0,0,1,0.0,0,3,0.0,0.0,2,2,1.0,0,0,0,0,1,0,1,5,2,-2.8,N,1,1,leyton-hammonds-1,Leyton Hammonds,2017
7,94,7,2016-11-30,Oklahoma State,,Rogers St.,REG (Non-Conf),W 101-85,*,14,2,5,0.4,1,3,0.333,1,2,0.5,0.5,1,1,1.0,2,0,2,0,0,0,1,4,6,2.1,H,1,1,leyton-hammonds-1,Leyton Hammonds,2017
8,95,8,2016-12-03,Oklahoma State,@,Maryland,REG (Non-Conf),L 70-71,*,23,3,7,0.429,2,4,0.5,1,3,0.333,0.571,0,0,,2,5,7,1,2,0,1,4,8,7.3,A,0,1,leyton-hammonds-1,Leyton Hammonds,2017
9,96,9,2016-12-10,Oklahoma State,@,Tulsa,REG (Non-Conf),W 71-67,*,21,3,5,0.6,1,2,0.5,2,3,0.667,0.7,0,0,,1,6,7,1,1,0,2,4,7,5.3,A,1,1,leyton-hammonds-1,Leyton Hammonds,2017
10,97,10,2016-12-14,Oklahoma State,,Arkansas–Pine Bluff,REG (Non-Conf),W 102-66,*,18,3,8,0.375,1,2,0.5,2,6,0.333,0.438,9,11,0.818,2,4,6,2,1,1,2,3,16,13.3,H,1,1,leyton-hammonds-1,Leyton Hammonds,2017
11,98,11,2016-12-17,Oklahoma State,@,Wichita State,REG (Non-Conf),W 93-76,*,17,4,5,0.8,3,4,0.75,1,1,1.0,1.1,1,1,1.0,1,3,4,2,0,0,0,4,12,11.5,A,1,1,leyton-hammonds-1,Leyton Hammonds,2017
12,99,12,2016-12-22,Oklahoma State,,Texas A&M–Corpus Christi,REG (Non-Conf),W 92-70,*,20,1,5,0.2,0,1,0.0,1,4,0.25,0.2,0,0,,3,4,7,1,2,2,1,3,2,4.1,H,1,1,leyton-hammonds-1,Leyton Hammonds,2017
13,100,13,2016-12-30,Oklahoma State,,West Virginia,REG (Conf),L 75-92,*,32,7,12,0.583,3,7,0.429,4,5,0.8,0.708,0,0,,3,4,7,0,0,0,0,2,17,13.9,H,0,1,leyton-hammonds-1,Leyton Hammonds,2017
14,101,14,2017-01-04,Oklahoma State,@,Texas,REG (Conf),L 79-82,*,26,1,5,0.2,0,4,0.0,1,1,1.0,0.2,5,6,0.833,1,4,5,0,1,0,0,3,7,5.2,A,0,1,leyton-hammonds-1,Leyton Hammonds,2017
15,102,15,2017-01-07,Oklahoma State,@,Baylor,REG (Conf),L 57-61,*,31,3,13,0.231,0,5,0.0,3,8,0.375,0.231,0,0,,2,3,5,0,1,0,2,5,6,-2.6,A,0,1,leyton-hammonds-1,Leyton Hammonds,2017
16,103,16,2017-01-11,Oklahoma State,,Iowa State,REG (Conf),L 86-96,*,26,4,6,0.667,0,1,0.0,4,5,0.8,0.667,0,0,,3,1,4,1,0,1,2,5,8,5.2,H,0,1,leyton-hammonds-1,Leyton Hammonds,2017
17,104,17,2017-01-14,Oklahoma State,@,Kansas,REG (Conf),L 80-87,*,9,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,0,1,1,0,4,0,-0.6,A,0,1,leyton-hammonds-1,Leyton Hammonds,2017
18,105,18,2017-01-18,Oklahoma State,,Kansas State,REG (Conf),L 88-96,*,28,4,6,0.667,3,5,0.6,1,1,1.0,0.917,0,0,,2,5,7,0,0,0,3,3,11,7.1,H,0,1,leyton-hammonds-1,Leyton Hammonds,2017
19,106,19,2017-01-21,Oklahoma State,@,Texas Tech,REG (Conf),W 83-64,*,35,1,5,0.2,1,3,0.333,0,2,0.0,0.3,0,0,,1,3,4,2,0,1,3,1,3,0.2,A,1,1,leyton-hammonds-1,Leyton Hammonds,2017
