rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,55,1,2016-11-11,Jacksonville State,@,Tulsa,REG (Non-Conf),W 84-73,*,29,8,11,0.727,1,2,0.5,7,9,0.778,0.773,3,4,0.75,1,1,2,6,0,0,4,5,20,14.3,A,1,1,malcolm-drumwright-1,Malcolm Drumwright,2017
2,56,2,2016-11-13,Jacksonville State,@,Missouri State,REG (Non-Conf),L 65-91,*,26,1,4,0.25,1,1,1.0,0,3,0.0,0.375,0,0,,0,1,1,5,1,0,7,5,3,-3.6,A,0,1,malcolm-drumwright-1,Malcolm Drumwright,2017
3,57,3,2016-11-16,Jacksonville State,@,Western Kentucky,REG (Non-Conf),L 67-74,*,38,4,14,0.286,1,5,0.2,3,9,0.333,0.321,0,0,,0,4,4,5,0,0,1,5,9,2.5,A,0,1,malcolm-drumwright-1,Malcolm Drumwright,2017
4,58,4,2016-11-18,Jacksonville State,@,TCU,REG (Non-Conf),L 60-79,*,30,7,12,0.583,3,6,0.5,4,6,0.667,0.708,2,2,1.0,0,1,1,3,0,0,1,0,19,14.8,A,0,1,malcolm-drumwright-1,Malcolm Drumwright,2017
5,59,5,2016-11-22,Jacksonville State,,Dalton State,REG (Non-Conf),W 81-50,*,24,3,5,0.6,1,1,1.0,2,4,0.5,0.7,4,5,0.8,0,0,0,4,1,0,4,3,11,6.9,H,1,1,malcolm-drumwright-1,Malcolm Drumwright,2017
6,60,6,2016-11-25,Jacksonville State,N,Cal State Fullerton,REG (Non-Conf),W 61-38,*,33,2,8,0.25,0,2,0.0,2,6,0.333,0.25,0,0,,0,2,2,2,0,0,2,3,4,-2.0,N,1,1,malcolm-drumwright-1,Malcolm Drumwright,2017
7,61,7,2016-11-26,Jacksonville State,N,Northern Arizona,REG (Non-Conf),W 76-63,*,34,4,15,0.267,1,4,0.25,3,11,0.273,0.3,5,5,1.0,0,5,5,6,0,0,2,0,14,8.8,N,1,1,malcolm-drumwright-1,Malcolm Drumwright,2017
8,62,8,2016-11-29,Jacksonville State,@,Alabama State,REG (Non-Conf),W 72-69,*,33,2,6,0.333,1,3,0.333,1,3,0.333,0.417,0,1,0.0,0,1,1,3,0,0,4,3,5,-1.6,A,1,1,malcolm-drumwright-1,Malcolm Drumwright,2017
9,63,9,2016-12-04,Jacksonville State,@,Samford,REG (Non-Conf),L 77-81,*,38,4,9,0.444,2,4,0.5,2,5,0.4,0.556,3,6,0.5,0,1,1,7,0,0,5,2,13,6.5,A,0,1,malcolm-drumwright-1,Malcolm Drumwright,2017
10,64,10,2016-12-10,Jacksonville State,@,Louisiana–Monroe,REG (Non-Conf),L 83-88 (OT),*,39,5,11,0.455,4,5,0.8,1,6,0.167,0.636,1,1,1.0,2,3,5,1,0,1,3,4,15,8.4,A,0,1,malcolm-drumwright-1,Malcolm Drumwright,2017
11,65,11,2016-12-12,Jacksonville State,@,Maryland,REG (Non-Conf),L 66-92,*,31,3,12,0.25,2,5,0.4,1,7,0.143,0.333,0,0,,1,0,1,1,1,0,2,3,8,0.0,A,0,1,malcolm-drumwright-1,Malcolm Drumwright,2017
12,66,12,2016-12-14,Jacksonville State,@,Howard,REG (Non-Conf),W 72-59,*,31,6,10,0.6,4,7,0.571,2,3,0.667,0.8,0,0,,0,3,3,3,2,0,1,4,16,13.8,A,1,1,malcolm-drumwright-1,Malcolm Drumwright,2017
13,67,13,2016-12-18,Jacksonville State,@,USC Upstate,REG (Non-Conf),W 67-66,*,34,7,13,0.538,3,8,0.375,4,5,0.8,0.654,1,2,0.5,0,1,1,7,0,0,4,2,18,11.7,A,1,1,malcolm-drumwright-1,Malcolm Drumwright,2017
14,68,14,2016-12-21,Jacksonville State,@,Chattanooga,REG (Non-Conf),L 57-73,*,36,6,12,0.5,1,4,0.25,5,8,0.625,0.542,1,1,1.0,2,6,8,4,2,1,2,0,14,14.7,A,0,1,malcolm-drumwright-1,Malcolm Drumwright,2017
15,69,15,2016-12-29,Jacksonville State,@,UT Martin,REG (Conf),W 90-72,*,29,6,12,0.5,3,5,0.6,3,7,0.429,0.625,0,0,,0,0,0,5,0,0,2,4,15,8.9,A,1,1,malcolm-drumwright-1,Malcolm Drumwright,2017
16,70,16,2016-12-31,Jacksonville State,@,Eastern Illinois,REG (Conf),W 57-56,,36,3,13,0.231,0,5,0.0,3,8,0.375,0.231,1,3,0.333,0,1,1,2,2,1,4,3,7,-2.5,A,1,1,malcolm-drumwright-1,Malcolm Drumwright,2017
17,71,17,2017-01-05,Jacksonville State,,Murray State,REG (Conf),L 63-76,*,16,4,7,0.571,0,2,0.0,4,5,0.8,0.571,4,6,0.667,0,2,2,1,0,0,3,5,12,4.2,H,0,1,malcolm-drumwright-1,Malcolm Drumwright,2017
18,72,18,2017-01-07,Jacksonville State,,Austin Peay,REG (Conf),W 71-68,*,37,10,15,0.667,3,3,1.0,7,12,0.583,0.767,2,2,1.0,0,3,3,2,2,1,4,1,25,19.1,H,1,1,malcolm-drumwright-1,Malcolm Drumwright,2017
19,73,19,2017-01-10,Jacksonville State,,Fort Valley St.,REG (Non-Conf),W 81-69,*,37,4,10,0.4,1,4,0.25,3,6,0.5,0.45,5,8,0.625,0,5,5,12,1,1,3,2,14,15.2,H,1,1,malcolm-drumwright-1,Malcolm Drumwright,2017
20,74,20,2017-01-14,Jacksonville State,@,Tennessee Tech,REG (Conf),W 74-59,*,36,3,10,0.3,2,6,0.333,1,4,0.25,0.4,7,7,1.0,1,4,5,4,0,0,1,1,15,12.5,A,1,1,malcolm-drumwright-1,Malcolm Drumwright,2017
21,75,21,2017-01-19,Jacksonville State,@,Belmont,REG (Conf),L 60-77,*,33,3,9,0.333,0,5,0.0,3,4,0.75,0.333,1,2,0.5,0,2,2,2,0,0,0,0,7,3.5,A,0,1,malcolm-drumwright-1,Malcolm Drumwright,2017
22,76,22,2017-01-21,Jacksonville State,@,Tennessee State,REG (Conf),W 86-79,*,39,5,8,0.625,4,6,0.667,1,2,0.5,0.875,6,7,0.857,0,1,1,3,1,0,3,4,20,14.8,A,1,1,malcolm-drumwright-1,Malcolm Drumwright,2017
23,77,23,2017-01-26,Jacksonville State,,Eastern Kentucky,REG (Conf),L 52-57,*,36,1,15,0.067,1,7,0.143,0,8,0.0,0.1,4,4,1.0,1,2,3,2,1,0,2,4,7,-3.0,H,0,1,malcolm-drumwright-1,Malcolm Drumwright,2017
24,78,24,2017-01-28,Jacksonville State,,Morehead State,REG (Conf),L 69-72,*,36,3,12,0.25,1,5,0.2,2,7,0.286,0.292,1,2,0.5,0,1,1,7,1,0,3,3,8,2.4,H,0,1,malcolm-drumwright-1,Malcolm Drumwright,2017
25,79,25,2017-02-01,Jacksonville State,,Southeast Missouri State,REG (Conf),W 74-62,*,35,2,7,0.286,2,5,0.4,0,2,0.0,0.429,0,0,,0,1,1,6,0,0,2,1,6,4.0,H,1,1,malcolm-drumwright-1,Malcolm Drumwright,2017
26,80,26,2017-02-04,Jacksonville State,@,SIU Edwardsville,REG (Conf),W 72-61,*,20,2,4,0.5,1,2,0.5,1,2,0.5,0.625,0,0,,0,1,1,2,0,1,2,5,5,1.4,A,1,1,malcolm-drumwright-1,Malcolm Drumwright,2017
27,81,27,2017-02-09,Jacksonville State,,Belmont,REG (Conf),L 53-66,*,38,6,13,0.462,1,6,0.167,5,7,0.714,0.5,0,0,,0,3,3,5,1,0,2,3,13,8.5,H,0,1,malcolm-drumwright-1,Malcolm Drumwright,2017
28,82,28,2017-02-11,Jacksonville State,,Tennessee State,REG (Conf),W 63-57,*,37,5,13,0.385,3,9,0.333,2,4,0.5,0.5,1,1,1.0,0,3,3,3,0,0,2,1,14,7.5,H,1,1,malcolm-drumwright-1,Malcolm Drumwright,2017
29,83,29,2017-02-18,Jacksonville State,,Tennessee Tech,REG (Conf),L 78-79 (OT),*,43,9,20,0.45,5,12,0.417,4,8,0.5,0.575,2,2,1.0,0,2,2,5,0,0,3,2,25,14.9,H,0,1,malcolm-drumwright-1,Malcolm Drumwright,2017
30,84,30,2017-02-23,Jacksonville State,@,Eastern Kentucky,REG (Conf),L 65-68,*,16,1,5,0.2,1,4,0.25,0,1,0.0,0.3,0,0,,0,1,1,0,1,0,0,5,3,-0.8,A,0,1,malcolm-drumwright-1,Malcolm Drumwright,2017
31,85,31,2017-02-25,Jacksonville State,@,Morehead State,REG (Conf),W 70-61,*,35,3,8,0.375,1,4,0.25,2,4,0.5,0.438,7,7,1.0,0,4,4,2,2,0,4,2,14,9.4,A,1,1,malcolm-drumwright-1,Malcolm Drumwright,2017
32,86,32,2017-03-02,Jacksonville State,N,Southeast Missouri State,CTOURN,W 74-51,*,36,7,15,0.467,1,7,0.143,6,8,0.75,0.5,0,0,,0,2,2,7,0,1,0,1,15,13.1,N,1,0,malcolm-drumwright-1,Malcolm Drumwright,2017
33,87,33,2017-03-03,Jacksonville State,N,Belmont,CTOURN,W 65-59,*,37,8,12,0.667,3,5,0.6,5,7,0.714,0.792,2,2,1.0,1,3,4,1,1,0,1,3,21,16.9,N,1,0,malcolm-drumwright-1,Malcolm Drumwright,2017
34,88,34,2017-03-04,Jacksonville State,N,UT Martin,CTOURN,W 66-55,*,36,4,10,0.4,3,9,0.333,1,1,1.0,0.55,2,2,1.0,0,2,2,1,0,0,1,3,13,6.7,N,1,0,malcolm-drumwright-1,Malcolm Drumwright,2017
35,89,35,2017-03-17,Jacksonville State,N,Louisville,ROUND-64,L 63-78,*,36,4,12,0.333,2,8,0.25,2,4,0.5,0.417,2,2,1.0,0,2,2,6,1,1,2,3,12,8.5,N,0,0,malcolm-drumwright-1,Malcolm Drumwright,2017
