rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,66,1,2016-11-11,Michigan,,Howard,REG (Non-Conf),W 76-58,*,18,2,7,0.286,2,5,0.4,0,2,0.0,0.429,0,0,,0,0,0,2,0,0,0,4,6,1.7,H,1,1,muhammad-ali-abdur-rahkman-1,Muhammad-Ali Abdur-Rahkman,2017
2,67,2,2016-11-13,Michigan,,IUPUI,REG (Non-Conf),W 77-65,*,36,4,10,0.4,1,3,0.333,3,7,0.429,0.45,3,4,0.75,0,2,2,2,2,1,2,0,12,8.9,H,1,1,muhammad-ali-abdur-rahkman-1,Muhammad-Ali Abdur-Rahkman,2017
3,68,3,2016-11-17,Michigan,N,Marquette,REG (Non-Conf),W 79-61,*,33,4,8,0.5,0,4,0.0,4,4,1.0,0.5,7,7,1.0,0,4,4,0,2,0,4,1,15,9.8,N,1,1,muhammad-ali-abdur-rahkman-1,Muhammad-Ali Abdur-Rahkman,2017
4,69,4,2016-11-18,Michigan,N,SMU,REG (Non-Conf),W 76-54,*,31,5,8,0.625,2,5,0.4,3,3,1.0,0.75,0,0,,0,4,4,1,0,0,2,1,12,7.9,N,1,1,muhammad-ali-abdur-rahkman-1,Muhammad-Ali Abdur-Rahkman,2017
5,70,5,2016-11-23,Michigan,@,South Carolina,REG (Non-Conf),L 46-61,*,34,2,8,0.25,0,4,0.0,2,4,0.5,0.25,3,5,0.6,3,1,4,0,3,0,2,2,7,4.0,A,0,1,muhammad-ali-abdur-rahkman-1,Muhammad-Ali Abdur-Rahkman,2017
6,71,6,2016-11-26,Michigan,,Mount St. Mary's,REG (Non-Conf),W 64-47,*,34,2,7,0.286,1,5,0.2,1,2,0.5,0.357,0,0,,0,2,2,3,0,0,1,2,5,1.8,H,1,1,muhammad-ali-abdur-rahkman-1,Muhammad-Ali Abdur-Rahkman,2017
7,72,7,2016-11-30,Michigan,,Virginia Tech,REG (Non-Conf),L 70-73,*,36,4,10,0.4,2,4,0.5,2,6,0.333,0.5,3,4,0.75,1,5,6,2,2,0,1,2,13,11.0,H,0,1,muhammad-ali-abdur-rahkman-1,Muhammad-Ali Abdur-Rahkman,2017
8,73,8,2016-12-03,Michigan,,Kennesaw State,REG (Non-Conf),W 82-55,*,22,0,5,0.0,0,1,0.0,0,4,0.0,0.0,0,0,,1,1,2,3,0,0,0,1,0,-0.8,H,1,1,muhammad-ali-abdur-rahkman-1,Muhammad-Ali Abdur-Rahkman,2017
9,74,9,2016-12-06,Michigan,,Texas,REG (Non-Conf),W 53-50,*,25,0,2,0.0,0,1,0.0,0,1,0.0,0.0,3,4,0.75,0,1,1,1,1,0,1,0,3,2.2,H,1,1,muhammad-ali-abdur-rahkman-1,Muhammad-Ali Abdur-Rahkman,2017
10,75,10,2016-12-10,Michigan,@,UCLA,REG (Non-Conf),L 84-102,*,32,4,11,0.364,1,3,0.333,3,8,0.375,0.409,2,2,1.0,1,1,2,2,0,0,0,3,11,6.1,A,0,1,muhammad-ali-abdur-rahkman-1,Muhammad-Ali Abdur-Rahkman,2017
