rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,114,1,2016-11-11,Gonzaga,,Utah Valley,REG (Non-Conf),W 92-69,*,22,7,10,0.7,0,0,,7,10,0.7,0.7,0,0,,2,5,7,0,0,1,3,2,14,9.6,H,1,1,przemek-karnowski-1,Przemek Karnowski,2017
2,115,2,2016-11-14,Gonzaga,,San Diego State,REG (Non-Conf),W 69-48,*,16,4,7,0.571,0,0,,4,7,0.571,0.571,0,0,,1,5,6,2,0,1,0,4,8,7.4,H,1,1,przemek-karnowski-1,Przemek Karnowski,2017
3,116,3,2016-11-18,Gonzaga,,Bryant,REG (Non-Conf),W 109-70,*,20,9,13,0.692,0,0,,9,13,0.692,0.692,4,8,0.5,1,7,8,2,1,2,2,0,22,19.5,H,1,1,przemek-karnowski-1,Przemek Karnowski,2017
4,117,4,2016-11-24,Gonzaga,N,Quinnipiac,REG (Non-Conf),W 82-62,*,25,4,10,0.4,0,0,,4,10,0.4,0.4,0,0,,1,7,8,3,0,0,1,2,8,5.7,N,1,1,przemek-karnowski-1,Przemek Karnowski,2017
5,118,5,2016-11-25,Gonzaga,N,Florida,REG (Non-Conf),W 77-72,*,19,3,7,0.429,0,0,,3,7,0.429,0.429,0,1,0.0,2,3,5,2,1,1,0,5,6,5.3,N,1,1,przemek-karnowski-1,Przemek Karnowski,2017
6,119,6,2016-11-27,Gonzaga,N,Iowa State,REG (Non-Conf),W 73-71,*,22,5,13,0.385,0,1,0.0,5,12,0.417,0.385,1,2,0.5,3,5,8,5,0,1,1,2,11,9.5,N,1,1,przemek-karnowski-1,Przemek Karnowski,2017
7,120,7,2016-12-01,Gonzaga,,Mississippi Valley State,REG (Non-Conf),W 97-63,*,14,3,4,0.75,0,0,,3,4,0.75,0.75,0,0,,0,0,0,1,0,0,0,0,6,5.1,H,1,1,przemek-karnowski-1,Przemek Karnowski,2017
8,121,8,2016-12-03,Gonzaga,N,Arizona,REG (Non-Conf),W 69-62,*,25,9,13,0.692,0,0,,9,13,0.692,0.692,0,0,,1,3,4,0,0,2,0,4,18,13.9,N,1,1,przemek-karnowski-1,Przemek Karnowski,2017
9,122,9,2016-12-07,Gonzaga,,Washington,REG (Non-Conf),W 98-71,*,23,6,10,0.6,0,0,,6,10,0.6,0.6,5,9,0.556,2,6,8,3,0,2,3,3,17,13.3,H,1,1,przemek-karnowski-1,Przemek Karnowski,2017
10,123,10,2016-12-10,Gonzaga,,Akron,REG (Non-Conf),W 61-43,*,24,5,12,0.417,0,0,,5,12,0.417,0.417,4,4,1.0,2,6,8,2,1,1,0,3,14,12.7,H,1,1,przemek-karnowski-1,Przemek Karnowski,2017
11,124,11,2016-12-18,Gonzaga,N,Tennessee,REG (Non-Conf),W 86-76,*,31,3,6,0.5,0,0,,3,6,0.5,0.5,4,5,0.8,1,8,9,0,0,2,5,2,10,5.3,N,1,1,przemek-karnowski-1,Przemek Karnowski,2017
