rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,103,10,2016-12-13,Texas Southern,@,Cincinnati,REG (Non-Conf),L 58-96,,18,3,6,0.5,0,0,,3,6,0.5,0.5,0,0,,2,4,6,2,0,0,1,0,6,6.0,A,0,1,stephan-bennett-1,Stephan Bennett,2017
2,104,11,2016-12-17,Texas Southern,@,Louisiana State,REG (Non-Conf),L 80-88,*,21,2,3,0.667,0,1,0.0,2,2,1.0,0.667,0,0,,0,1,1,0,0,1,0,1,4,3.3,A,0,1,stephan-bennett-1,Stephan Bennett,2017
3,105,12,2016-12-18,Texas Southern,@,TCU,REG (Non-Conf),L 59-96,*,9,0,0,,0,0,,0,0,,,1,4,0.25,1,0,1,0,0,0,0,1,1,0.1,A,0,1,stephan-bennett-1,Stephan Bennett,2017
4,106,13,2016-12-21,Texas Southern,@,Baylor,REG (Non-Conf),L 63-89,,15,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,1,1,0,1,1,0,2,0,-0.2,A,0,1,stephan-bennett-1,Stephan Bennett,2017
5,107,14,2017-01-02,Texas Southern,@,Alcorn State,REG (Conf),W 67-65,*,9,0,3,0.0,0,0,,0,3,0.0,0.0,0,0,,1,2,3,1,0,0,0,4,0,-1.7,A,1,1,stephan-bennett-1,Stephan Bennett,2017
6,108,15,2017-01-04,Texas Southern,@,Southern,REG (Conf),W 82-74,,11,0,0,,0,0,,0,0,,,3,4,0.75,1,2,3,0,0,2,1,1,3,3.9,A,1,1,stephan-bennett-1,Stephan Bennett,2017
7,109,16,2017-01-07,Texas Southern,@,Prairie View A&M,REG (Conf),W 87-82,,8,2,3,0.667,0,0,,2,3,0.667,0.667,1,1,1.0,0,1,1,0,0,0,0,2,5,3.2,A,1,1,stephan-bennett-1,Stephan Bennett,2017
8,110,17,2017-01-14,Texas Southern,,Grambling State,REG (Conf),W 76-55,,18,2,3,0.667,0,0,,2,3,0.667,0.667,1,2,0.5,4,6,10,0,1,1,0,5,5,7.6,H,1,1,stephan-bennett-1,Stephan Bennett,2017
9,111,18,2017-01-16,Texas Southern,,Jackson State,REG (Conf),W 67-44,,18,4,5,0.8,0,0,,4,5,0.8,0.8,1,3,0.333,2,5,7,0,0,0,2,3,9,6.0,H,1,1,stephan-bennett-1,Stephan Bennett,2017
10,112,19,2017-01-21,Texas Southern,@,Arkansas–Pine Bluff,REG (Conf),W 70-63,,5,0,2,0.0,0,0,,0,2,0.0,0.0,1,2,0.5,1,0,1,0,0,0,1,0,1,-1.1,A,1,1,stephan-bennett-1,Stephan Bennett,2017
11,113,20,2017-01-23,Texas Southern,@,Mississippi Valley State,REG (Conf),L 89-103 (OT),,23,2,5,0.4,0,0,,2,5,0.4,0.4,3,7,0.429,3,3,6,0,0,1,0,1,7,6.0,A,0,1,stephan-bennett-1,Stephan Bennett,2017
12,114,21,2017-01-28,Texas Southern,,Alabama State,REG (Conf),W 70-68,,16,1,3,0.333,0,0,,1,3,0.333,0.333,1,3,0.333,2,4,6,0,0,2,0,1,3,4.1,H,1,1,stephan-bennett-1,Stephan Bennett,2017
13,115,22,2017-01-30,Texas Southern,,Alabama A&M,REG (Conf),W 92-47,,23,4,5,0.8,0,0,,4,5,0.8,0.8,3,4,0.75,3,8,11,2,2,2,0,2,11,17.2,H,1,1,stephan-bennett-1,Stephan Bennett,2017
14,116,23,2017-02-04,Texas Southern,,Prairie View A&M,REG (Conf),W 74-61,,16,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,1,3,4,0,2,0,1,2,0,1.1,H,1,1,stephan-bennett-1,Stephan Bennett,2017
15,117,24,2017-02-11,Texas Southern,@,Grambling State,REG (Conf),W 77-70,,10,0,0,,0,0,,0,0,,,5,6,0.833,1,0,1,1,0,0,2,3,5,2.8,A,1,1,stephan-bennett-1,Stephan Bennett,2017
16,118,25,2017-02-13,Texas Southern,@,Jackson State,REG (Conf),L 62-71,,6,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,A,0,1,stephan-bennett-1,Stephan Bennett,2017
17,119,26,2017-02-18,Texas Southern,,Arkansas–Pine Bluff,REG (Conf),W 78-40,,20,3,5,0.6,0,0,,3,5,0.6,0.6,1,2,0.5,4,4,8,1,1,2,0,3,7,10.2,H,1,1,stephan-bennett-1,Stephan Bennett,2017
18,120,27,2017-02-20,Texas Southern,,Mississippi Valley State,REG (Conf),W 92-61,,16,6,6,1.0,0,0,,6,6,1.0,1.0,3,4,0.75,1,2,3,1,0,2,1,1,15,14.8,H,1,1,stephan-bennett-1,Stephan Bennett,2017
19,121,28,2017-02-25,Texas Southern,@,Alabama State,REG (Conf),W 86-73,,18,2,5,0.4,0,0,,2,5,0.4,0.4,0,2,0.0,6,1,7,0,0,0,1,1,4,3.6,A,1,1,stephan-bennett-1,Stephan Bennett,2017
20,122,29,2017-02-27,Texas Southern,@,Alabama A&M,REG (Conf),W 74-64,,13,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,1,1,2,0,0,0,0,3,4,2.5,A,1,1,stephan-bennett-1,Stephan Bennett,2017
21,123,30,2017-03-02,Texas Southern,,Alcorn State,REG (Conf),W 94-88 (OT),,13,0,1,0.0,0,0,,0,1,0.0,0.0,1,4,0.25,1,1,2,0,0,0,0,2,1,-0.7,H,1,1,stephan-bennett-1,Stephan Bennett,2017
22,124,31,2017-03-04,Texas Southern,,Southern,REG (Conf),W 82-69,,15,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,4,4,0,0,0,1,2,2,1.1,H,1,1,stephan-bennett-1,Stephan Bennett,2017
23,125,32,2017-03-07,Texas Southern,,Alabama State,CTOURN,W 87-72,,12,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,1,0,1,0,0,2,0,1,2,2.7,H,1,0,stephan-bennett-1,Stephan Bennett,2017
24,126,33,2017-03-10,Texas Southern,N,Grambling State,CTOURN,W 62-57,,11,1,1,1.0,0,0,,1,1,1.0,1.0,1,2,0.5,1,1,2,1,0,0,2,2,3,1.2,N,1,0,stephan-bennett-1,Stephan Bennett,2017
25,127,34,2017-03-11,Texas Southern,N,Alcorn State,CTOURN,W 53-50,,6,1,2,0.5,0,0,,1,2,0.5,0.5,1,3,0.333,2,0,2,0,0,0,0,1,3,2.2,N,1,0,stephan-bennett-1,Stephan Bennett,2017
26,128,35,2017-03-17,Texas Southern,N,North Carolina,ROUND-64,L 64-103,,25,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,1,2,3,0,1,1,0,2,0,1.5,N,0,0,stephan-bennett-1,Stephan Bennett,2017
