rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2016-11-12,Florida State,,Charleston Southern,REG (Non-Conf),W 88-67,,19,3,4,0.75,0,0,,3,4,0.75,0.75,1,2,0.5,2,4,6,1,0,0,1,0,7,7.3,H,1,1,trent-forrest-1,Trent Forrest,2017
2,2,2,2016-11-15,Florida State,,Iona,REG (Non-Conf),W 99-78,,21,5,8,0.625,0,1,0.0,5,7,0.714,0.625,0,4,0.0,2,1,3,2,2,1,3,3,10,6.4,H,1,1,trent-forrest-1,Trent Forrest,2017
3,3,3,2016-11-18,Florida State,,Winthrop,REG (Non-Conf),W 100-86,,16,2,4,0.5,0,0,,2,4,0.5,0.5,5,6,0.833,0,3,3,2,2,0,0,2,9,10.1,H,1,1,trent-forrest-1,Trent Forrest,2017
4,4,4,2016-11-20,Florida State,,Detroit Mercy,REG (Non-Conf),W 100-71,,20,6,7,0.857,0,0,,6,7,0.857,0.857,0,2,0.0,1,2,3,5,4,0,0,1,12,17.1,H,1,1,trent-forrest-1,Trent Forrest,2017
5,5,5,2016-11-24,Florida State,N,Temple,REG (Non-Conf),L 86-89,,18,1,2,0.5,0,0,,1,2,0.5,0.5,2,4,0.5,0,1,1,0,0,1,4,2,4,-1.6,N,0,1,trent-forrest-1,Trent Forrest,2017
6,6,6,2016-11-25,Florida State,N,Illinois,REG (Non-Conf),W 72-61,,26,2,5,0.4,0,0,,2,5,0.4,0.4,3,3,1.0,2,3,5,2,4,1,1,1,7,11.3,N,1,1,trent-forrest-1,Trent Forrest,2017
7,7,7,2016-11-28,Florida State,,Minnesota,REG (Non-Conf),W 75-67,,14,0,3,0.0,0,1,0.0,0,2,0.0,0.0,5,6,0.833,1,2,3,2,0,0,0,3,5,4.0,H,1,1,trent-forrest-1,Trent Forrest,2017
8,8,8,2016-12-04,Florida State,N,George Washington,REG (Non-Conf),W 67-48,,18,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,2,0,2,5,2,0,0,1,2,6.8,N,1,1,trent-forrest-1,Trent Forrest,2017
9,9,9,2016-12-06,Florida State,,Southern Mississippi,REG (Non-Conf),W 98-49,,21,1,5,0.2,0,1,0.0,1,4,0.25,0.2,2,2,1.0,2,7,9,1,2,0,0,1,4,6.7,H,1,1,trent-forrest-1,Trent Forrest,2017
10,10,10,2016-12-08,Florida State,,Nicholls State,REG (Non-Conf),W 118-63,,18,6,7,0.857,1,1,1.0,5,6,0.833,0.929,0,0,,2,4,6,6,2,0,2,1,13,16.9,H,1,1,trent-forrest-1,Trent Forrest,2017
