rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,31,1,2017-11-10,Rhode Island,,UNC Asheville,REG (Non-Conf),W 84-60,*,17,6,10,0.6,0,0,6,10,0.6,0.6,3,3,1.0,1,1,2,1,0,0,0,2,15,11.3,H,1,1,andre-berry-1,Andre Berry,2018
2,32,2,2017-11-13,Rhode Island,@,Nevada,REG (Non-Conf),L 81-88,*,17,3,4,0.75,0,0,3,4,0.75,0.75,0,0,,1,2,3,2,0,0,1,3,6,4.9,A,0,1,andre-berry-1,Andre Berry,2018
3,33,3,2017-11-19,Rhode Island,,Holy Cross,REG (Non-Conf),W 88-66,*,24,9,11,0.818,0,0,9,11,0.818,0.818,2,2,1.0,3,1,4,0,0,0,2,3,20,15.1,H,1,1,andre-berry-1,Andre Berry,2018
4,34,4,2017-11-23,Rhode Island,N,Seton Hall,REG (Non-Conf),W 75-74,*,22,3,8,0.375,0,0,3,8,0.375,0.375,2,2,1.0,2,5,7,0,1,0,1,4,8,4.9,N,1,1,andre-berry-1,Andre Berry,2018
5,35,5,2017-11-24,Rhode Island,N,Virginia,REG (Non-Conf),L 55-70,*,28,5,9,0.556,0,0,5,9,0.556,0.556,2,7,0.286,1,6,7,0,0,0,1,1,12,6.8,N,0,1,andre-berry-1,Andre Berry,2018
6,36,6,2017-11-28,Rhode Island,,Brown,REG (Non-Conf),W 86-62,*,11,0,0,,0,0,0,0,,,0,2,0.0,0,3,3,1,0,0,2,2,0,-2.0,H,1,1,andre-berry-1,Andre Berry,2018
7,37,7,2017-12-02,Rhode Island,,Providence,REG (Non-Conf),W 75-68,*,26,6,7,0.857,0,0,6,7,0.857,0.857,0,0,,0,5,5,0,1,2,4,3,12,8.2,H,1,1,andre-berry-1,Andre Berry,2018
8,38,8,2017-12-06,Rhode Island,@,Alabama,REG (Non-Conf),L 64-68,*,16,0,2,0.0,0,0,0,2,0.0,0.0,0,0,,0,4,4,1,0,1,2,1,0,-1.2,A,0,1,andre-berry-1,Andre Berry,2018
9,39,9,2017-12-16,Rhode Island,,College of Charleston,REG (Non-Conf),W 68-62,*,15,2,6,0.333,0,0,2,6,0.333,0.333,2,2,1.0,1,0,1,1,0,0,1,1,6,2.6,H,1,1,andre-berry-1,Andre Berry,2018
10,40,10,2017-12-21,Rhode Island,,Iona,REG (Non-Conf),W 80-74,*,10,3,4,0.75,0,0,3,4,0.75,0.75,2,2,1.0,2,1,3,0,0,0,0,1,8,7.7,H,1,1,andre-berry-1,Andre Berry,2018
11,41,11,2017-12-27,Rhode Island,,Florida Gulf Coast,REG (Non-Conf),W 80-60,*,25,5,9,0.556,0,0,5,9,0.556,0.556,0,0,,1,0,1,1,0,2,0,2,10,7.7,H,1,1,andre-berry-1,Andre Berry,2018
12,42,12,2017-12-30,Rhode Island,,George Mason,REG (Conf),W 83-64,,17,6,8,0.75,0,0,6,8,0.75,0.75,1,3,0.333,4,0,4,0,0,1,2,2,13,9.7,H,1,1,andre-berry-1,Andre Berry,2018
13,43,13,2018-01-03,Rhode Island,,La Salle,REG (Conf),W 74-62,*,9,0,4,0.0,0,0,0,4,0.0,0.0,0,0,,2,3,5,0,0,0,3,2,0,-4.3,H,1,1,andre-berry-1,Andre Berry,2018
