rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,29,1,2017-11-10,Houston,,McNeese State,REG (Non-Conf),W 81-53,*,32,8,11,0.727,5,8,0.625,3,3,1.0,0.955,1,1,1.0,1,5,6,0,0,1,1,1,22,19.0,H,1,1,armoni-brooks-1,Armoni Brooks,2018
2,30,2,2017-11-17,Houston,N,Drexel,REG (Non-Conf),L 80-84,,17,3,7,0.429,2,5,0.4,1,2,0.5,0.571,0,0,,2,2,4,0,1,0,1,0,8,6.3,N,0,1,armoni-brooks-1,Armoni Brooks,2018
3,31,3,2017-11-18,Houston,N,Liberty,REG (Non-Conf),W 68-66,,9,0,3,0.0,0,3,0.0,0,0,,0.0,0,0,,1,3,4,0,0,0,0,0,0,-0.5,N,1,1,armoni-brooks-1,Armoni Brooks,2018
4,32,4,2017-11-19,Houston,N,Wake Forest,REG (Non-Conf),W 78-73,,3,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,0,1,1,0,0,0,0,0,0,-1.1,N,1,1,armoni-brooks-1,Armoni Brooks,2018
5,33,5,2017-11-25,Houston,,Incarnate Word,REG (Non-Conf),W 97-58,,16,3,7,0.429,2,6,0.333,1,1,1.0,0.571,2,2,1.0,1,2,3,0,2,0,0,2,10,8.8,H,1,1,armoni-brooks-1,Armoni Brooks,2018
6,34,6,2017-11-29,Houston,,New Orleans,REG (Non-Conf),W 75-66,,16,3,6,0.5,3,6,0.5,0,0,,0.75,0,0,,0,0,0,0,1,0,1,0,9,6.0,H,1,1,armoni-brooks-1,Armoni Brooks,2018
7,35,7,2017-12-02,Houston,,Arkansas,REG (Non-Conf),W 91-65,,11,3,4,0.75,3,4,0.75,0,0,,1.125,2,2,1.0,0,1,1,1,1,0,0,0,11,11.4,H,1,1,armoni-brooks-1,Armoni Brooks,2018
8,36,8,2017-12-06,Houston,,Fairfield,REG (Non-Conf),W 88-66,,19,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,2,0.0,0,3,3,1,1,0,1,1,0,-1.0,H,1,1,armoni-brooks-1,Armoni Brooks,2018
9,37,9,2017-12-09,Houston,@,Saint Louis,REG (Non-Conf),W 77-58,,13,2,6,0.333,2,5,0.4,0,1,0.0,0.5,0,0,,0,2,2,0,0,1,0,2,6,3.1,A,1,1,armoni-brooks-1,Armoni Brooks,2018
10,38,10,2017-12-13,Houston,@,Louisiana State,REG (Non-Conf),L 77-80,,17,3,6,0.5,3,6,0.5,0,0,,0.75,0,0,,1,2,3,1,1,0,0,2,9,8.2,A,0,1,armoni-brooks-1,Armoni Brooks,2018
11,39,11,2017-12-17,Houston,,Prairie View A&M,REG (Non-Conf),W 92-72,,26,8,11,0.727,6,9,0.667,2,2,1.0,1.0,2,2,1.0,1,3,4,3,0,0,2,0,24,21.2,H,1,1,armoni-brooks-1,Armoni Brooks,2018
12,40,12,2017-12-20,Houston,N,Providence,REG (Non-Conf),W 70-59,,21,4,7,0.571,4,6,0.667,0,1,0.0,0.857,0,0,,1,3,4,0,4,0,0,2,12,13.5,N,1,1,armoni-brooks-1,Armoni Brooks,2018
13,41,13,2017-12-28,Houston,@,South Florida,REG (Conf),W 79-60,,19,5,12,0.417,4,9,0.444,1,3,0.333,0.583,0,0,,1,1,2,0,1,0,2,0,14,7.6,A,1,1,armoni-brooks-1,Armoni Brooks,2018
14,42,14,2017-12-30,Houston,,Temple,REG (Conf),W 76-73,,25,5,11,0.455,1,4,0.25,4,7,0.571,0.5,3,4,0.75,1,4,5,0,1,0,0,4,14,9.2,H,1,1,armoni-brooks-1,Armoni Brooks,2018
15,43,15,2018-01-04,Houston,@,Wichita State,REG (Conf),L 63-81,,19,2,9,0.222,0,4,0.0,2,5,0.4,0.222,0,0,,0,2,2,0,0,0,0,0,4,-0.9,A,0,1,armoni-brooks-1,Armoni Brooks,2018
16,44,16,2018-01-11,Houston,,Tulsa,REG (Conf),W 104-71,,21,5,10,0.5,5,8,0.625,0,2,0.0,0.75,0,0,,0,4,4,0,1,0,1,2,15,10.4,H,1,1,armoni-brooks-1,Armoni Brooks,2018
17,45,17,2018-01-14,Houston,@,East Carolina,REG (Conf),W 65-49,,20,1,6,0.167,0,5,0.0,1,1,1.0,0.167,0,0,,0,3,3,0,0,1,0,2,2,-1.0,A,1,1,armoni-brooks-1,Armoni Brooks,2018
18,46,18,2018-01-17,Houston,@,Tulane,REG (Conf),L 72-81,,22,3,7,0.429,2,4,0.5,1,3,0.333,0.571,2,2,1.0,1,1,2,0,1,0,0,4,10,6.7,A,0,1,armoni-brooks-1,Armoni Brooks,2018
19,47,19,2018-01-20,Houston,,Wichita State,REG (Conf),W 73-59,,24,2,9,0.222,2,7,0.286,0,2,0.0,0.333,2,2,1.0,0,3,3,1,1,0,0,1,8,4.7,H,1,1,armoni-brooks-1,Armoni Brooks,2018
20,48,20,2018-01-28,Houston,,South Florida,REG (Conf),W 63-40,,21,0,8,0.0,0,8,0.0,0,0,,0.0,0,0,,1,3,4,1,0,1,1,2,0,-4.4,H,1,1,armoni-brooks-1,Armoni Brooks,2018
21,49,21,2018-01-31,Houston,@,Cincinnati,REG (Conf),L 70-80,,24,4,10,0.4,4,9,0.444,0,1,0.0,0.6,0,0,,1,0,1,0,1,0,0,3,12,7.1,A,0,1,armoni-brooks-1,Armoni Brooks,2018
22,50,22,2018-02-03,Houston,@,UCF,REG (Conf),W 69-65,,16,2,5,0.4,2,4,0.5,0,1,0.0,0.6,0,0,,1,3,4,1,0,0,0,1,6,5.2,A,1,1,armoni-brooks-1,Armoni Brooks,2018
23,51,23,2018-02-08,Houston,,SMU,REG (Conf),W 67-58,,32,7,9,0.778,7,9,0.778,0,0,,1.167,2,2,1.0,2,8,10,2,2,0,1,2,23,24.9,H,1,1,armoni-brooks-1,Armoni Brooks,2018
24,52,24,2018-02-11,Houston,,Tulane,REG (Conf),W 73-42,,24,4,11,0.364,3,8,0.375,1,3,0.333,0.5,0,0,,1,10,11,1,1,1,0,2,11,10.2,H,1,1,armoni-brooks-1,Armoni Brooks,2018
