rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,21,1,2017-11-11,Pennsylvania,@,Fairfield,REG (Non-Conf),L 72-80,,11,3,6,0.5,3,4,0.75,0,2,0.0,0.75,0,0,,0,0,0,0,0,0,1,1,9,4.6,A,0,1,caleb-wood-2,Caleb Wood,2018
2,22,2,2017-11-13,Pennsylvania,,La Salle,REG (Non-Conf),L 71-75 (2OT),,11,3,5,0.6,3,5,0.6,0,0,,0.9,0,0,,0,0,0,0,0,0,0,2,9,5.9,H,0,1,caleb-wood-2,Caleb Wood,2018
3,23,3,2017-11-15,Pennsylvania,,Navy,REG (Non-Conf),W 66-45,,20,5,8,0.625,3,6,0.5,2,2,1.0,0.813,0,0,,0,2,2,2,0,0,0,1,13,11.0,H,1,1,caleb-wood-2,Caleb Wood,2018
4,24,4,2017-11-18,Pennsylvania,,Penn St. Brandywine,REG (Non-Conf),W 99-40,,9,2,4,0.5,1,3,0.333,1,1,1.0,0.625,0,0,,0,0,0,2,0,0,1,0,5,3.4,H,1,1,caleb-wood-2,Caleb Wood,2018
5,25,5,2017-11-20,Pennsylvania,N,Northern Illinois,REG (Non-Conf),W 93-80,,19,5,9,0.556,4,7,0.571,1,2,0.5,0.778,2,3,0.667,1,0,1,0,1,0,0,4,16,11.4,N,1,1,caleb-wood-2,Caleb Wood,2018
6,26,6,2017-11-21,Pennsylvania,N,Towson,REG (Non-Conf),L 71-79,,19,2,4,0.5,0,2,0.0,2,2,1.0,0.5,0,0,,0,1,1,4,1,0,1,4,4,3.5,N,0,1,caleb-wood-2,Caleb Wood,2018
7,27,7,2017-11-22,Pennsylvania,N,Kansas City,REG (Non-Conf),W 68-65,,23,2,6,0.333,1,4,0.25,1,2,0.5,0.417,0,1,0.0,0,2,2,1,1,0,1,1,5,2.1,N,1,1,caleb-wood-2,Caleb Wood,2018
8,28,8,2017-11-25,Pennsylvania,@,Monmouth,REG (Non-Conf),W 101-96 (4OT),,10,0,3,0.0,0,3,0.0,0,0,,0.0,0,0,,0,1,1,0,0,0,0,0,0,-1.8,A,1,1,caleb-wood-2,Caleb Wood,2018
9,29,9,2017-11-29,Pennsylvania,@,Villanova,REG (Non-Conf),L 62-90,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,A,0,1,caleb-wood-2,Caleb Wood,2018
10,30,10,2017-12-04,Pennsylvania,@,Howard,REG (Non-Conf),W 81-68,,29,9,18,0.5,6,12,0.5,3,6,0.5,0.667,2,4,0.5,1,1,2,2,1,0,1,1,26,18.2,A,1,1,caleb-wood-2,Caleb Wood,2018
