rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,60,1,2017-11-11,Buffalo,,Canisius,REG (Non-Conf),W 80-75,*,25,3,11,0.273,0,2,0.0,3,9,0.333,0.273,2,4,0.5,1,4,5,0,0,0,3,5,8,-2.4,H,1,1,cj-massinburg-1,C.J. Massinburg,2018
2,61,2,2017-11-15,Buffalo,,Jacksonville State,REG (Non-Conf),W 81-76,*,35,8,17,0.471,4,10,0.4,4,7,0.571,0.588,5,5,1.0,3,4,7,5,0,0,2,0,25,21.1,H,1,1,cj-massinburg-1,C.J. Massinburg,2018
3,62,3,2017-11-20,Buffalo,N,Cincinnati,REG (Non-Conf),L 67-73,*,37,9,21,0.429,4,8,0.5,5,13,0.385,0.524,7,9,0.778,2,8,10,2,2,0,1,4,29,21.7,N,0,1,cj-massinburg-1,C.J. Massinburg,2018
4,63,4,2017-11-21,Buffalo,N,UAB,REG (Non-Conf),W 96-91 (OT),*,38,6,12,0.5,3,8,0.375,3,4,0.75,0.625,1,2,0.5,0,3,3,1,1,2,3,3,16,9.4,N,1,1,cj-massinburg-1,C.J. Massinburg,2018
5,64,5,2017-11-22,Buffalo,N,South Dakota State,REG (Non-Conf),L 80-94,,28,4,11,0.364,2,6,0.333,2,5,0.4,0.455,0,0,,0,2,2,2,0,0,2,2,10,3.1,N,0,1,cj-massinburg-1,C.J. Massinburg,2018
6,65,6,2017-11-29,Buffalo,@,Niagara,REG (Non-Conf),W 106-87,*,32,8,10,0.8,4,6,0.667,4,4,1.0,1.0,5,6,0.833,3,5,8,4,2,0,0,3,25,28.0,A,1,1,cj-massinburg-1,C.J. Massinburg,2018
7,66,7,2017-12-02,Buffalo,,St. Bonaventure,REG (Non-Conf),L 62-73,*,39,6,13,0.462,3,9,0.333,3,4,0.75,0.577,6,10,0.6,1,7,8,2,0,1,4,3,21,12.4,H,0,1,cj-massinburg-1,C.J. Massinburg,2018
8,67,8,2017-12-06,Buffalo,@,Delaware,REG (Non-Conf),W 75-72,*,38,10,16,0.625,5,6,0.833,5,10,0.5,0.781,5,7,0.714,6,8,14,0,0,1,2,1,30,26.9,A,1,1,cj-massinburg-1,C.J. Massinburg,2018
9,68,9,2017-12-09,Buffalo,,Central Penn,REG (Non-Conf),W 88-54,*,23,5,10,0.5,3,7,0.429,2,3,0.667,0.65,0,1,0.0,3,8,11,1,3,0,1,1,13,14.4,H,1,1,cj-massinburg-1,C.J. Massinburg,2018
10,69,10,2017-12-16,Buffalo,,Robert Morris,REG (Non-Conf),W 86-70,*,31,6,8,0.75,3,4,0.75,3,4,0.75,0.938,8,10,0.8,2,8,10,4,1,1,4,0,23,23.3,H,1,1,cj-massinburg-1,C.J. Massinburg,2018
11,70,11,2017-12-19,Buffalo,@,Syracuse,REG (Non-Conf),L 74-81,*,37,2,13,0.154,1,9,0.111,1,4,0.25,0.192,9,9,1.0,2,6,8,3,2,0,2,3,14,9.8,A,0,1,cj-massinburg-1,C.J. Massinburg,2018
12,71,12,2017-12-21,Buffalo,@,Texas A&M,REG (Non-Conf),L 73-89,*,38,6,15,0.4,6,12,0.5,0,3,0.0,0.6,2,3,0.667,4,4,8,5,1,1,2,4,20,17.1,A,0,1,cj-massinburg-1,C.J. Massinburg,2018
13,72,13,2017-12-28,Buffalo,,NJIT,REG (Non-Conf),W 86-81 (OT),*,41,6,17,0.353,3,10,0.3,3,7,0.429,0.441,5,5,1.0,5,5,10,2,2,1,0,2,20,18.8,H,1,1,cj-massinburg-1,C.J. Massinburg,2018
14,73,14,2018-01-02,Buffalo,,Toledo,REG (Conf),W 104-94,*,31,7,13,0.538,3,6,0.5,4,7,0.571,0.654,10,10,1.0,1,6,7,2,3,0,0,4,27,26.0,H,1,1,cj-massinburg-1,C.J. Massinburg,2018
15,74,15,2018-01-06,Buffalo,@,Ball State,REG (Conf),W 83-63,*,35,6,12,0.5,1,2,0.5,5,10,0.5,0.542,0,0,,2,5,7,5,3,1,1,1,13,15.7,A,1,1,cj-massinburg-1,C.J. Massinburg,2018
16,75,16,2018-01-09,Buffalo,@,Akron,REG (Conf),W 87-65,*,31,3,9,0.333,0,6,0.0,3,3,1.0,0.333,4,8,0.5,3,9,12,0,0,0,2,3,10,4.9,A,1,1,cj-massinburg-1,C.J. Massinburg,2018
17,76,17,2018-01-13,Buffalo,,Miami (OH),REG (Conf),W 82-66,*,33,6,10,0.6,2,3,0.667,4,7,0.571,0.7,0,2,0.0,4,7,11,4,0,1,3,4,14,12.4,H,1,1,cj-massinburg-1,C.J. Massinburg,2018
18,77,18,2018-01-16,Buffalo,,Northern Illinois,REG (Conf),W 95-67,*,33,6,13,0.462,3,9,0.333,3,4,0.75,0.577,1,2,0.5,1,2,3,1,2,0,1,3,16,10.7,H,1,1,cj-massinburg-1,C.J. Massinburg,2018
19,78,19,2018-01-19,Buffalo,@,Western Michigan,REG (Conf),W 84-74,*,34,8,14,0.571,2,6,0.333,6,8,0.75,0.643,2,3,0.667,3,5,8,1,2,1,4,3,20,14.8,A,1,1,cj-massinburg-1,C.J. Massinburg,2018
20,79,20,2018-01-23,Buffalo,,Eastern Michigan,REG (Conf),W 83-69,*,35,6,14,0.429,3,7,0.429,3,7,0.429,0.536,3,4,0.75,1,3,4,2,1,0,0,0,18,14.2,H,1,1,cj-massinburg-1,C.J. Massinburg,2018
