rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,45,1,2017-11-10,Loyola Chicago,,Wright State,REG (Non-Conf),W 84-80,*,31,7,12,0.583,1,4,0.25,6,8,0.75,0.625,3,6,0.5,0,4,4,0,3,0,4,2,18,10.6,H,1,1,clayton-custer-1,Clayton Custer,2018
2,46,2,2017-11-12,Loyola Chicago,,Eureka,REG (Non-Conf),W 96-69,*,21,2,6,0.333,0,3,0.0,2,3,0.667,0.333,2,2,1.0,0,3,3,3,1,0,0,1,6,6.2,H,1,1,clayton-custer-1,Clayton Custer,2018
3,47,3,2017-11-16,Loyola Chicago,@,Kansas City,REG (Non-Conf),W 66-56,*,35,7,11,0.636,2,4,0.5,5,7,0.714,0.727,4,4,1.0,0,2,2,3,1,0,2,3,20,15.6,A,1,1,clayton-custer-1,Clayton Custer,2018
4,48,4,2017-11-19,Loyola Chicago,,Samford,REG (Non-Conf),W 88-67,*,38,4,7,0.571,2,5,0.4,2,2,1.0,0.714,8,8,1.0,0,2,2,9,0,0,0,3,18,20.4,H,1,1,clayton-custer-1,Clayton Custer,2018
5,49,5,2017-11-21,Loyola Chicago,,Mississippi Valley State,REG (Non-Conf),W 63-50,*,34,4,8,0.5,1,3,0.333,3,5,0.6,0.563,4,4,1.0,0,1,1,4,1,0,2,2,13,10.3,H,1,1,clayton-custer-1,Clayton Custer,2018
6,50,6,2017-11-24,Loyola Chicago,N,UNC Wilmington,REG (Non-Conf),W 102-78,*,28,5,7,0.714,1,3,0.333,4,4,1.0,0.786,2,2,1.0,0,1,1,4,2,0,1,2,13,13.4,N,1,1,clayton-custer-1,Clayton Custer,2018
7,51,7,2017-11-25,Loyola Chicago,N,Kent State,REG (Non-Conf),W 75-60,*,37,4,10,0.4,3,5,0.6,1,5,0.2,0.55,0,0,,2,2,4,6,1,0,4,2,11,8.0,N,1,1,clayton-custer-1,Clayton Custer,2018
8,52,8,2017-11-28,Loyola Chicago,@,Boise State,REG (Non-Conf),L 53-87,*,32,5,12,0.417,2,4,0.5,3,8,0.375,0.5,0,0,,0,2,2,4,3,0,0,0,12,12.0,A,0,1,clayton-custer-1,Clayton Custer,2018
9,53,9,2017-12-02,Loyola Chicago,,Illinois–Chicago,REG (Non-Conf),W 85-61,*,30,4,7,0.571,1,2,0.5,3,5,0.6,0.643,1,2,0.5,0,3,3,6,1,0,1,2,10,10.6,H,1,1,clayton-custer-1,Clayton Custer,2018
10,54,10,2017-12-06,Loyola Chicago,@,Florida,REG (Non-Conf),W 65-59,*,14,2,5,0.4,0,1,0.0,2,4,0.5,0.4,0,0,,0,0,0,3,0,0,1,1,4,2.0,A,1,1,clayton-custer-1,Clayton Custer,2018
11,55,16,2018-01-07,Loyola Chicago,@,Northern Iowa,REG (Conf),W 56-50,*,32,4,12,0.333,3,7,0.429,1,5,0.2,0.458,0,0,,0,1,1,4,1,1,0,0,11,9.0,A,1,1,clayton-custer-1,Clayton Custer,2018
