rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,50,1,2017-11-10,Houston,,McNeese State,REG (Non-Conf),W 81-53,*,20,3,5,0.6,0,0,,3,5,0.6,0.6,1,2,0.5,0,5,5,5,0,1,2,0,7,8.0,H,1,1,devin-davis-1,Devin Davis,2018
2,51,2,2017-11-17,Houston,N,Drexel,REG (Non-Conf),L 80-84,*,24,5,9,0.556,0,0,,5,9,0.556,0.556,0,2,0.0,3,5,8,0,1,1,1,5,10,7.2,N,0,1,devin-davis-1,Devin Davis,2018
3,52,3,2017-11-18,Houston,N,Liberty,REG (Non-Conf),W 68-66,*,32,5,14,0.357,0,0,,5,14,0.357,0.357,2,2,1.0,1,4,5,1,0,1,0,2,12,6.7,N,1,1,devin-davis-1,Devin Davis,2018
4,53,4,2017-11-19,Houston,N,Wake Forest,REG (Non-Conf),W 78-73,*,35,7,14,0.5,0,0,,7,14,0.5,0.5,3,6,0.5,3,7,10,3,0,1,1,2,17,14.0,N,1,1,devin-davis-1,Devin Davis,2018
5,54,5,2017-11-25,Houston,,Incarnate Word,REG (Non-Conf),W 97-58,*,21,5,12,0.417,0,0,,5,12,0.417,0.417,0,2,0.0,3,7,10,2,1,2,0,3,10,9.6,H,1,1,devin-davis-1,Devin Davis,2018
6,55,6,2017-11-29,Houston,,New Orleans,REG (Non-Conf),W 75-66,*,28,3,9,0.333,0,0,,3,9,0.333,0.333,0,3,0.0,0,6,6,1,4,0,2,1,6,3.8,H,1,1,devin-davis-1,Devin Davis,2018
7,56,7,2017-12-02,Houston,,Arkansas,REG (Non-Conf),W 91-65,*,32,10,14,0.714,1,2,0.5,9,12,0.75,0.75,7,8,0.875,4,6,10,2,0,2,1,4,28,26.6,H,1,1,devin-davis-1,Devin Davis,2018
8,57,8,2017-12-06,Houston,,Fairfield,REG (Non-Conf),W 88-66,*,30,4,9,0.444,0,0,,4,9,0.444,0.444,3,4,0.75,1,8,9,2,0,0,1,3,11,8.2,H,1,1,devin-davis-1,Devin Davis,2018
9,58,9,2017-12-09,Houston,@,Saint Louis,REG (Non-Conf),W 77-58,*,29,7,8,0.875,0,0,,7,8,0.875,0.875,3,6,0.5,0,4,4,1,1,0,1,4,17,13.3,A,1,1,devin-davis-1,Devin Davis,2018
10,59,10,2017-12-13,Houston,@,Louisiana State,REG (Non-Conf),L 77-80,*,32,7,15,0.467,0,1,0.0,7,14,0.5,0.467,0,0,,3,4,7,0,1,0,5,3,14,4.4,A,0,1,devin-davis-1,Devin Davis,2018
11,60,11,2017-12-17,Houston,,Prairie View A&M,REG (Non-Conf),W 92-72,*,29,4,11,0.364,0,1,0.0,4,10,0.4,0.364,2,2,1.0,3,4,7,2,2,1,1,1,10,9.9,H,1,1,devin-davis-1,Devin Davis,2018
12,61,12,2017-12-20,Houston,N,Providence,REG (Non-Conf),W 70-59,*,29,0,6,0.0,0,0,,0,6,0.0,0.0,2,2,1.0,1,8,9,1,0,0,1,4,2,-1.0,N,1,1,devin-davis-1,Devin Davis,2018
