rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2017-11-10,Villanova,,Columbia,REG (Non-Conf),W 75-60,,9,0,0,,0,0,0,0,,,0,0,,0,1,1,0,1,0,1,2,0,-0.5,H,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
2,2,2,2017-11-14,Villanova,,Nicholls State,REG (Non-Conf),W 113-77,,17,4,7,0.571,0,0,4,7,0.571,0.571,0,0,,2,4,6,0,0,1,3,1,8,4.6,H,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
3,3,3,2017-11-17,Villanova,N,Lafayette,REG (Non-Conf),W 104-57,,16,3,3,1.0,0,0,3,3,1.0,1.0,2,3,0.667,1,4,5,0,1,0,0,0,8,9.6,N,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
4,4,4,2017-11-22,Villanova,N,Western Kentucky,REG (Non-Conf),W 66-58,,15,0,0,,0,0,0,0,,,0,0,,0,3,3,0,0,1,0,1,0,1.2,N,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
5,5,5,2017-11-23,Villanova,N,Tennessee,REG (Non-Conf),W 85-76,,16,0,0,,0,0,0,0,,,0,0,,0,2,2,0,0,0,1,4,0,-2.0,N,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
6,6,6,2017-11-24,Villanova,N,Northern Iowa,REG (Non-Conf),W 64-50,,2,0,0,,0,0,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,0.3,N,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
7,7,7,2017-11-29,Villanova,,Pennsylvania,REG (Non-Conf),W 90-62,,9,2,2,1.0,0,0,2,2,1.0,1.0,0,0,,0,2,2,0,0,1,1,3,4,2.5,H,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
8,8,8,2017-12-02,Villanova,@,Saint Joseph's,REG (Non-Conf),W 94-53,,14,1,3,0.333,0,0,1,3,0.333,0.333,0,0,,2,4,6,0,0,0,0,1,2,2.5,A,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
9,9,9,2017-12-05,Villanova,N,Gonzaga,REG (Non-Conf),W 88-72,,15,2,3,0.667,0,0,2,3,0.667,0.667,1,2,0.5,2,0,2,0,0,0,0,4,5,3.1,N,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
10,10,10,2017-12-10,Villanova,,La Salle,REG (Non-Conf),W 77-68,,9,1,1,1.0,0,0,1,1,1.0,1.0,1,1,1.0,0,2,2,0,0,0,0,1,3,2.9,H,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
11,11,11,2017-12-13,Villanova,@,Temple,REG (Non-Conf),W 87-67,,12,1,1,1.0,0,0,1,1,1.0,1.0,0,0,,1,0,1,0,0,0,3,0,2,-0.6,A,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
12,12,12,2017-12-22,Villanova,N,Hofstra,REG (Non-Conf),W 95-71,,15,3,3,1.0,0,0,3,3,1.0,1.0,0,1,0.0,1,1,2,0,0,0,0,2,6,4.9,N,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
13,13,13,2017-12-27,Villanova,@,DePaul,REG (Conf),W 103-85,,13,0,0,,0,0,0,0,,,0,0,,0,0,0,1,1,0,0,5,0,-0.3,A,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
14,14,14,2017-12-30,Villanova,@,Butler,REG (Conf),L 93-101,,6,0,0,,0,0,0,0,,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,A,0,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
15,15,15,2018-01-06,Villanova,,Marquette,REG (Conf),W 100-90,,15,5,5,1.0,0,0,5,5,1.0,1.0,0,0,,0,2,2,0,1,0,0,1,10,9.7,H,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
16,16,16,2018-01-10,Villanova,,Xavier,REG (Conf),W 89-65,,17,3,3,1.0,0,0,3,3,1.0,1.0,0,0,,1,1,2,0,0,0,0,3,6,4.9,H,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
17,17,17,2018-01-13,Villanova,@,St. John's (NY),REG (Conf),W 78-71,,10,2,2,1.0,0,0,2,2,1.0,1.0,1,2,0.5,1,0,1,0,0,0,1,1,5,3.3,A,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
18,18,18,2018-01-17,Villanova,@,Georgetown,REG (Conf),W 88-56,,12,1,1,1.0,0,0,1,1,1.0,1.0,0,0,,0,1,1,0,0,1,0,4,2,1.1,A,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
19,19,19,2018-01-20,Villanova,@,Connecticut,REG (Non-Conf),W 81-61,,23,2,3,0.667,0,0,2,3,0.667,0.667,2,2,1.0,4,2,6,1,2,1,1,3,6,9.3,A,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
20,20,20,2018-01-23,Villanova,,Providence,REG (Conf),W 89-69,,12,5,7,0.714,0,0,5,7,0.714,0.714,1,3,0.333,2,2,4,0,0,0,1,0,11,8.3,H,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
21,21,21,2018-01-28,Villanova,@,Marquette,REG (Conf),W 85-82,,15,0,1,0.0,0,0,0,1,0.0,0.0,0,0,,2,0,2,0,0,1,0,4,0,-0.2,A,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
22,22,22,2018-02-01,Villanova,,Creighton,REG (Conf),W 98-78,,14,3,5,0.6,0,0,3,5,0.6,0.6,0,0,,3,3,6,0,0,1,0,1,6,7.0,H,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
23,23,23,2018-02-04,Villanova,,Seton Hall,REG (Conf),W 92-76,,13,2,2,1.0,0,0,2,2,1.0,1.0,1,1,1.0,2,3,5,0,0,0,0,1,5,6.3,H,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
24,24,24,2018-02-07,Villanova,,St. John's (NY),REG (Conf),L 75-79,*,17,1,2,0.5,0,0,1,2,0.5,0.5,0,0,,0,2,2,0,0,0,0,1,2,1.2,H,0,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
25,25,25,2018-02-10,Villanova,,Butler,REG (Conf),W 86-75,,9,1,1,1.0,0,0,1,1,1.0,1.0,0,0,,1,2,3,0,0,0,0,1,2,2.6,H,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
26,26,26,2018-02-14,Villanova,@,Providence,REG (Conf),L 71-76,,10,0,0,,0,0,0,0,,,0,0,,0,2,2,0,0,1,1,1,0,-0.1,A,0,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
27,27,27,2018-02-17,Villanova,@,Xavier,REG (Conf),W 95-79,,10,2,2,1.0,0,0,2,2,1.0,1.0,0,0,,0,3,3,0,0,1,1,2,4,3.2,A,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
28,28,28,2018-02-21,Villanova,,DePaul,REG (Conf),W 93-62,,11,0,1,0.0,0,0,0,1,0.0,0.0,0,0,,0,0,0,0,1,0,2,1,0,-2.1,H,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
29,29,29,2018-02-24,Villanova,@,Creighton,REG (Conf),L 83-89 (OT),,4,0,0,,0,0,0,0,,,0,0,,1,1,2,0,0,0,1,1,0,-0.4,A,0,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
30,30,30,2018-02-28,Villanova,@,Seton Hall,REG (Conf),W 69-68 (OT),,6,0,0,,0,0,0,0,,,0,0,,1,1,2,0,1,0,0,2,0,1.2,A,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
31,31,31,2018-03-03,Villanova,,Georgetown,REG (Conf),W 97-73,,11,2,2,1.0,0,0,2,2,1.0,1.0,0,0,,0,2,2,0,1,1,0,4,4,4.1,H,1,1,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
32,32,32,2018-03-08,Villanova,N,Marquette,CTOURN,W 94-70,,6,0,0,,0,0,0,0,,,0,0,,1,2,3,0,0,0,1,1,0,-0.1,N,1,0,dhamir-cosby-roundtree-1,Dhamir Cosby-Roundtree,2018
