rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,80,1,2017-11-10,Seton Hall,,Fairleigh Dickinson,REG (Non-Conf),W 90-68,,15,3,4,0.75,0,1,0.0,3,3,1.0,0.75,1,2,0.5,0,3,3,0,1,0,0,3,7,5.7,H,1,1,ismael-sanogo-1,Ismael Sanogo,2018
2,81,2,2017-11-12,Seton Hall,,Monmouth,REG (Non-Conf),W 75-65,,18,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,3,2,5,2,2,0,3,2,0,0.9,H,1,1,ismael-sanogo-1,Ismael Sanogo,2018
3,82,3,2017-11-15,Seton Hall,,Indiana,REG (Non-Conf),W 84-68,,22,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,1,4,5,1,1,0,0,4,4,4.7,H,1,1,ismael-sanogo-1,Ismael Sanogo,2018
4,83,4,2017-11-18,Seton Hall,,NJIT,REG (Non-Conf),W 82-53,,19,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,3,3,6,0,2,1,1,2,0,3.2,H,1,1,ismael-sanogo-1,Ismael Sanogo,2018
5,84,5,2017-11-23,Seton Hall,N,Rhode Island,REG (Non-Conf),L 74-75,,18,2,3,0.667,0,0,,2,3,0.667,0.667,0,2,0.0,2,2,4,0,1,0,0,3,4,3.7,N,0,1,ismael-sanogo-1,Ismael Sanogo,2018
6,85,6,2017-11-24,Seton Hall,N,Vanderbilt,REG (Non-Conf),W 72-59,*,26,1,3,0.333,0,1,0.0,1,2,0.5,0.333,2,2,1.0,1,7,8,1,1,4,0,3,4,8.4,N,1,1,ismael-sanogo-1,Ismael Sanogo,2018
7,86,7,2017-11-30,Seton Hall,N,Texas Tech,REG (Non-Conf),W 89-79,*,28,1,3,0.333,0,0,,1,3,0.333,0.333,1,3,0.333,3,3,6,1,1,0,0,2,3,4.4,N,1,1,ismael-sanogo-1,Ismael Sanogo,2018
8,87,8,2017-12-03,Seton Hall,@,Louisville,REG (Non-Conf),W 79-77,*,20,2,4,0.5,0,0,,2,4,0.5,0.5,2,2,1.0,2,1,3,0,2,0,1,4,6,5.1,A,1,1,ismael-sanogo-1,Ismael Sanogo,2018
9,88,9,2017-12-09,Seton Hall,,VCU,REG (Non-Conf),W 90-67,,13,1,2,0.5,0,0,,1,2,0.5,0.5,1,1,1.0,0,1,1,1,1,0,0,2,3,3.2,H,1,1,ismael-sanogo-1,Ismael Sanogo,2018
10,89,10,2017-12-12,Seton Hall,,Saint Peter's,REG (Non-Conf),W 84-61,*,19,3,5,0.6,0,1,0.0,3,4,0.75,0.6,0,0,,1,3,4,2,2,1,3,3,6,5.2,H,1,1,ismael-sanogo-1,Ismael Sanogo,2018
11,90,11,2017-12-16,Seton Hall,@,Rutgers,REG (Non-Conf),L 65-71,*,32,5,8,0.625,0,1,0.0,5,7,0.714,0.625,0,0,,2,2,4,2,0,5,0,2,10,12.5,A,0,1,ismael-sanogo-1,Ismael Sanogo,2018
12,91,12,2017-12-20,Seton Hall,,Wagner,REG (Non-Conf),W 89-68,,15,2,5,0.4,0,2,0.0,2,3,0.667,0.4,1,2,0.5,0,6,6,0,0,1,1,1,5,3.0,H,1,1,ismael-sanogo-1,Ismael Sanogo,2018
13,92,14,2017-12-28,Seton Hall,,Creighton,REG (Conf),W 90-84,,15,1,1,1.0,0,0,,1,1,1.0,1.0,1,4,0.25,1,2,3,1,0,1,1,3,3,2.0,H,1,1,ismael-sanogo-1,Ismael Sanogo,2018
14,93,15,2017-12-31,Seton Hall,,St. John's (NY),REG (Conf),W 75-70,,21,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,2,2,4,2,1,2,3,0,2.2,H,1,1,ismael-sanogo-1,Ismael Sanogo,2018
15,94,16,2018-01-06,Seton Hall,@,Butler,REG (Conf),W 90-87,,23,0,1,0.0,0,0,,0,1,0.0,0.0,0,2,0.0,0,2,2,0,1,1,1,4,0,-1.8,A,1,1,ismael-sanogo-1,Ismael Sanogo,2018
16,95,17,2018-01-09,Seton Hall,@,Marquette,REG (Conf),L 64-84,,18,6,8,0.75,2,2,1.0,4,6,0.667,0.875,0,0,,2,4,6,0,0,1,0,2,14,13.3,A,0,1,ismael-sanogo-1,Ismael Sanogo,2018
17,96,18,2018-01-13,Seton Hall,,Georgetown,REG (Conf),W 74-61,,26,2,3,0.667,0,0,,2,3,0.667,0.667,4,6,0.667,2,4,6,0,1,3,1,3,8,9.4,H,1,1,ismael-sanogo-1,Ismael Sanogo,2018
18,97,19,2018-01-17,Seton Hall,@,Creighton,REG (Conf),L 63-80,,25,4,6,0.667,1,3,0.333,3,3,1.0,0.75,0,0,,2,8,10,1,0,0,2,4,9,7.3,A,0,1,ismael-sanogo-1,Ismael Sanogo,2018
19,98,20,2018-01-20,Seton Hall,,Xavier,REG (Conf),L 64-73,*,30,3,4,0.75,1,1,1.0,2,3,0.667,0.875,1,1,1.0,5,2,7,1,2,0,1,4,8,10.6,H,0,1,ismael-sanogo-1,Ismael Sanogo,2018
