rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,3,2017-11-18,Wright State,,Murray State,REG (Non-Conf),L 61-80,,22,1,7,0.143,1,2,0.5,0,5,0.0,0.214,1,2,0.5,0,2,2,2,1,0,5,0,4,-2.9,H,0,1,jaylon-hall-1,Jaylon Hall,2018
2,2,4,2017-11-20,Wright State,,Tiffin,REG (Non-Conf),W 73-49,,24,4,10,0.4,0,4,0.0,4,6,0.667,0.4,4,5,0.8,1,2,3,1,1,0,1,0,12,8.2,H,1,1,jaylon-hall-1,Jaylon Hall,2018
3,3,5,2017-11-24,Wright State,,Gardner-Webb,REG (Non-Conf),W 67-47,,23,2,5,0.4,1,3,0.333,1,2,0.5,0.5,3,4,0.75,0,3,3,1,0,0,1,2,8,4.7,H,1,1,jaylon-hall-1,Jaylon Hall,2018
4,4,6,2017-11-25,Wright State,,Jacksonville,REG (Non-Conf),W 68-44,,23,4,9,0.444,3,6,0.5,1,3,0.333,0.611,0,0,,0,2,2,0,0,0,1,3,11,4.7,H,1,1,jaylon-hall-1,Jaylon Hall,2018
5,5,7,2017-11-26,Wright State,,Fairfield,REG (Non-Conf),W 57-56,,16,2,5,0.4,0,0,,2,5,0.4,0.4,0,0,,0,3,3,0,0,0,1,1,4,0.8,H,1,1,jaylon-hall-1,Jaylon Hall,2018
6,6,8,2017-12-02,Wright State,@,Western Kentucky,REG (Non-Conf),L 60-78,,29,3,11,0.273,1,4,0.25,2,7,0.286,0.318,4,4,1.0,1,1,2,2,0,0,1,0,11,5.9,A,0,1,jaylon-hall-1,Jaylon Hall,2018
7,7,9,2017-12-05,Wright State,,Ohio Valley,REG (Non-Conf),W 98-68,,22,7,11,0.636,2,5,0.4,5,6,0.833,0.727,1,4,0.25,0,1,1,3,0,0,0,1,17,12.9,H,1,1,jaylon-hall-1,Jaylon Hall,2018
8,8,10,2017-12-09,Wright State,,Kent State,REG (Non-Conf),W 63-54,,24,3,7,0.429,1,3,0.333,2,4,0.5,0.5,4,7,0.571,0,2,2,0,1,0,1,1,11,6.3,H,1,1,jaylon-hall-1,Jaylon Hall,2018
9,9,11,2017-12-16,Wright State,@,Toledo,REG (Non-Conf),W 77-69,,17,2,5,0.4,1,1,1.0,1,4,0.25,0.5,0,0,,0,0,0,2,2,0,3,2,5,1.9,A,1,1,jaylon-hall-1,Jaylon Hall,2018
10,10,12,2017-12-19,Wright State,@,Missouri State,REG (Non-Conf),L 50-66,,29,3,8,0.375,2,5,0.4,1,3,0.333,0.5,2,6,0.333,1,3,4,0,0,0,0,2,10,4.8,A,0,1,jaylon-hall-1,Jaylon Hall,2018
11,11,13,2017-12-22,Wright State,@,Georgia Tech,REG (Non-Conf),W 85-81,,15,3,5,0.6,0,2,0.0,3,3,1.0,0.6,2,5,0.4,0,0,0,3,0,0,3,4,8,2.0,A,1,1,jaylon-hall-1,Jaylon Hall,2018
12,12,14,2017-12-28,Wright State,,Illinois–Chicago,REG (Conf),W 65-61,,20,3,10,0.3,1,4,0.25,2,6,0.333,0.35,1,2,0.5,1,2,3,1,0,0,1,1,8,2.4,H,1,1,jaylon-hall-1,Jaylon Hall,2018
13,13,15,2017-12-30,Wright State,,IUPUI,REG (Conf),W 60-52,,29,3,10,0.3,1,4,0.25,2,6,0.333,0.35,2,3,0.667,1,1,2,2,2,0,4,0,9,3.2,H,1,1,jaylon-hall-1,Jaylon Hall,2018
14,14,16,2018-01-05,Wright State,@,Detroit Mercy,REG (Conf),W 80-73,,23,3,9,0.333,0,2,0.0,3,7,0.429,0.333,3,5,0.6,0,4,4,0,0,0,2,3,9,1.1,A,1,1,jaylon-hall-1,Jaylon Hall,2018
15,15,17,2018-01-07,Wright State,@,Oakland,REG (Conf),W 86-81 (OT),,12,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,2,3,0,-2.2,A,1,1,jaylon-hall-1,Jaylon Hall,2018
16,16,18,2018-01-11,Wright State,@,Northern Kentucky,REG (Conf),W 84-81,,15,2,4,0.5,1,1,1.0,1,3,0.333,0.625,0,1,0.0,0,1,1,1,0,0,2,1,5,1.2,A,1,1,jaylon-hall-1,Jaylon Hall,2018
17,17,19,2018-01-15,Wright State,,Youngstown State,REG (Conf),W 77-67,,20,4,9,0.444,3,6,0.5,1,3,0.333,0.611,5,7,0.714,0,1,1,2,2,1,1,4,16,12.3,H,1,1,jaylon-hall-1,Jaylon Hall,2018
18,18,20,2018-01-18,Wright State,@,Green Bay,REG (Conf),W 80-67,,19,3,7,0.429,1,2,0.5,2,5,0.4,0.5,3,4,0.75,1,4,5,0,0,0,3,4,10,3.2,A,1,1,jaylon-hall-1,Jaylon Hall,2018
19,19,21,2018-01-20,Wright State,@,Milwaukee,REG (Conf),L 61-66,,23,4,10,0.4,1,3,0.333,3,7,0.429,0.45,0,0,,1,2,3,2,1,0,1,1,9,5.9,A,0,1,jaylon-hall-1,Jaylon Hall,2018
20,20,22,2018-01-26,Wright State,,Detroit Mercy,REG (Conf),W 87-55,,23,3,9,0.333,0,4,0.0,3,5,0.6,0.333,4,6,0.667,1,3,4,0,1,0,2,2,10,3.9,H,1,1,jaylon-hall-1,Jaylon Hall,2018
21,21,23,2018-01-28,Wright State,,Oakland,REG (Conf),W 64-51,,29,6,15,0.4,3,6,0.5,3,9,0.333,0.5,0,0,,1,5,6,3,1,0,2,1,15,9.8,H,1,1,jaylon-hall-1,Jaylon Hall,2018
22,22,24,2018-02-01,Wright State,@,Cleveland State,REG (Conf),L 74-77,,27,4,9,0.444,0,2,0.0,4,7,0.571,0.444,2,3,0.667,0,4,4,1,2,0,2,1,10,6.4,A,0,1,jaylon-hall-1,Jaylon Hall,2018
23,23,25,2018-02-03,Wright State,@,Youngstown State,REG (Conf),W 83-57,*,33,4,8,0.5,1,3,0.333,3,5,0.6,0.563,7,8,0.875,0,4,4,5,1,0,2,2,16,14.5,A,1,1,jaylon-hall-1,Jaylon Hall,2018
24,24,26,2018-02-08,Wright State,,Green Bay,REG (Conf),W 68-64,,31,5,13,0.385,3,8,0.375,2,5,0.4,0.5,3,4,0.75,1,3,4,2,3,0,4,1,16,10.1,H,1,1,jaylon-hall-1,Jaylon Hall,2018
