rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,108,1,2017-11-10,Xavier,,Morehead State,REG (Non-Conf),W 101-49,*,22,6,7,0.857,1,2,0.5,5,5,1.0,0.929,5,7,0.714,0,3,3,4,5,1,0,2,18,23.3,H,1,1,jp-macura-1,J.P. Macura,2018
2,109,2,2017-11-13,Xavier,,Rider,REG (Non-Conf),W 101-75,*,20,2,4,0.5,1,2,0.5,1,2,0.5,0.625,9,10,0.9,0,4,4,6,2,1,3,2,14,15.9,H,1,1,jp-macura-1,J.P. Macura,2018
3,110,3,2017-11-16,Xavier,@,Wisconsin,REG (Non-Conf),W 80-70,*,33,10,15,0.667,0,3,0.0,10,12,0.833,0.667,0,1,0.0,1,7,8,4,1,0,1,3,20,17.5,A,1,1,jp-macura-1,J.P. Macura,2018
4,111,4,2017-11-20,Xavier,,Hampton,REG (Non-Conf),W 96-60,*,19,0,2,0.0,0,1,0.0,0,1,0.0,0.0,2,2,1.0,1,5,6,3,1,1,2,4,2,3.0,H,1,1,jp-macura-1,J.P. Macura,2018
5,112,5,2017-11-23,Xavier,N,George Washington,REG (Non-Conf),W 83-64,*,31,2,5,0.4,0,1,0.0,2,4,0.5,0.4,2,2,1.0,2,2,4,2,1,0,1,1,6,6.3,N,1,1,jp-macura-1,J.P. Macura,2018
6,113,6,2017-11-24,Xavier,N,Arizona State,REG (Non-Conf),L 86-102,*,35,7,11,0.636,3,6,0.5,4,5,0.8,0.773,6,7,0.857,2,3,5,2,1,0,2,3,23,19.2,N,0,1,jp-macura-1,J.P. Macura,2018
7,114,7,2017-11-28,Xavier,,Baylor,REG (Non-Conf),W 76-63,*,35,8,15,0.533,3,6,0.5,5,9,0.556,0.633,0,0,,2,4,6,2,2,1,2,2,19,15.6,H,1,1,jp-macura-1,J.P. Macura,2018
8,115,8,2017-12-02,Xavier,,Cincinnati,REG (Non-Conf),W 89-76,*,33,3,10,0.3,1,5,0.2,2,5,0.4,0.35,0,0,,0,3,3,3,2,0,1,3,7,4.0,H,1,1,jp-macura-1,J.P. Macura,2018
9,116,9,2017-12-06,Xavier,,Kent State,REG (Non-Conf),W 96-70,*,20,0,3,0.0,0,0,,0,3,0.0,0.0,4,4,1.0,1,3,4,5,0,1,0,2,4,6.9,H,1,1,jp-macura-1,J.P. Macura,2018
10,117,10,2017-12-09,Xavier,,Colorado,REG (Non-Conf),W 96-69,*,28,6,8,0.75,3,3,1.0,3,5,0.6,0.938,2,2,1.0,1,1,2,1,2,0,2,2,17,14.7,H,1,1,jp-macura-1,J.P. Macura,2018
