rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,103,1,2017-11-10,Providence,,Houston Baptist,REG (Non-Conf),W 84-55,*,28,3,8,0.375,2,3,0.667,1,5,0.2,0.5,2,2,1.0,0,4,4,10,1,0,2,0,10,12.8,H,1,1,kyron-cartwright-1,Kyron Cartwright,2018
2,104,2,2017-11-13,Providence,,Minnesota,REG (Non-Conf),L 74-86,*,33,4,10,0.4,1,2,0.5,3,8,0.375,0.45,3,4,0.75,1,2,3,9,3,0,3,2,12,13.0,H,0,1,kyron-cartwright-1,Kyron Cartwright,2018
3,105,3,2017-11-16,Providence,N,Washington,REG (Non-Conf),W 77-70,*,28,2,5,0.4,2,5,0.4,0,0,,0.6,4,5,0.8,0,2,2,5,1,0,3,2,10,8.2,N,1,1,kyron-cartwright-1,Kyron Cartwright,2018
4,106,4,2017-11-17,Providence,N,Saint Louis,REG (Non-Conf),W 90-63,*,26,3,5,0.6,1,1,1.0,2,4,0.5,0.7,2,2,1.0,0,4,4,8,0,0,2,0,9,11.5,N,1,1,kyron-cartwright-1,Kyron Cartwright,2018
5,107,5,2017-11-22,Providence,,Belmont,REG (Non-Conf),W 66-65,*,27,7,13,0.538,1,4,0.25,6,9,0.667,0.577,2,2,1.0,0,1,1,1,0,0,1,1,17,10.3,H,1,1,kyron-cartwright-1,Kyron Cartwright,2018
6,108,6,2017-11-25,Providence,,Boston College,REG (Non-Conf),W 86-66,*,28,6,9,0.667,1,3,0.333,5,6,0.833,0.722,1,2,0.5,1,3,4,9,0,0,3,1,14,14.2,H,1,1,kyron-cartwright-1,Kyron Cartwright,2018
7,109,7,2017-11-29,Providence,,Rider,REG (Non-Conf),W 88-84,*,33,4,9,0.444,3,5,0.6,1,4,0.25,0.611,3,3,1.0,1,4,5,7,3,0,3,1,14,15.7,H,1,1,kyron-cartwright-1,Kyron Cartwright,2018
8,110,8,2017-12-02,Providence,@,Rhode Island,REG (Non-Conf),L 68-75,*,34,1,7,0.143,0,1,0.0,1,6,0.167,0.143,0,1,0.0,0,2,2,4,0,0,3,1,2,-2.9,A,0,1,kyron-cartwright-1,Kyron Cartwright,2018
9,111,9,2017-12-06,Providence,,Brown,REG (Non-Conf),W 77-72 (OT),,15,0,1,0.0,0,0,,0,1,0.0,0.0,2,2,1.0,1,1,2,2,1,0,2,2,2,1.9,H,1,1,kyron-cartwright-1,Kyron Cartwright,2018
10,112,10,2017-12-09,Providence,@,Massachusetts,REG (Non-Conf),L 63-72,*,28,2,11,0.182,1,4,0.25,1,7,0.143,0.227,0,0,,2,5,7,8,0,0,1,3,5,4.4,A,0,1,kyron-cartwright-1,Kyron Cartwright,2018
