rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2017-11-10,Kansas State,,American,REG (Non-Conf),W 83-45,*,19,5,7,0.714,0,0,,5,7,0.714,0.714,2,5,0.4,5,4,9,0,1,2,1,1,12,13.6,H,1,1,makol-mawien-1,Makol Mawien,2018
2,2,2,2017-11-14,Kansas State,,Kansas City,REG (Non-Conf),W 72-51,*,4,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,1,0,1,0,0,0,0,4,2,0.8,H,1,1,makol-mawien-1,Makol Mawien,2018
3,3,3,2017-11-17,Kansas State,,UC Irvine,REG (Non-Conf),W 71-49,*,18,1,4,0.25,0,1,0.0,1,3,0.333,0.25,0,0,,1,2,3,0,0,2,1,1,2,0.9,H,1,1,makol-mawien-1,Makol Mawien,2018
4,4,4,2017-11-20,Kansas State,,Northern Arizona,REG (Non-Conf),W 80-58,*,16,2,3,0.667,0,1,0.0,2,2,1.0,0.667,3,4,0.75,2,1,3,0,1,1,1,4,7,6.1,H,1,1,makol-mawien-1,Makol Mawien,2018
5,5,5,2017-11-23,Kansas State,N,Arizona State,REG (Non-Conf),L 90-92,*,14,4,4,1.0,0,0,,4,4,1.0,1.0,0,0,,1,1,2,0,0,0,0,5,8,5.8,N,0,1,makol-mawien-1,Makol Mawien,2018
6,6,6,2017-11-24,Kansas State,N,George Washington,REG (Non-Conf),W 67-59,*,29,4,5,0.8,0,0,,4,5,0.8,0.8,0,0,,2,3,5,0,0,2,3,4,8,5.2,N,1,1,makol-mawien-1,Makol Mawien,2018
7,7,7,2017-11-29,Kansas State,,Oral Roberts,REG (Non-Conf),W 77-68,*,19,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,1,2,3,1,0,2,0,4,4,4.5,H,1,1,makol-mawien-1,Makol Mawien,2018
8,8,8,2017-12-03,Kansas State,@,Vanderbilt,REG (Non-Conf),W 84-79,*,16,2,2,1.0,0,0,,2,2,1.0,1.0,0,0,,0,1,1,0,0,1,2,2,4,1.6,A,1,1,makol-mawien-1,Makol Mawien,2018
9,9,9,2017-12-05,Kansas State,,USC Upstate,REG (Non-Conf),W 86-49,*,14,4,4,1.0,0,0,,4,4,1.0,1.0,0,0,,0,3,3,0,0,0,1,1,8,6.3,H,1,1,makol-mawien-1,Makol Mawien,2018
10,10,10,2017-12-09,Kansas State,N,Tulsa,REG (Non-Conf),L 54-61,*,27,1,1,1.0,0,0,,1,1,1.0,1.0,1,1,1.0,2,2,4,0,0,0,0,4,3,3.1,N,0,1,makol-mawien-1,Makol Mawien,2018
11,11,11,2017-12-16,Kansas State,,Southeast Missouri State,REG (Non-Conf),W 89-71,*,21,5,6,0.833,1,1,1.0,4,5,0.8,0.917,0,0,,2,2,4,1,0,1,0,1,11,11.8,H,1,1,makol-mawien-1,Makol Mawien,2018
12,12,12,2017-12-20,Kansas State,@,Washington State,REG (Non-Conf),W 68-65,*,34,6,10,0.6,0,2,0.0,6,8,0.75,0.6,3,4,0.75,4,5,9,0,1,2,2,3,15,13.5,A,1,1,makol-mawien-1,Makol Mawien,2018
13,13,13,2017-12-29,Kansas State,@,Iowa State,REG (Conf),W 91-75,*,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,5,0,-1.7,A,1,1,makol-mawien-1,Makol Mawien,2018
14,14,14,2018-01-01,Kansas State,,West Virginia,REG (Conf),L 69-77,*,11,0,2,0.0,0,0,,0,2,0.0,0.0,1,2,0.5,0,1,1,0,0,0,1,0,1,-1.5,H,0,1,makol-mawien-1,Makol Mawien,2018
15,15,15,2018-01-06,Kansas State,@,Texas Tech,REG (Conf),L 58-74,*,11,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,4,4,0,0,0,1,1,2,1.5,A,0,1,makol-mawien-1,Makol Mawien,2018
16,16,16,2018-01-10,Kansas State,,Oklahoma State,REG (Conf),W 86-82,*,18,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,1,1,2,2,0,1,1,4,4,2.5,H,1,1,makol-mawien-1,Makol Mawien,2018
17,17,17,2018-01-13,Kansas State,@,Kansas,REG (Conf),L 72-73,*,16,1,3,0.333,0,1,0.0,1,2,0.5,0.333,2,2,1.0,0,0,0,0,0,2,0,4,4,2.1,A,0,1,makol-mawien-1,Makol Mawien,2018
18,18,18,2018-01-16,Kansas State,,Oklahoma,REG (Conf),W 87-69,*,18,2,2,1.0,0,0,,2,2,1.0,1.0,0,0,,1,2,3,1,0,0,1,4,4,2.8,H,1,1,makol-mawien-1,Makol Mawien,2018
19,19,19,2018-01-20,Kansas State,,TCU,REG (Conf),W 73-68,*,36,8,11,0.727,0,0,,8,11,0.727,0.727,2,2,1.0,2,3,5,1,0,2,1,2,18,16.1,H,1,1,makol-mawien-1,Makol Mawien,2018
20,20,20,2018-01-22,Kansas State,@,Baylor,REG (Conf),W 90-83,*,14,4,7,0.571,1,1,1.0,3,6,0.5,0.643,2,2,1.0,0,2,2,0,1,2,1,4,11,8.1,A,1,1,makol-mawien-1,Makol Mawien,2018
21,21,21,2018-01-27,Kansas State,,Georgia,REG (Non-Conf),W 56-51,*,30,3,4,0.75,0,0,,3,4,0.75,0.75,0,0,,0,1,1,0,1,2,0,3,6,5.9,H,1,1,makol-mawien-1,Makol Mawien,2018
22,22,22,2018-01-29,Kansas State,,Kansas,REG (Conf),L 56-70,*,21,1,6,0.167,0,1,0.0,1,5,0.2,0.167,1,2,0.5,1,4,5,0,0,1,0,4,3,-0.2,H,0,1,makol-mawien-1,Makol Mawien,2018
23,23,23,2018-02-03,Kansas State,@,West Virginia,REG (Conf),L 51-89,*,17,0,0,,0,0,,0,0,,,2,3,0.667,0,4,4,1,0,0,1,4,2,0.9,A,0,1,makol-mawien-1,Makol Mawien,2018
24,24,24,2018-02-07,Kansas State,@,Texas,REG (Conf),W 67-64,*,26,5,9,0.556,0,0,,5,9,0.556,0.556,0,0,,3,0,3,0,2,1,0,2,10,9.7,A,1,1,makol-mawien-1,Makol Mawien,2018
25,25,25,2018-02-10,Kansas State,,Texas Tech,REG (Conf),L 47-66,*,15,1,3,0.333,0,1,0.0,1,2,0.5,0.333,0,1,0.0,1,1,2,1,1,0,2,2,2,-0.2,H,0,1,makol-mawien-1,Makol Mawien,2018
26,26,26,2018-02-14,Kansas State,@,Oklahoma State,REG (Conf),W 82-72,*,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,1,1,3,0,-1.5,A,1,1,makol-mawien-1,Makol Mawien,2018
27,27,27,2018-02-17,Kansas State,,Iowa State,REG (Conf),W 78-66,*,29,1,6,0.167,0,0,,1,6,0.167,0.167,2,2,1.0,5,3,8,1,0,2,2,3,4,3.5,H,1,1,makol-mawien-1,Makol Mawien,2018
