rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,17,1,2017-11-10,Iona,@,Albany (NY),REG (Non-Conf),L 67-69,*,33,3,6,0.5,0,0,,3,6,0.5,0.5,2,3,0.667,0,3,3,1,1,2,1,2,8,6.8,A,0,1,roland-griffin-1,Roland Griffin,2018
2,18,2,2017-11-14,Iona,@,Syracuse,REG (Non-Conf),L 62-71,*,23,3,4,0.75,0,0,,3,4,0.75,0.75,0,0,,2,2,4,1,0,0,0,5,6,5.1,A,0,1,roland-griffin-1,Roland Griffin,2018
3,19,3,2017-11-17,Iona,N,Weber State,REG (Non-Conf),W 80-72,*,25,2,7,0.286,0,0,,2,7,0.286,0.286,0,0,,1,7,8,1,1,1,4,2,4,0.3,N,1,1,roland-griffin-1,Roland Griffin,2018
4,20,4,2017-11-18,Iona,N,Northern Kentucky,REG (Non-Conf),L 72-85,*,20,3,5,0.6,0,0,,3,5,0.6,0.6,0,0,,0,3,3,2,1,0,2,2,6,4.2,N,0,1,roland-griffin-1,Roland Griffin,2018
5,21,5,2017-11-19,Iona,N,Coastal Carolina,REG (Non-Conf),L 84-89,*,24,3,3,1.0,0,0,,3,3,1.0,1.0,1,3,0.333,1,1,2,2,0,0,1,2,7,5.9,N,0,1,roland-griffin-1,Roland Griffin,2018
6,22,6,2017-11-28,Iona,@,Ohio,REG (Non-Conf),W 93-88,,17,2,5,0.4,0,2,0.0,2,3,0.667,0.4,0,0,,1,3,4,0,0,2,1,1,4,2.9,A,1,1,roland-griffin-1,Roland Griffin,2018
7,23,8,2017-12-09,Iona,@,NJIT,REG (Non-Conf),W 74-70,,20,3,6,0.5,1,1,1.0,2,5,0.4,0.583,2,2,1.0,1,3,4,2,0,0,1,3,9,6.8,A,1,1,roland-griffin-1,Roland Griffin,2018
8,24,9,2017-12-12,Iona,,Yale,REG (Non-Conf),W 83-67,,17,4,5,0.8,0,0,,4,5,0.8,0.8,0,0,,0,5,5,2,0,0,0,1,8,8.6,H,1,1,roland-griffin-1,Roland Griffin,2018
9,25,10,2017-12-17,Iona,@,St. John's (NY),REG (Non-Conf),L 59-69,,25,5,12,0.417,1,2,0.5,4,10,0.4,0.458,0,2,0.0,5,3,8,1,0,0,4,2,11,4.1,A,0,1,roland-griffin-1,Roland Griffin,2018
10,26,11,2017-12-19,Iona,@,Holy Cross,REG (Non-Conf),W 82-68,,22,3,5,0.6,0,0,,3,5,0.6,0.6,3,4,0.75,0,6,6,1,1,1,2,2,9,7.7,A,1,1,roland-griffin-1,Roland Griffin,2018
