rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,97,1,2017-11-10,Bucknell,@,Monmouth,REG (Non-Conf),L 78-79,*,29,4,9,0.444,2,5,0.4,2,4,0.5,0.556,1,1,1.0,0,1,1,6,0,0,2,4,11,7.2,A,0,1,stephen-brown-2,Stephen Brown,2018
2,98,2,2017-11-12,Bucknell,@,Arkansas,REG (Non-Conf),L 73-101,*,28,5,9,0.556,1,3,0.333,4,6,0.667,0.611,2,2,1.0,0,2,2,9,0,0,3,1,13,12.2,A,0,1,stephen-brown-2,Stephen Brown,2018
3,99,3,2017-11-15,Bucknell,@,North Carolina,REG (Non-Conf),L 81-93,*,27,5,16,0.313,1,7,0.143,4,9,0.444,0.344,0,1,0.0,0,2,2,8,1,0,1,4,11,6.0,A,0,1,stephen-brown-2,Stephen Brown,2018
4,100,4,2017-11-18,Bucknell,@,Maryland,REG (Non-Conf),L 78-80,*,35,9,19,0.474,3,7,0.429,6,12,0.5,0.553,2,2,1.0,2,4,6,3,2,0,2,2,23,17.2,A,0,1,stephen-brown-2,Stephen Brown,2018
5,101,5,2017-11-20,Bucknell,,Siena,REG (Non-Conf),W 115-92,*,23,2,6,0.333,1,2,0.5,1,4,0.25,0.417,1,2,0.5,0,2,2,6,2,0,1,3,6,6.8,H,1,1,stephen-brown-2,Stephen Brown,2018
6,102,6,2017-11-22,Bucknell,,Ball State,REG (Non-Conf),W 87-83,*,27,8,14,0.571,1,2,0.5,7,12,0.583,0.607,2,2,1.0,1,2,3,5,0,0,0,4,19,15.6,H,1,1,stephen-brown-2,Stephen Brown,2018
7,103,7,2017-11-26,Bucknell,@,Stony Brook,REG (Non-Conf),W 85-76,*,31,2,10,0.2,0,4,0.0,2,6,0.333,0.2,0,0,,0,3,3,5,1,0,3,4,4,-1.4,A,1,1,stephen-brown-2,Stephen Brown,2018
8,104,8,2017-11-29,Bucknell,@,Saint Joseph's,REG (Non-Conf),L 70-83,*,31,6,14,0.429,2,6,0.333,4,8,0.5,0.5,1,1,1.0,2,3,5,1,0,0,1,3,15,8.4,A,0,1,stephen-brown-2,Stephen Brown,2018
9,105,9,2017-12-02,Bucknell,,Vermont,REG (Non-Conf),W 81-77,*,32,6,11,0.545,1,4,0.25,5,7,0.714,0.591,4,4,1.0,0,2,2,6,1,0,3,2,17,13.7,H,1,1,stephen-brown-2,Stephen Brown,2018
10,106,10,2017-12-05,Bucknell,@,Northeastern,REG (Non-Conf),L 64-82,*,27,4,7,0.571,1,3,0.333,3,4,0.75,0.643,2,2,1.0,0,4,4,1,1,0,0,3,11,9.4,A,0,1,stephen-brown-2,Stephen Brown,2018
11,107,11,2017-12-16,Bucknell,@,VCU,REG (Non-Conf),L 79-85,*,34,1,8,0.125,0,6,0.0,1,2,0.5,0.125,0,0,,0,1,1,5,1,0,2,3,2,-1.6,A,0,1,stephen-brown-2,Stephen Brown,2018
12,108,12,2017-12-19,Bucknell,@,Richmond,REG (Non-Conf),W 86-78,*,31,2,7,0.286,1,4,0.25,1,3,0.333,0.357,7,8,0.875,0,5,5,6,1,0,2,3,12,11.0,A,1,1,stephen-brown-2,Stephen Brown,2018
13,109,13,2017-12-22,Bucknell,,La Salle,REG (Non-Conf),W 88-81,*,33,7,15,0.467,3,7,0.429,4,8,0.5,0.567,4,5,0.8,1,2,3,7,0,1,1,2,21,18.0,H,1,1,stephen-brown-2,Stephen Brown,2018
14,110,14,2017-12-29,Bucknell,,American,REG (Conf),W 84-55,*,27,4,7,0.571,0,0,,4,7,0.571,0.571,0,0,,0,2,2,5,1,0,0,2,8,9.0,H,1,1,stephen-brown-2,Stephen Brown,2018
15,111,15,2018-01-02,Bucknell,,Boston University,REG (Conf),L 79-84,*,31,4,12,0.333,2,6,0.333,2,6,0.333,0.417,0,0,,0,1,1,3,0,1,2,5,10,2.3,H,0,1,stephen-brown-2,Stephen Brown,2018
16,112,16,2018-01-05,Bucknell,@,Army,REG (Conf),W 83-66,*,27,8,12,0.667,3,6,0.5,5,6,0.833,0.792,0,0,,1,2,3,5,1,0,3,1,19,16.2,A,1,1,stephen-brown-2,Stephen Brown,2018
17,113,17,2018-01-08,Bucknell,@,Lafayette,REG (Conf),W 80-75 (OT),*,35,7,18,0.389,2,3,0.667,5,15,0.333,0.444,3,4,0.75,1,2,3,4,1,0,0,3,19,12.7,A,1,1,stephen-brown-2,Stephen Brown,2018
