rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2017-11-12,Oklahoma,,Omaha,REG (Non-Conf),W 108-89,*,26,4,13,0.308,1,6,0.167,3,7,0.429,0.346,6,8,0.75,1,5,6,10,2,2,3,1,15,15.9,H,1,1,trae-young-1,Trae Young,2018
2,2,2,2017-11-15,Oklahoma,,Ball State,REG (Non-Conf),W 108-69,*,26,7,15,0.467,5,10,0.5,2,5,0.4,0.633,3,4,0.75,0,3,3,13,2,0,2,0,22,23.9,H,1,1,trae-young-1,Trae Young,2018
3,3,3,2017-11-23,Oklahoma,N,Arkansas,REG (Non-Conf),L 83-92,*,34,8,18,0.444,4,9,0.444,4,9,0.444,0.556,8,9,0.889,0,3,3,5,2,1,4,2,28,20.5,N,0,1,trae-young-1,Trae Young,2018
4,4,4,2017-11-24,Oklahoma,N,Portland,REG (Non-Conf),W 93-71,*,33,11,18,0.611,3,8,0.375,8,10,0.8,0.694,8,8,1.0,1,4,5,8,3,0,5,2,33,29.5,N,1,1,trae-young-1,Trae Young,2018
5,5,5,2017-11-26,Oklahoma,N,Oregon,REG (Non-Conf),W 90-80,*,37,11,22,0.5,4,11,0.364,7,11,0.636,0.591,17,18,0.944,0,4,4,7,2,0,4,0,43,35.7,N,1,1,trae-young-1,Trae Young,2018
6,6,6,2017-11-30,Oklahoma,,North Texas,REG (Non-Conf),W 82-72,*,36,10,18,0.556,6,11,0.545,4,7,0.571,0.722,6,7,0.857,0,1,1,10,3,0,3,1,32,29.9,H,1,1,trae-young-1,Trae Young,2018
7,7,7,2017-12-04,Oklahoma,,UTSA,REG (Non-Conf),W 97-85,*,32,9,22,0.409,2,11,0.182,7,11,0.636,0.455,8,9,0.889,1,4,5,8,3,0,6,2,28,19.5,H,1,1,trae-young-1,Trae Young,2018
8,8,8,2017-12-08,Oklahoma,N,Southern California,REG (Non-Conf),W 85-83,*,36,9,18,0.5,4,11,0.364,5,7,0.714,0.611,7,10,0.7,0,1,1,9,1,0,3,0,29,23.4,N,1,1,trae-young-1,Trae Young,2018
9,9,9,2017-12-16,Oklahoma,@,Wichita State,REG (Non-Conf),W 91-83,*,34,9,22,0.409,4,11,0.364,5,11,0.455,0.5,7,7,1.0,0,4,4,10,1,0,4,2,29,21.6,A,1,1,trae-young-1,Trae Young,2018
10,10,10,2017-12-19,Oklahoma,,Northwestern State,REG (Non-Conf),W 105-68,*,29,9,16,0.563,3,6,0.5,6,10,0.6,0.656,5,7,0.714,0,4,4,22,0,0,4,0,26,30.2,H,1,1,trae-young-1,Trae Young,2018
11,11,11,2017-12-22,Oklahoma,,Northwestern,REG (Non-Conf),W 104-78,*,27,9,16,0.563,8,13,0.615,1,3,0.333,0.813,5,6,0.833,1,1,2,12,1,0,4,1,31,29.0,H,1,1,trae-young-1,Trae Young,2018
12,12,12,2017-12-30,Oklahoma,@,TCU,REG (Conf),W 90-89,*,38,9,23,0.391,6,14,0.429,3,9,0.333,0.522,15,18,0.833,0,4,4,14,2,0,7,0,39,31.3,A,1,1,trae-young-1,Trae Young,2018
13,13,13,2018-01-03,Oklahoma,,Oklahoma State,REG (Conf),W 109-89,*,33,7,17,0.412,1,6,0.167,6,11,0.545,0.441,12,13,0.923,0,9,9,10,1,0,6,3,27,21.0,H,1,1,trae-young-1,Trae Young,2018
14,14,14,2018-01-06,Oklahoma,@,West Virginia,REG (Conf),L 76-89,*,37,8,22,0.364,3,12,0.25,5,10,0.5,0.432,10,13,0.769,1,3,4,5,3,0,8,2,29,14.9,A,0,1,trae-young-1,Trae Young,2018
15,15,15,2018-01-09,Oklahoma,,Texas Tech,REG (Conf),W 75-65,*,36,7,23,0.304,4,10,0.4,3,13,0.231,0.391,9,11,0.818,0,2,2,10,4,1,4,1,27,20.8,H,1,1,trae-young-1,Trae Young,2018
16,16,16,2018-01-13,Oklahoma,,TCU,REG (Conf),W 102-97 (OT),*,40,15,27,0.556,10,18,0.556,5,9,0.556,0.741,3,7,0.429,1,10,11,7,1,1,9,3,43,28.6,H,1,1,trae-young-1,Trae Young,2018
17,17,17,2018-01-16,Oklahoma,@,Kansas State,REG (Conf),L 69-87,*,34,8,21,0.381,2,10,0.2,6,11,0.545,0.429,2,4,0.5,2,0,2,6,3,0,12,2,20,3.5,A,0,1,trae-young-1,Trae Young,2018
18,18,18,2018-01-20,Oklahoma,@,Oklahoma State,REG (Conf),L 81-83 (OT),*,43,14,39,0.359,8,20,0.4,6,19,0.316,0.462,12,12,1.0,0,5,5,8,2,0,7,3,48,27.2,A,0,1,trae-young-1,Trae Young,2018
19,19,19,2018-01-23,Oklahoma,,Kansas,REG (Conf),W 85-80,*,40,7,9,0.778,2,3,0.667,5,6,0.833,0.889,10,12,0.833,0,4,4,9,2,0,5,3,26,25.0,H,1,1,trae-young-1,Trae Young,2018
20,20,20,2018-01-27,Oklahoma,@,Alabama,REG (Non-Conf),L 73-80,*,37,6,17,0.353,4,9,0.444,2,8,0.25,0.471,1,2,0.5,0,3,3,8,1,0,5,2,17,8.8,A,0,1,trae-young-1,Trae Young,2018
21,21,21,2018-01-30,Oklahoma,,Baylor,REG (Conf),W 98-96,*,38,11,20,0.55,6,11,0.545,5,9,0.556,0.7,16,19,0.842,0,4,4,9,0,1,6,2,44,34.6,H,1,1,trae-young-1,Trae Young,2018
22,22,22,2018-02-03,Oklahoma,@,Texas,REG (Conf),L 74-79,*,40,7,22,0.318,2,14,0.143,5,8,0.625,0.364,3,3,1.0,0,5,5,14,2,0,5,2,19,13.9,A,0,1,trae-young-1,Trae Young,2018
23,23,23,2018-02-05,Oklahoma,,West Virginia,REG (Conf),L 73-75,*,36,10,20,0.5,4,10,0.4,6,10,0.6,0.6,8,9,0.889,1,1,2,1,0,1,6,3,32,16.8,H,0,1,trae-young-1,Trae Young,2018
24,24,24,2018-02-10,Oklahoma,@,Iowa State,REG (Conf),L 80-88,*,36,7,21,0.333,1,8,0.125,6,13,0.462,0.357,7,7,1.0,1,4,5,11,4,0,6,1,22,17.3,A,0,1,trae-young-1,Trae Young,2018
25,25,25,2018-02-13,Oklahoma,@,Texas Tech,REG (Conf),L 78-88,*,39,4,16,0.25,0,9,0.0,4,7,0.571,0.25,11,11,1.0,1,0,1,7,0,0,6,4,19,7.4,A,0,1,trae-young-1,Trae Young,2018
26,26,26,2018-02-17,Oklahoma,,Texas,REG (Conf),L 66-77,*,39,7,21,0.333,3,10,0.3,4,11,0.364,0.405,9,9,1.0,0,5,5,7,0,0,3,1,26,17.1,H,0,1,trae-young-1,Trae Young,2018
27,27,27,2018-02-19,Oklahoma,@,Kansas,REG (Conf),L 74-104,*,35,3,13,0.231,1,5,0.2,2,8,0.25,0.269,4,4,1.0,0,1,1,9,1,0,5,1,11,5.3,A,0,1,trae-young-1,Trae Young,2018
