rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2017-11-10,Duke,,Elon,REG (Non-Conf),W 97-68,*,24,4,7,0.571,0,2,0.0,4,5,0.8,0.571,0,0,,0,0,0,8,3,0,0,3,8,12.1,H,1,1,trevon-duval-1,Trevon Duval,2018
2,2,2,2017-11-11,Duke,,Utah Valley,REG (Non-Conf),W 99-69,*,27,7,10,0.7,0,1,0.0,7,9,0.778,0.7,1,1,1.0,0,3,3,12,3,0,1,2,15,21.3,H,1,1,trevon-duval-1,Trevon Duval,2018
3,3,3,2017-11-14,Duke,N,Michigan State,REG (Non-Conf),W 88-81,*,37,7,20,0.35,0,4,0.0,7,16,0.438,0.35,3,7,0.429,1,2,3,10,6,1,3,3,17,15.0,N,1,1,trevon-duval-1,Trevon Duval,2018
4,4,4,2017-11-17,Duke,,Southern,REG (Non-Conf),W 78-61,*,30,3,7,0.429,1,3,0.333,2,4,0.5,0.5,3,4,0.75,0,3,3,4,0,0,2,3,10,6.4,H,1,1,trevon-duval-1,Trevon Duval,2018
5,5,5,2017-11-20,Duke,,Furman,REG (Non-Conf),W 92-63,*,26,9,12,0.75,0,2,0.0,9,10,0.9,0.75,0,0,,1,3,4,4,0,0,1,1,18,16.2,H,1,1,trevon-duval-1,Trevon Duval,2018
6,6,6,2017-11-23,Duke,N,Portland State,REG (Non-Conf),W 99-81,*,37,7,14,0.5,1,2,0.5,6,12,0.5,0.536,7,9,0.778,0,1,1,2,2,0,5,3,22,11.7,N,1,1,trevon-duval-1,Trevon Duval,2018
7,7,7,2017-11-24,Duke,N,Texas,REG (Non-Conf),W 85-78 (OT),*,38,2,9,0.222,0,3,0.0,2,6,0.333,0.222,0,4,0.0,0,0,0,6,3,0,6,4,4,-3.5,N,1,1,trevon-duval-1,Trevon Duval,2018
8,8,8,2017-11-26,Duke,N,Florida,REG (Non-Conf),W 87-84,*,35,3,10,0.3,1,6,0.167,2,4,0.5,0.35,4,4,1.0,1,0,1,6,2,0,2,3,11,8.9,N,1,1,trevon-duval-1,Trevon Duval,2018
9,9,9,2017-11-29,Duke,@,Indiana,REG (Non-Conf),W 91-81,*,38,5,11,0.455,1,3,0.333,4,8,0.5,0.5,4,7,0.571,1,1,2,6,1,0,0,3,15,13.1,A,1,1,trevon-duval-1,Trevon Duval,2018
10,10,10,2017-12-02,Duke,,South Dakota,REG (Non-Conf),W 96-80,*,32,5,8,0.625,1,2,0.5,4,6,0.667,0.688,3,4,0.75,0,4,4,8,2,0,4,2,14,14.0,H,1,1,trevon-duval-1,Trevon Duval,2018
11,11,11,2017-12-05,Duke,,Saint Francis (PA),REG (Non-Conf),W 124-67,*,20,2,9,0.222,0,2,0.0,2,7,0.286,0.222,0,0,,0,2,2,11,0,0,2,2,4,4.0,H,1,1,trevon-duval-1,Trevon Duval,2018
12,12,12,2017-12-09,Duke,@,Boston College,REG (Conf),L 84-89,*,31,4,10,0.4,0,3,0.0,4,7,0.571,0.4,2,2,1.0,1,1,2,3,1,0,2,5,10,4.7,A,0,1,trevon-duval-1,Trevon Duval,2018
13,13,13,2017-12-20,Duke,,Evansville,REG (Non-Conf),W 104-40,*,21,2,5,0.4,0,0,,2,5,0.4,0.4,0,2,0.0,0,1,1,8,2,0,1,1,4,7.0,H,1,1,trevon-duval-1,Trevon Duval,2018
14,14,14,2017-12-30,Duke,,Florida State,REG (Conf),W 100-93,*,22,7,14,0.5,1,5,0.2,6,9,0.667,0.536,1,1,1.0,0,1,1,4,1,1,1,4,16,11.2,H,1,1,trevon-duval-1,Trevon Duval,2018
15,15,15,2018-01-06,Duke,@,NC State,REG (Conf),L 85-96,*,32,8,14,0.571,1,4,0.25,7,10,0.7,0.607,1,1,1.0,1,3,4,5,0,1,8,3,18,8.0,A,0,1,trevon-duval-1,Trevon Duval,2018
