rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,68,1,2017-11-10,Texas A&M,N,West Virginia,REG (Non-Conf),W 88-65,*,30,10,12,0.833,0,0,,10,12,0.833,0.833,3,3,1.0,4,9,13,0,0,1,3,2,23,21.0,N,1,1,tyler-davis-5,Tyler Davis,2018
2,69,2,2017-11-17,Texas A&M,,UC Santa Barbara,REG (Non-Conf),W 84-65,*,27,6,8,0.75,0,0,,6,8,0.75,0.75,2,2,1.0,1,5,6,2,1,3,3,2,14,13.7,H,1,1,tyler-davis-5,Tyler Davis,2018
3,70,3,2017-11-20,Texas A&M,N,Oklahoma State,REG (Non-Conf),W 72-55,*,18,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,0,8,8,0,0,1,2,4,4,1.5,N,1,1,tyler-davis-5,Tyler Davis,2018
4,71,4,2017-11-21,Texas A&M,N,Penn State,REG (Non-Conf),W 98-87,*,28,6,9,0.667,1,1,1.0,5,8,0.625,0.722,2,2,1.0,2,4,6,1,1,0,0,1,15,15.0,N,1,1,tyler-davis-5,Tyler Davis,2018
5,72,5,2017-11-24,Texas A&M,,Pepperdine,REG (Non-Conf),W 81-65,*,29,6,11,0.545,0,0,,6,11,0.545,0.545,4,7,0.571,5,3,8,2,0,3,4,5,16,11.4,H,1,1,tyler-davis-5,Tyler Davis,2018
6,73,6,2017-11-26,Texas A&M,@,Southern California,REG (Non-Conf),W 75-59,*,28,4,11,0.364,0,1,0.0,4,10,0.4,0.364,2,4,0.5,6,2,8,2,0,2,2,3,10,7.5,A,1,1,tyler-davis-5,Tyler Davis,2018
7,74,7,2017-11-30,Texas A&M,,Texas–Rio Grande Valley,REG (Non-Conf),W 78-60,*,27,6,7,0.857,0,0,,6,7,0.857,0.857,1,7,0.143,3,4,7,3,0,1,3,3,13,10.0,H,1,1,tyler-davis-5,Tyler Davis,2018
8,75,8,2017-12-05,Texas A&M,N,Arizona,REG (Non-Conf),L 64-67,*,32,9,12,0.75,1,2,0.5,8,10,0.8,0.792,2,2,1.0,0,2,2,0,1,0,3,3,21,13.6,N,0,1,tyler-davis-5,Tyler Davis,2018
9,76,9,2017-12-09,Texas A&M,,Prairie View A&M,REG (Non-Conf),W 73-53,*,20,4,5,0.8,0,0,,4,5,0.8,0.8,0,1,0.0,1,4,5,2,1,4,0,2,8,12.0,H,1,1,tyler-davis-5,Tyler Davis,2018
10,77,10,2017-12-13,Texas A&M,,Savannah State,REG (Non-Conf),W 113-66,*,24,5,9,0.556,0,0,,5,9,0.556,0.556,3,4,0.75,8,9,17,2,0,1,1,1,13,17.3,H,1,1,tyler-davis-5,Tyler Davis,2018
11,78,11,2017-12-19,Texas A&M,,Northern Kentucky,REG (Non-Conf),W 64-58,*,37,7,12,0.583,0,1,0.0,7,11,0.636,0.583,0,0,,2,8,10,3,0,3,1,3,14,14.2,H,1,1,tyler-davis-5,Tyler Davis,2018
12,79,12,2017-12-21,Texas A&M,,Buffalo,REG (Non-Conf),W 89-73,*,31,5,13,0.385,0,0,,5,13,0.385,0.385,6,6,1.0,4,7,11,4,1,0,3,1,16,14.2,H,1,1,tyler-davis-5,Tyler Davis,2018
13,80,13,2017-12-30,Texas A&M,@,Alabama,REG (Conf),L 57-79,*,29,6,12,0.5,1,1,1.0,5,11,0.455,0.542,1,1,1.0,3,3,6,1,0,0,3,4,14,7.1,A,0,1,tyler-davis-5,Tyler Davis,2018
14,81,14,2018-01-02,Texas A&M,,Florida,REG (Conf),L 66-83,*,33,5,11,0.455,1,3,0.333,4,8,0.5,0.5,1,2,0.5,3,4,7,1,0,2,2,0,12,9.3,H,0,1,tyler-davis-5,Tyler Davis,2018
15,82,15,2018-01-06,Texas A&M,,Louisiana State,REG (Conf),L 68-69,*,30,8,14,0.571,0,3,0.0,8,11,0.727,0.571,3,5,0.6,4,8,12,1,0,2,6,4,19,11.3,H,0,1,tyler-davis-5,Tyler Davis,2018
16,83,16,2018-01-09,Texas A&M,@,Kentucky,REG (Conf),L 73-74,*,30,8,10,0.8,1,1,1.0,7,9,0.778,0.85,4,4,1.0,2,3,5,2,0,0,3,4,21,16.3,A,0,1,tyler-davis-5,Tyler Davis,2018
17,84,17,2018-01-13,Texas A&M,@,Tennessee,REG (Conf),L 62-75,*,33,4,8,0.5,1,2,0.5,3,6,0.5,0.563,0,0,,1,6,7,1,0,0,2,0,9,6.2,A,0,1,tyler-davis-5,Tyler Davis,2018
18,85,18,2018-01-16,Texas A&M,,Ole Miss,REG (Conf),W 71-69,*,33,8,14,0.571,0,1,0.0,8,13,0.615,0.571,4,8,0.5,8,4,12,2,0,0,2,0,20,18.0,H,1,1,tyler-davis-5,Tyler Davis,2018
19,86,19,2018-01-20,Texas A&M,,Missouri,REG (Conf),W 60-49,*,29,4,13,0.308,0,2,0.0,4,11,0.364,0.308,3,4,0.75,3,11,14,2,0,3,0,2,11,11.2,H,1,1,tyler-davis-5,Tyler Davis,2018
20,87,20,2018-01-23,Texas A&M,@,Louisiana State,REG (Conf),L 65-77,*,27,5,9,0.556,0,1,0.0,5,8,0.625,0.556,2,3,0.667,6,6,12,1,1,1,2,2,12,12.9,A,0,1,tyler-davis-5,Tyler Davis,2018
21,88,21,2018-01-27,Texas A&M,@,Kansas,REG (Non-Conf),L 68-79,*,28,8,17,0.471,0,2,0.0,8,15,0.533,0.471,2,2,1.0,3,6,9,0,0,1,2,2,18,11.1,A,0,1,tyler-davis-5,Tyler Davis,2018
22,89,22,2018-01-30,Texas A&M,,Arkansas,REG (Conf),W 80-66,*,34,6,12,0.5,0,1,0.0,6,11,0.545,0.5,3,8,0.375,11,2,13,0,0,1,0,2,15,15.2,H,1,1,tyler-davis-5,Tyler Davis,2018
23,90,23,2018-02-03,Texas A&M,,South Carolina,REG (Conf),W 83-60,*,19,4,6,0.667,0,0,,4,6,0.667,0.667,4,6,0.667,2,5,7,1,2,1,3,3,12,10.7,H,1,1,tyler-davis-5,Tyler Davis,2018
24,91,24,2018-02-07,Texas A&M,@,Auburn,REG (Conf),W 81-80,*,32,7,12,0.583,0,0,,7,12,0.583,0.583,1,1,1.0,4,4,8,2,2,1,1,4,15,14.9,A,1,1,tyler-davis-5,Tyler Davis,2018
