rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,82,11,2017-12-19,Buffalo,@,Syracuse,REG (Non-Conf),L 74-81,*,34,6,13,0.462,3,8,0.375,3,5,0.6,0.577,0,0,,0,1,1,6,1,0,5,3,15,7.6,A,0,1,wes-clark-2,Wes Clark,2018
2,83,12,2017-12-21,Buffalo,@,Texas A&M,REG (Non-Conf),L 73-89,*,34,7,22,0.318,3,9,0.333,4,13,0.308,0.386,0,0,,1,0,1,8,2,1,5,3,17,7.2,A,0,1,wes-clark-2,Wes Clark,2018
3,84,13,2017-12-28,Buffalo,,NJIT,REG (Non-Conf),W 86-81 (OT),*,37,8,11,0.727,2,4,0.5,6,7,0.857,0.818,9,10,0.9,0,2,2,6,4,0,1,1,27,29.5,H,1,1,wes-clark-2,Wes Clark,2018
4,85,14,2018-01-02,Buffalo,,Toledo,REG (Conf),W 104-94,*,34,10,16,0.625,3,5,0.6,7,11,0.636,0.719,2,4,0.5,0,1,1,5,1,0,0,2,25,21.0,H,1,1,wes-clark-2,Wes Clark,2018
5,86,15,2018-01-06,Buffalo,@,Ball State,REG (Conf),W 83-63,*,24,4,10,0.4,1,3,0.333,3,7,0.429,0.45,1,2,0.5,0,3,3,4,2,1,1,3,10,8.4,A,1,1,wes-clark-2,Wes Clark,2018
6,87,16,2018-01-09,Buffalo,@,Akron,REG (Conf),W 87-65,*,21,4,9,0.444,1,4,0.25,3,5,0.6,0.5,0,1,0.0,1,3,4,5,1,0,0,3,9,8.8,A,1,1,wes-clark-2,Wes Clark,2018
7,88,17,2018-01-13,Buffalo,,Miami (OH),REG (Conf),W 82-66,*,28,6,11,0.545,2,6,0.333,4,5,0.8,0.636,0,0,,0,4,4,7,0,1,2,2,14,12.7,H,1,1,wes-clark-2,Wes Clark,2018
8,89,18,2018-01-16,Buffalo,,Northern Illinois,REG (Conf),W 95-67,*,20,2,6,0.333,1,2,0.5,1,4,0.25,0.417,1,2,0.5,0,2,2,7,2,0,3,3,6,5.5,H,1,1,wes-clark-2,Wes Clark,2018
9,90,19,2018-01-19,Buffalo,@,Western Michigan,REG (Conf),W 84-74,*,32,6,15,0.4,1,5,0.2,5,10,0.5,0.433,4,6,0.667,0,5,5,9,0,0,2,2,17,13.1,A,1,1,wes-clark-2,Wes Clark,2018
10,91,20,2018-01-23,Buffalo,,Eastern Michigan,REG (Conf),W 83-69,*,32,2,8,0.25,2,5,0.4,0,3,0.0,0.375,7,9,0.778,2,3,5,4,2,0,3,3,13,10.3,H,1,1,wes-clark-2,Wes Clark,2018
11,92,21,2018-01-26,Buffalo,@,Ohio,REG (Conf),W 73-66,*,19,1,6,0.167,0,2,0.0,1,4,0.25,0.167,3,5,0.6,0,0,0,3,3,0,2,4,5,1.9,A,1,1,wes-clark-2,Wes Clark,2018
12,93,22,2018-01-30,Buffalo,@,Kent State,REG (Conf),L 79-82,*,33,4,9,0.444,2,4,0.5,2,5,0.4,0.556,2,2,1.0,0,3,3,4,0,0,1,5,12,8.0,A,0,1,wes-clark-2,Wes Clark,2018
13,94,23,2018-02-02,Buffalo,,Western Michigan,REG (Conf),W 92-86,*,36,5,10,0.5,2,4,0.5,3,6,0.5,0.6,1,3,0.333,2,4,6,9,0,0,2,3,13,12.9,H,1,1,wes-clark-2,Wes Clark,2018
14,95,24,2018-02-06,Buffalo,@,Central Michigan,REG (Conf),W 88-82,*,31,5,10,0.5,2,6,0.333,3,4,0.75,0.6,4,4,1.0,0,7,7,6,1,0,4,4,16,12.7,A,1,1,wes-clark-2,Wes Clark,2018
15,96,25,2018-02-10,Buffalo,@,Northern Illinois,REG (Conf),L 88-90 (OT),*,34,8,15,0.533,3,8,0.375,5,7,0.714,0.633,2,4,0.5,0,3,3,3,1,0,3,4,21,12.3,A,0,1,wes-clark-2,Wes Clark,2018
16,97,26,2018-02-13,Buffalo,,Kent State,REG (Conf),W 84-72,*,26,8,14,0.571,3,6,0.5,5,8,0.625,0.679,0,0,,1,3,4,3,0,0,2,4,19,12.5,H,1,1,wes-clark-2,Wes Clark,2018
17,98,27,2018-02-16,Buffalo,,Bowling Green,REG (Conf),W 95-82,*,28,4,9,0.444,2,3,0.667,2,6,0.333,0.556,4,4,1.0,0,5,5,4,0,0,0,4,14,12.0,H,1,1,wes-clark-2,Wes Clark,2018
18,99,28,2018-02-20,Buffalo,@,Miami (OH),REG (Conf),L 81-84,*,34,7,11,0.636,1,3,0.333,6,8,0.75,0.682,3,3,1.0,0,4,4,3,2,0,5,0,18,13.4,A,0,1,wes-clark-2,Wes Clark,2018
19,100,29,2018-02-24,Buffalo,,Ohio,REG (Conf),W 108-82,*,26,3,10,0.3,1,3,0.333,2,7,0.286,0.35,5,6,0.833,0,5,5,11,2,0,3,3,12,12.8,H,1,1,wes-clark-2,Wes Clark,2018
20,101,30,2018-02-27,Buffalo,,Akron,REG (Conf),W 80-68,*,31,7,13,0.538,2,5,0.4,5,8,0.625,0.615,2,3,0.667,1,2,3,5,1,1,3,2,18,14.0,H,1,1,wes-clark-2,Wes Clark,2018
21,102,31,2018-03-02,Buffalo,@,Bowling Green,REG (Conf),W 100-70,*,23,5,12,0.417,0,4,0.0,5,8,0.625,0.417,0,0,,0,2,2,2,0,0,0,4,10,4.0,A,1,1,wes-clark-2,Wes Clark,2018
22,103,32,2018-03-08,Buffalo,N,Central Michigan,CTOURN,W 89-74,*,30,3,10,0.3,3,6,0.5,0,4,0.0,0.45,2,3,0.667,0,8,8,6,2,0,4,4,11,7.8,N,1,0,wes-clark-2,Wes Clark,2018
23,104,33,2018-03-09,Buffalo,N,Kent State,CTOURN,W 78-61,*,27,1,6,0.167,1,1,1.0,0,5,0.0,0.25,0,0,,0,2,2,4,0,0,2,3,3,-0.6,N,1,0,wes-clark-2,Wes Clark,2018
24,105,34,2018-03-10,Buffalo,N,Toledo,CTOURN,W 76-66,*,34,10,15,0.667,2,4,0.5,8,11,0.727,0.733,4,4,1.0,0,5,5,3,4,0,1,2,26,25.3,N,1,0,wes-clark-2,Wes Clark,2018
25,106,35,2018-03-15,Buffalo,N,Arizona,ROUND-64,W 89-68,*,34,10,14,0.714,3,5,0.6,7,9,0.778,0.821,2,2,1.0,2,2,4,7,1,2,3,0,25,25.5,N,1,0,wes-clark-2,Wes Clark,2018
26,107,36,2018-03-17,Buffalo,N,Kentucky,ROUND-32,L 75-95,*,35,9,19,0.474,4,10,0.4,5,9,0.556,0.579,4,4,1.0,1,2,3,6,0,1,2,3,26,19.3,N,0,0,wes-clark-2,Wes Clark,2018
