rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2018-11-06,Purdue,,Fairfield,REG (Non-Conf),W 90-57,,12,0,3,0.0,0,3,0.0,0,0,,0.0,2,2,1.0,0,4,4,0,2,0,2,1,2,0.7,H,1,1,aaron-wheeler-2,Aaron Wheeler,2019
2,2,2,2018-11-10,Purdue,,Ball State,REG (Non-Conf),W 84-75,,16,2,4,0.5,1,3,0.333,1,1,1.0,0.625,0,1,0.0,2,0,2,1,0,2,1,2,5,4.3,H,1,1,aaron-wheeler-2,Aaron Wheeler,2019
3,3,3,2018-11-15,Purdue,N,Appalachian State,REG (Non-Conf),W 92-70,,16,2,4,0.5,2,3,0.667,0,1,0.0,0.75,0,0,,1,4,5,0,1,1,0,3,6,6.4,N,1,1,aaron-wheeler-2,Aaron Wheeler,2019
4,4,4,2018-11-16,Purdue,N,Davidson,REG (Non-Conf),W 79-58,,10,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,3,3,1,0,0,1,3,0,-1.3,N,1,1,aaron-wheeler-2,Aaron Wheeler,2019
5,5,5,2018-11-18,Purdue,N,Virginia Tech,REG (Non-Conf),L 83-89,,11,1,3,0.333,1,2,0.5,0,1,0.0,0.5,0,0,,0,3,3,1,0,0,0,4,3,1.3,N,0,1,aaron-wheeler-2,Aaron Wheeler,2019
6,6,6,2018-11-23,Purdue,,Robert Morris,REG (Non-Conf),W 84-46,,17,0,3,0.0,0,2,0.0,0,1,0.0,0.0,3,4,0.75,0,2,2,0,0,1,1,2,3,0.0,H,1,1,aaron-wheeler-2,Aaron Wheeler,2019
7,7,7,2018-11-28,Purdue,@,Florida State,REG (Non-Conf),L 72-73,,2,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,A,0,1,aaron-wheeler-2,Aaron Wheeler,2019
8,8,8,2018-12-01,Purdue,@,Michigan,REG (Conf),L 57-76,,17,3,3,1.0,2,2,1.0,1,1,1.0,1.333,0,0,,1,4,5,0,0,0,1,3,8,6.8,A,0,1,aaron-wheeler-2,Aaron Wheeler,2019
9,9,9,2018-12-06,Purdue,,Maryland,REG (Conf),W 62-60,,21,6,7,0.857,3,4,0.75,3,3,1.0,1.071,0,0,,1,2,3,0,1,2,2,1,15,13.8,H,1,1,aaron-wheeler-2,Aaron Wheeler,2019
10,10,10,2018-12-09,Purdue,@,Texas,REG (Non-Conf),L 68-72,,19,2,8,0.25,1,4,0.25,1,4,0.25,0.313,0,0,,0,3,3,0,0,1,1,2,5,0.0,A,0,1,aaron-wheeler-2,Aaron Wheeler,2019
11,11,11,2018-12-15,Purdue,N,Notre Dame,REG (Non-Conf),L 80-88,,10,2,6,0.333,0,2,0.0,2,4,0.5,0.333,0,0,,2,4,6,0,0,0,0,2,4,2.4,N,0,1,aaron-wheeler-2,Aaron Wheeler,2019
12,12,12,2018-12-20,Purdue,,Ohio,REG (Non-Conf),W 95-67,,13,1,3,0.333,1,3,0.333,0,0,,0.5,2,2,1.0,1,4,5,0,0,1,1,0,5,4.9,H,1,1,aaron-wheeler-2,Aaron Wheeler,2019
13,13,13,2018-12-29,Purdue,,Belmont,REG (Non-Conf),W 73-62,,15,2,4,0.5,1,2,0.5,1,2,0.5,0.625,1,1,1.0,2,1,3,1,0,1,0,2,6,6.3,H,1,1,aaron-wheeler-2,Aaron Wheeler,2019
14,14,14,2019-01-03,Purdue,,Iowa,REG (Conf),W 86-70,,15,4,5,0.8,2,2,1.0,2,3,0.667,1.0,0,0,,0,1,1,1,0,1,0,1,10,9.4,H,1,1,aaron-wheeler-2,Aaron Wheeler,2019
15,15,15,2019-01-08,Purdue,@,Michigan State,REG (Conf),L 59-77,,13,0,4,0.0,0,4,0.0,0,0,,0.0,1,2,0.5,1,2,3,0,2,0,0,0,1,1.1,A,0,1,aaron-wheeler-2,Aaron Wheeler,2019
16,16,16,2019-01-11,Purdue,@,Wisconsin,REG (Conf),W 84-80 (OT),,17,1,2,0.5,0,1,0.0,1,1,1.0,0.5,0,0,,3,1,4,3,1,0,0,1,2,6.1,A,1,1,aaron-wheeler-2,Aaron Wheeler,2019
17,17,17,2019-01-15,Purdue,,Rutgers,REG (Conf),W 89-54,,22,2,6,0.333,0,3,0.0,2,3,0.667,0.333,5,8,0.625,3,2,5,0,2,0,1,4,9,6.5,H,1,1,aaron-wheeler-2,Aaron Wheeler,2019
18,18,18,2019-01-19,Purdue,,Indiana,REG (Conf),W 70-55,,14,2,4,0.5,1,3,0.333,1,1,1.0,0.625,0,0,,0,0,0,0,3,2,2,3,5,4.2,H,1,1,aaron-wheeler-2,Aaron Wheeler,2019
19,19,19,2019-01-23,Purdue,@,Ohio State,REG (Conf),W 79-67,,14,1,3,0.333,1,3,0.333,0,0,,0.5,0,0,,2,2,4,1,0,1,1,1,3,3.3,A,1,1,aaron-wheeler-2,Aaron Wheeler,2019
20,20,20,2019-01-27,Purdue,,Michigan State,REG (Conf),W 73-63,,15,4,4,1.0,3,3,1.0,1,1,1.0,1.375,0,0,,1,0,1,1,0,0,0,3,11,10.0,H,1,1,aaron-wheeler-2,Aaron Wheeler,2019
21,21,21,2019-01-31,Purdue,@,Penn State,REG (Conf),W 99-90 (OT),,17,2,5,0.4,1,3,0.333,1,2,0.5,0.5,0,0,,2,3,5,1,0,0,1,2,5,3.5,A,1,1,aaron-wheeler-2,Aaron Wheeler,2019
22,22,22,2019-02-03,Purdue,,Minnesota,REG (Conf),W 73-63,,12,0,4,0.0,0,3,0.0,0,1,0.0,0.0,0,2,0.0,2,2,4,0,1,0,1,1,0,-2.0,H,1,1,aaron-wheeler-2,Aaron Wheeler,2019
23,23,23,2019-02-09,Purdue,,Nebraska,REG (Conf),W 81-62,,11,1,5,0.2,0,1,0.0,1,4,0.25,0.2,0,0,,1,1,2,0,0,0,0,0,2,-0.1,H,1,1,aaron-wheeler-2,Aaron Wheeler,2019
24,24,24,2019-02-12,Purdue,@,Maryland,REG (Conf),L 56-70,,16,1,7,0.143,1,6,0.167,0,1,0.0,0.214,0,0,,0,0,0,0,1,0,0,0,3,-0.5,A,0,1,aaron-wheeler-2,Aaron Wheeler,2019
25,25,25,2019-02-16,Purdue,,Penn State,REG (Conf),W 76-64,,11,2,3,0.667,1,1,1.0,1,2,0.5,0.833,2,2,1.0,1,2,3,0,0,0,1,1,7,5.6,H,1,1,aaron-wheeler-2,Aaron Wheeler,2019
26,26,26,2019-02-19,Purdue,@,Indiana,REG (Conf),W 48-46,,15,1,4,0.25,1,4,0.25,0,0,,0.375,0,0,,0,3,3,0,0,1,1,0,3,1.2,A,1,1,aaron-wheeler-2,Aaron Wheeler,2019
27,27,27,2019-02-23,Purdue,@,Nebraska,REG (Conf),W 75-72,,14,3,5,0.6,1,3,0.333,2,2,1.0,0.7,0,0,,0,3,3,0,0,0,0,3,7,4.4,A,1,1,aaron-wheeler-2,Aaron Wheeler,2019
28,28,28,2019-02-27,Purdue,,Illinois,REG (Conf),W 73-56,,8,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,H,1,1,aaron-wheeler-2,Aaron Wheeler,2019
29,29,29,2019-03-02,Purdue,,Ohio State,REG (Conf),W 86-51,,22,4,5,0.8,1,2,0.5,3,3,1.0,0.9,1,3,0.333,2,5,7,0,1,0,0,0,10,11.2,H,1,1,aaron-wheeler-2,Aaron Wheeler,2019
30,30,30,2019-03-05,Purdue,@,Minnesota,REG (Conf),L 69-73,,6,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,1,0,1,2,0,0.2,A,0,1,aaron-wheeler-2,Aaron Wheeler,2019
31,31,31,2019-03-09,Purdue,@,Northwestern,REG (Conf),W 70-57,,10,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,3,2,5,0,0,0,1,1,0,0.6,A,1,1,aaron-wheeler-2,Aaron Wheeler,2019
32,32,32,2019-03-15,Purdue,N,Minnesota,CTOURN,L 73-75,,10,3,5,0.6,1,2,0.5,2,3,0.667,0.7,1,1,1.0,1,0,1,1,2,0,0,3,8,7.9,N,0,0,aaron-wheeler-2,Aaron Wheeler,2019
33,33,33,2019-03-21,Purdue,N,Old Dominion,ROUND-64,W 61-48,,12,3,3,1.0,1,1,1.0,2,2,1.0,1.167,0,1,0.0,0,2,2,0,1,0,0,4,7,5.7,N,1,0,aaron-wheeler-2,Aaron Wheeler,2019
34,34,34,2019-03-23,Purdue,N,Villanova,ROUND-32,W 87-61,,7,1,1,1.0,1,1,1.0,0,0,,1.5,0,0,,0,1,1,1,1,1,3,5,3,0.4,N,1,0,aaron-wheeler-2,Aaron Wheeler,2019
35,35,35,2019-03-28,Purdue,N,Tennessee,ROUND-16,W 99-94 (OT),,13,3,5,0.6,2,3,0.667,1,2,0.5,0.8,0,0,,0,4,4,0,0,1,1,2,8,5.8,N,1,0,aaron-wheeler-2,Aaron Wheeler,2019
36,36,36,2019-03-30,Purdue,N,Virginia,ROUND-8,L 75-80 (OT),,22,1,4,0.25,1,4,0.25,0,0,,0.375,1,2,0.5,2,4,6,1,1,1,0,2,4,5.4,N,0,0,aaron-wheeler-2,Aaron Wheeler,2019
