rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,66,1,2018-11-06,Maryland,,Delaware,REG (Non-Conf),W 73-67,*,33,4,14,0.286,0,5,0.0,4,9,0.444,0.286,7,10,0.7,0,6,6,2,0,0,1,2,15,7.0,H,1,1,anthony-cowan-1,Anthony Cowan,2019
2,67,2,2018-11-09,Maryland,@,Navy,REG (Non-Conf),W 78-57,*,37,8,15,0.533,2,9,0.222,6,6,1.0,0.6,6,6,1.0,0,3,3,6,4,0,1,2,24,24.0,A,1,1,anthony-cowan-1,Anthony Cowan,2019
3,68,3,2018-11-12,Maryland,,North Carolina A&T,REG (Non-Conf),W 82-59,*,30,4,11,0.364,4,9,0.444,0,2,0.0,0.545,1,2,0.5,1,2,3,4,0,0,2,1,13,8.2,H,1,1,anthony-cowan-1,Anthony Cowan,2019
4,69,4,2018-11-16,Maryland,,Hofstra,REG (Non-Conf),W 80-69,*,38,5,13,0.385,1,6,0.167,4,7,0.571,0.423,0,0,,2,4,6,4,4,0,3,3,11,9.1,H,1,1,anthony-cowan-1,Anthony Cowan,2019
5,70,5,2018-11-18,Maryland,,Mount St. Mary's,REG (Non-Conf),W 92-77,*,29,5,8,0.625,1,2,0.5,4,6,0.667,0.688,1,1,1.0,1,4,5,6,1,0,1,2,12,13.7,H,1,1,anthony-cowan-1,Anthony Cowan,2019
6,71,6,2018-11-23,Maryland,,Marshall,REG (Non-Conf),W 104-67,*,30,10,15,0.667,1,1,1.0,9,14,0.643,0.7,5,5,1.0,1,6,7,6,1,0,4,1,26,22.8,H,1,1,anthony-cowan-1,Anthony Cowan,2019
7,72,7,2018-11-28,Maryland,,Virginia,REG (Non-Conf),L 71-76,*,36,5,12,0.417,1,4,0.25,4,8,0.5,0.458,4,6,0.667,1,0,1,4,0,0,4,5,15,5.3,H,0,1,anthony-cowan-1,Anthony Cowan,2019
8,73,8,2018-12-01,Maryland,,Penn State,REG (Conf),W 66-59,*,34,6,12,0.5,2,6,0.333,4,6,0.667,0.583,1,1,1.0,0,2,2,4,1,0,6,2,15,6.6,H,1,1,anthony-cowan-1,Anthony Cowan,2019
9,74,9,2018-12-06,Maryland,@,Purdue,REG (Conf),L 60-62,*,36,4,17,0.235,2,10,0.2,2,7,0.286,0.294,8,10,0.8,1,4,5,6,2,0,3,3,18,10.8,A,0,1,anthony-cowan-1,Anthony Cowan,2019
10,75,10,2018-12-08,Maryland,N,Loyola Chicago,REG (Non-Conf),W 55-41,*,35,6,12,0.5,3,8,0.375,3,4,0.75,0.625,2,3,0.667,0,3,3,4,1,1,5,0,17,11.0,N,1,1,anthony-cowan-1,Anthony Cowan,2019
