rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2018-11-06,Seton Hall,,Wagner,REG (Non-Conf),W 89-49,,24,1,5,0.2,0,1,0.0,1,4,0.25,0.2,2,2,1.0,0,1,1,5,2,0,1,2,4,4.9,H,1,1,anthony-nelson-2,Ant Nelson,2019
2,2,2,2018-11-14,Seton Hall,@,Nebraska,REG (Non-Conf),L 57-80,,21,3,6,0.5,0,0,,3,6,0.5,0.5,0,0,,0,2,2,2,0,0,2,1,6,2.6,A,0,1,anthony-nelson-2,Ant Nelson,2019
3,3,3,2018-11-17,Seton Hall,,Saint Louis,REG (Non-Conf),L 64-66,,21,2,6,0.333,0,1,0.0,2,5,0.4,0.333,0,0,,0,1,1,0,0,0,1,2,4,-0.9,H,0,1,anthony-nelson-2,Ant Nelson,2019
4,4,4,2018-11-22,Seton Hall,N,Grand Canyon,REG (Non-Conf),W 82-75,,12,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,0,0,0,2,1,0,-3.1,N,1,1,anthony-nelson-2,Ant Nelson,2019
5,5,5,2018-11-23,Seton Hall,N,Hawaii,REG (Non-Conf),W 64-54,,13,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,1,1,5,0,0,1,2,2,3.7,N,1,1,anthony-nelson-2,Ant Nelson,2019
6,6,6,2018-11-25,Seton Hall,N,Miami (FL),REG (Non-Conf),W 83-81,,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,2,0,0,4,3,0,-3.8,N,1,1,anthony-nelson-2,Ant Nelson,2019
7,7,7,2018-12-01,Seton Hall,,Louisville,REG (Non-Conf),L 65-70,,22,1,6,0.167,0,0,,1,6,0.167,0.167,0,0,,0,4,4,4,2,0,0,2,2,3.4,H,0,1,anthony-nelson-2,Ant Nelson,2019
8,8,8,2018-12-04,Seton Hall,,New Hampshire,REG (Non-Conf),W 77-57,,8,2,3,0.667,0,1,0.0,2,2,1.0,0.667,1,1,1.0,0,2,2,2,0,0,0,0,5,5.7,H,1,1,anthony-nelson-2,Ant Nelson,2019
9,9,9,2018-12-08,Seton Hall,N,Kentucky,REG (Non-Conf),W 84-83 (OT),,12,1,3,0.333,0,0,,1,3,0.333,0.333,1,2,0.5,0,1,1,0,0,0,0,2,3,0.4,N,1,1,anthony-nelson-2,Ant Nelson,2019
10,10,10,2018-12-15,Seton Hall,,Rutgers,REG (Non-Conf),W 72-66,,12,1,4,0.25,0,2,0.0,1,2,0.5,0.25,5,6,0.833,0,1,1,3,1,0,2,0,7,5.6,H,1,1,anthony-nelson-2,Ant Nelson,2019
11,11,11,2018-12-19,Seton Hall,,Sacred Heart,REG (Non-Conf),W 90-76,,21,2,6,0.333,1,1,1.0,1,5,0.2,0.417,0,0,,0,1,1,8,2,0,1,1,5,8.1,H,1,1,anthony-nelson-2,Ant Nelson,2019
12,12,12,2018-12-22,Seton Hall,@,Maryland,REG (Non-Conf),W 78-74,,12,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,0,0,1,1,0,0,1,0,-0.1,A,1,1,anthony-nelson-2,Ant Nelson,2019
13,13,13,2018-12-29,Seton Hall,,St. John's (NY),REG (Conf),W 76-74,,5,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,2,2,2,0,0,2,0,2,1.7,H,1,1,anthony-nelson-2,Ant Nelson,2019
14,14,14,2019-01-02,Seton Hall,@,Xavier,REG (Conf),W 80-70,,13,2,6,0.333,1,1,1.0,1,5,0.2,0.417,2,4,0.5,0,0,0,0,0,0,1,0,7,1.8,A,1,1,anthony-nelson-2,Ant Nelson,2019
15,15,15,2019-01-06,Seton Hall,@,DePaul,REG (Conf),L 74-75,,7,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,1,1,2,1,0,0,1,0,2,1.0,A,0,1,anthony-nelson-2,Ant Nelson,2019
16,16,16,2019-01-09,Seton Hall,,Butler,REG (Conf),W 76-75,,7,1,2,0.5,1,1,1.0,0,1,0.0,0.75,0,0,,0,0,0,0,0,0,0,0,3,2.0,H,1,1,anthony-nelson-2,Ant Nelson,2019
17,17,17,2019-01-12,Seton Hall,@,Marquette,REG (Conf),L 66-70,,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,0.3,A,0,1,anthony-nelson-2,Ant Nelson,2019
18,18,18,2019-01-15,Seton Hall,@,Providence,REG (Conf),L 63-72,,6,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,2,2,0,0,0,1,0,0,-1.1,A,0,1,anthony-nelson-2,Ant Nelson,2019
19,19,19,2019-01-19,Seton Hall,,DePaul,REG (Conf),L 93-97,,5,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,0,0,0,0,0,1,0,2,0.7,H,0,1,anthony-nelson-2,Ant Nelson,2019
20,20,20,2019-01-27,Seton Hall,@,Villanova,REG (Conf),L 52-80,,16,2,3,0.667,0,1,0.0,2,2,1.0,0.667,0,2,0.0,0,1,1,3,0,0,0,2,4,3.5,A,0,1,anthony-nelson-2,Ant Nelson,2019
21,21,21,2019-01-30,Seton Hall,,Providence,REG (Conf),W 65-63,,17,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,1,1,2,3,0,0,2,1,0,-0.7,H,1,1,anthony-nelson-2,Ant Nelson,2019
