rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,27,1,2018-11-09,Iona,,Albany (NY),REG (Non-Conf),W 72-68,,24,4,9,0.444,2,6,0.333,2,3,0.667,0.556,0,0,,0,3,3,0,0,0,0,1,10,5.8,H,1,1,ben-perez-1,Ben Perez,2019
2,28,2,2018-11-13,Iona,@,New Mexico,REG (Non-Conf),L 83-90,,24,4,9,0.444,4,6,0.667,0,3,0.0,0.667,0,0,,0,0,0,1,0,0,1,3,12,5.8,A,0,1,ben-perez-1,Ben Perez,2019
3,29,3,2018-11-19,Iona,N,Long Beach State,REG (Non-Conf),L 85-86,,18,0,4,0.0,0,3,0.0,0,1,0.0,0.0,1,2,0.5,0,1,1,3,1,0,0,2,1,0.4,N,0,1,ben-perez-1,Ben Perez,2019
4,30,4,2018-11-21,Iona,N,Hartford,REG (Non-Conf),W 80-75,,19,1,3,0.333,1,3,0.333,0,0,,0.5,0,0,,1,0,1,0,0,0,0,1,3,1.6,N,1,1,ben-perez-1,Ben Perez,2019
5,31,5,2018-11-24,Iona,@,Providence,REG (Non-Conf),L 79-91,,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,A,0,1,ben-perez-1,Ben Perez,2019
6,32,9,2018-12-15,Iona,N,Princeton,REG (Non-Conf),L 81-85,,33,5,12,0.417,3,8,0.375,2,4,0.5,0.542,0,0,,4,3,7,0,0,0,2,1,13,7.9,N,0,1,ben-perez-1,Ben Perez,2019
7,33,10,2018-12-22,Iona,@,Yale,REG (Non-Conf),L 84-99,*,26,3,9,0.333,1,7,0.143,2,2,1.0,0.389,0,0,,0,1,1,1,0,0,0,1,7,2.5,A,0,1,ben-perez-1,Ben Perez,2019
8,34,11,2018-12-30,Iona,,Holy Cross,REG (Non-Conf),L 71-78,*,24,1,5,0.2,1,4,0.25,0,1,0.0,0.3,0,0,,0,0,0,0,0,0,0,2,3,-0.9,H,0,1,ben-perez-1,Ben Perez,2019
9,35,12,2019-01-03,Iona,,Monmouth,REG (Conf),W 103-84,*,32,6,8,0.75,4,6,0.667,2,2,1.0,1.0,3,3,1.0,1,2,3,2,2,0,0,2,19,19.7,H,1,1,ben-perez-1,Ben Perez,2019
10,36,13,2019-01-05,Iona,,Fairfield,REG (Conf),W 94-87,*,36,4,9,0.444,0,4,0.0,4,5,0.8,0.444,0,1,0.0,2,3,5,2,3,0,0,2,8,8.8,H,1,1,ben-perez-1,Ben Perez,2019
