rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2018-11-06,New Mexico State,,North Dakota State,REG (Non-Conf),W 73-56,*,19,4,7,0.571,0,3,0.0,4,4,1.0,0.571,0,0,,4,3,7,1,0,0,0,2,8,8.3,H,1,1,clayton-henry-1,Clayton Henry,2019
2,2,2,2018-11-09,New Mexico State,,UTEP,REG (Non-Conf),W 96-69,*,26,5,9,0.556,4,7,0.571,1,2,0.5,0.778,0,0,,1,4,5,2,1,0,0,2,14,13.2,H,1,1,clayton-henry-1,Clayton Henry,2019
3,3,3,2018-11-14,New Mexico State,,St. Mary's (CA),REG (Non-Conf),L 58-73,*,14,0,1,0.0,0,0,,0,1,0.0,0.0,1,2,0.5,0,2,2,1,0,0,0,0,1,1.2,H,0,1,clayton-henry-1,Clayton Henry,2019
4,4,4,2018-11-17,New Mexico State,@,New Mexico,REG (Non-Conf),W 98-94,*,20,2,6,0.333,1,5,0.2,1,1,1.0,0.417,2,2,1.0,1,3,4,0,0,0,1,3,7,3.0,A,1,1,clayton-henry-1,Clayton Henry,2019
5,5,5,2018-11-21,New Mexico State,,Eastern N.M.,REG (Non-Conf),W 92-65,*,22,3,9,0.333,2,6,0.333,1,3,0.333,0.444,1,2,0.5,3,6,9,0,0,0,0,0,9,7.4,H,1,1,clayton-henry-1,Clayton Henry,2019
6,6,6,2018-11-28,New Mexico State,@,UTEP,REG (Non-Conf),W 62-58,*,31,3,6,0.5,3,6,0.5,0,0,,0.75,0,0,,1,4,5,2,1,0,2,1,9,7.9,A,1,1,clayton-henry-1,Clayton Henry,2019
7,7,7,2018-12-01,New Mexico State,,Washington State,REG (Non-Conf),W 69-63,*,17,2,8,0.25,1,6,0.167,1,2,0.5,0.313,0,0,,0,0,0,0,0,0,1,1,5,-1.2,H,1,1,clayton-henry-1,Clayton Henry,2019
8,8,8,2018-12-04,New Mexico State,,New Mexico,REG (Non-Conf),W 100-65,,6,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,1,1,2,0,0,0,1,0,0,-0.7,H,1,1,clayton-henry-1,Clayton Henry,2019
9,9,9,2018-12-08,New Mexico State,N,Kansas,REG (Non-Conf),L 60-63,,3,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,N,0,1,clayton-henry-1,Clayton Henry,2019
10,10,10,2018-12-17,New Mexico State,,Northern Colorado,REG (Non-Conf),W 74-62,,18,2,4,0.5,2,4,0.5,0,0,,0.75,0,0,,0,3,3,2,0,0,0,0,6,6.3,H,1,1,clayton-henry-1,Clayton Henry,2019
11,11,11,2018-12-19,New Mexico State,,Cal State Northridge,REG (Non-Conf),W 92-57,*,13,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,,0,3,3,1,0,0,3,1,0,-3.2,H,1,1,clayton-henry-1,Clayton Henry,2019
12,12,12,2018-12-22,New Mexico State,N,Drake,REG (Non-Conf),L 63-66,,5,0,3,0.0,0,3,0.0,0,0,,0.0,0,0,,0,0,0,0,0,0,0,0,0,-2.1,N,0,1,clayton-henry-1,Clayton Henry,2019
13,13,13,2018-12-23,New Mexico State,N,Washington State,REG (Non-Conf),W 75-72,,3,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,-1.4,N,1,1,clayton-henry-1,Clayton Henry,2019
14,14,14,2018-12-30,New Mexico State,@,Colorado State,REG (Non-Conf),W 88-68,,9,2,4,0.5,2,4,0.5,0,0,,0.75,0,0,,1,2,3,0,0,0,0,3,6,4.1,A,1,1,clayton-henry-1,Clayton Henry,2019
15,15,15,2019-01-03,New Mexico State,@,California Baptist,REG (Conf),L 76-82,,3,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,0,0,1,0,0,0,0.0,A,0,1,clayton-henry-1,Clayton Henry,2019
16,16,16,2019-01-10,New Mexico State,,Grand Canyon,REG (Conf),W 77-75,,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,H,1,1,clayton-henry-1,Clayton Henry,2019
17,17,17,2019-01-12,New Mexico State,,Cal State Bakersfield,REG (Conf),W 73-62,,7,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,0,0,0,0,0,0,0,3,2.0,H,1,1,clayton-henry-1,Clayton Henry,2019
18,18,18,2019-01-17,New Mexico State,@,Seattle,REG (Conf),W 87-60,*,17,3,3,1.0,2,2,1.0,1,1,1.0,1.333,0,1,0.0,1,4,5,0,0,0,2,1,8,6.2,A,1,1,clayton-henry-1,Clayton Henry,2019
19,19,19,2019-01-19,New Mexico State,@,Utah Valley,REG (Conf),W 83-78,*,9,0,3,0.0,0,3,0.0,0,0,,0.0,0,0,,0,0,0,1,0,0,0,1,0,-1.8,A,1,1,clayton-henry-1,Clayton Henry,2019
