rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,63,1,2018-11-06,North Dakota State,@,New Mexico State,REG (Non-Conf),L 56-73,,16,1,5,0.2,1,2,0.5,0,3,0.0,0.3,0,2,0.0,1,3,4,0,0,3,4,3,3,-2.4,A,0,1,deng-geu-1,Deng Geu,2019
2,64,2,2018-11-11,North Dakota State,,UC Santa Barbara,REG (Non-Conf),W 82-63,,22,6,7,0.857,0,0,,6,7,0.857,0.857,4,5,0.8,0,6,6,0,0,1,1,3,16,13.4,H,1,1,deng-geu-1,Deng Geu,2019
3,65,3,2018-11-16,North Dakota State,N,Miami (OH),REG (Non-Conf),L 78-89,,16,3,5,0.6,1,2,0.5,2,3,0.667,0.7,0,1,0.0,1,0,1,1,0,0,1,4,7,3.1,N,0,1,deng-geu-1,Deng Geu,2019
4,66,4,2018-11-17,North Dakota State,N,Incarnate Word,REG (Non-Conf),L 78-80 (OT),,19,3,5,0.6,1,1,1.0,2,4,0.5,0.7,1,2,0.5,0,2,2,2,0,3,2,3,8,6.2,N,0,1,deng-geu-1,Deng Geu,2019
5,67,5,2018-11-18,North Dakota State,N,Towson,REG (Non-Conf),W 76-51,,15,6,7,0.857,0,0,,6,7,0.857,0.857,1,1,1.0,1,0,1,0,1,0,1,1,13,10.8,N,1,1,deng-geu-1,Deng Geu,2019
6,68,6,2018-11-24,North Dakota State,@,East Tennessee State,REG (Non-Conf),L 61-79,,14,3,5,0.6,0,1,0.0,3,4,0.75,0.6,1,1,1.0,0,1,1,0,1,1,2,4,7,3.1,A,0,1,deng-geu-1,Deng Geu,2019
7,69,7,2018-11-26,North Dakota State,@,Gonzaga,REG (Non-Conf),L 60-102,,22,5,8,0.625,0,1,0.0,5,7,0.714,0.625,2,2,1.0,3,3,6,0,1,2,1,3,12,11.6,A,0,1,deng-geu-1,Deng Geu,2019
8,70,8,2018-12-01,North Dakota State,N,Drake,REG (Non-Conf),L 88-95,,24,7,13,0.538,1,3,0.333,6,10,0.6,0.577,6,7,0.857,3,4,7,3,0,1,2,2,21,17.6,N,0,1,deng-geu-1,Deng Geu,2019
9,71,9,2018-12-03,North Dakota State,@,Iowa State,REG (Non-Conf),L 59-81,,23,5,8,0.625,0,0,,5,8,0.625,0.625,0,0,,3,2,5,3,0,0,1,2,10,9.4,A,0,1,deng-geu-1,Deng Geu,2019
10,72,10,2018-12-08,North Dakota State,,Eastern Washington,REG (Non-Conf),W 74-67,,25,5,10,0.5,2,3,0.667,3,7,0.429,0.6,6,8,0.75,2,6,8,0,0,0,1,0,18,14.4,H,1,1,deng-geu-1,Deng Geu,2019
11,73,11,2018-12-15,North Dakota State,,Missouri State,REG (Non-Conf),W 74-67,,18,0,2,0.0,0,0,,0,2,0.0,0.0,5,7,0.714,0,5,5,0,1,1,1,0,5,5.0,H,1,1,deng-geu-1,Deng Geu,2019
12,74,12,2018-12-17,North Dakota State,@,Montana,REG (Non-Conf),L 53-60,,25,3,7,0.429,0,0,,3,7,0.429,0.429,7,8,0.875,2,4,6,1,1,0,1,2,13,11.4,A,0,1,deng-geu-1,Deng Geu,2019
13,75,13,2018-12-19,North Dakota State,,Northland,REG (Non-Conf),W 90-43,,22,7,9,0.778,0,0,,7,9,0.778,0.778,2,2,1.0,3,10,13,1,0,2,3,2,16,15.9,H,1,1,deng-geu-1,Deng Geu,2019
14,76,14,2018-12-29,North Dakota State,,South Dakota,REG (Conf),W 71-65,,28,9,13,0.692,1,2,0.5,8,11,0.727,0.731,1,2,0.5,0,4,4,1,0,2,2,3,20,14.2,H,1,1,deng-geu-1,Deng Geu,2019
15,77,15,2018-12-30,North Dakota State,,Purdue Fort Wayne,REG (Conf),L 87-90 (OT),,19,2,6,0.333,1,2,0.5,1,4,0.25,0.417,2,2,1.0,2,3,5,1,0,1,3,3,7,3.1,H,0,1,deng-geu-1,Deng Geu,2019
16,78,16,2019-01-02,North Dakota State,@,Omaha,REG (Conf),L 77-90,,16,4,7,0.571,1,1,1.0,3,6,0.5,0.643,5,6,0.833,3,2,5,0,0,1,4,3,14,8.5,A,0,1,deng-geu-1,Deng Geu,2019
17,79,17,2019-01-06,North Dakota State,,Dickinson St,REG (Non-Conf),W 85-53,,21,6,9,0.667,0,1,0.0,6,8,0.75,0.667,1,2,0.5,1,10,11,0,1,0,3,1,13,10.0,H,1,1,deng-geu-1,Deng Geu,2019
18,80,18,2019-01-10,North Dakota State,,Western Illinois,REG (Conf),W 85-69,,23,6,11,0.545,1,3,0.333,5,8,0.625,0.591,1,2,0.5,1,5,6,0,1,0,2,2,14,8.7,H,1,1,deng-geu-1,Deng Geu,2019
19,81,19,2019-01-16,North Dakota State,@,Denver,REG (Conf),L 65-80,,14,3,5,0.6,0,0,,3,5,0.6,0.6,0,0,,2,2,4,0,0,0,1,3,6,3.5,A,0,1,deng-geu-1,Deng Geu,2019
20,82,20,2019-01-19,North Dakota State,,North Dakota,REG (Conf),W 67-65,,21,6,11,0.545,0,1,0.0,6,10,0.6,0.545,3,4,0.75,5,3,8,0,0,1,2,2,15,11.6,H,1,1,deng-geu-1,Deng Geu,2019
21,83,21,2019-01-24,North Dakota State,@,South Dakota State,REG (Conf),L 69-87,,19,4,9,0.444,0,2,0.0,4,7,0.571,0.444,4,4,1.0,1,4,5,1,0,0,1,1,12,8.5,A,0,1,deng-geu-1,Deng Geu,2019
22,84,22,2019-01-26,North Dakota State,@,Oral Roberts,REG (Conf),W 67-57,,12,1,1,1.0,0,0,,1,1,1.0,1.0,2,2,1.0,1,3,4,0,0,0,2,4,4,1.7,A,1,1,deng-geu-1,Deng Geu,2019
23,85,23,2019-02-02,North Dakota State,@,Western Illinois,REG (Conf),W 78-76,,17,8,12,0.667,3,5,0.6,5,7,0.714,0.792,3,4,0.75,0,3,3,1,1,0,1,3,22,16.8,A,1,1,deng-geu-1,Deng Geu,2019
24,86,24,2019-02-06,North Dakota State,@,North Dakota,REG (Conf),W 74-70,,19,4,7,0.571,1,1,1.0,3,6,0.5,0.643,2,4,0.5,0,8,8,1,0,1,3,2,11,6.9,A,1,1,deng-geu-1,Deng Geu,2019
25,87,25,2019-02-09,North Dakota State,,Denver,REG (Conf),W 81-71,,11,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,3,3,1,0,0,2,4,0,-2.7,H,1,1,deng-geu-1,Deng Geu,2019
26,88,26,2019-02-14,North Dakota State,,Oral Roberts,REG (Conf),W 85-73,,18,1,6,0.167,0,0,,1,6,0.167,0.167,2,2,1.0,0,4,4,0,0,0,0,0,4,1.4,H,1,1,deng-geu-1,Deng Geu,2019
27,89,27,2019-02-16,North Dakota State,,South Dakota State,REG (Conf),L 77-78,,13,1,5,0.2,0,2,0.0,1,3,0.333,0.2,0,0,,2,3,5,0,0,3,3,1,2,-0.1,H,0,1,deng-geu-1,Deng Geu,2019
28,90,28,2019-02-23,North Dakota State,,Omaha,REG (Conf),L 50-58,,20,5,10,0.5,0,3,0.0,5,7,0.714,0.5,0,0,,1,5,6,0,0,1,1,0,10,6.9,H,0,1,deng-geu-1,Deng Geu,2019
29,91,29,2019-02-28,North Dakota State,@,South Dakota,REG (Conf),L 65-75,,19,3,6,0.5,0,2,0.0,3,4,0.75,0.5,2,2,1.0,3,3,6,0,0,0,0,3,8,6.8,A,0,1,deng-geu-1,Deng Geu,2019
30,92,30,2019-03-02,North Dakota State,@,Purdue Fort Wayne,REG (Conf),W 69-66,,13,0,4,0.0,0,1,0.0,0,3,0.0,0.0,0,0,,0,3,3,0,1,0,2,0,0,-2.9,A,1,1,deng-geu-1,Deng Geu,2019
31,93,31,2019-03-10,North Dakota State,N,Oral Roberts,CTOURN,W 86-73,,9,2,3,0.667,0,0,,2,3,0.667,0.667,0,2,0.0,0,1,1,0,0,1,1,4,4,0.3,N,1,0,deng-geu-1,Deng Geu,2019
32,94,32,2019-03-11,North Dakota State,N,Western Illinois,CTOURN,W 76-73,,17,3,6,0.5,1,1,1.0,2,5,0.4,0.583,4,5,0.8,1,3,4,2,0,0,1,2,11,8.8,N,1,0,deng-geu-1,Deng Geu,2019
33,95,33,2019-03-12,North Dakota State,N,Omaha,CTOURN,W 73-63,,17,1,7,0.143,0,1,0.0,1,6,0.167,0.143,0,0,,2,4,6,1,0,1,1,2,2,-0.3,N,1,0,deng-geu-1,Deng Geu,2019
34,96,34,2019-03-20,North Dakota State,N,North Carolina Central,FIRST-FOUR,W 78-74,,16,1,2,0.5,0,1,0.0,1,1,1.0,0.5,1,2,0.5,2,1,3,0,0,0,2,3,3,0.1,N,1,0,deng-geu-1,Deng Geu,2019
35,97,35,2019-03-22,North Dakota State,N,Duke,ROUND-64,L 62-85,,19,1,5,0.2,0,2,0.0,1,3,0.333,0.2,4,4,1.0,1,2,3,0,0,0,1,1,6,2.8,N,0,0,deng-geu-1,Deng Geu,2019
