rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,69,1,2018-11-09,Iona,,Albany (NY),REG (Non-Conf),W 72-68,*,32,5,11,0.455,0,2,0.0,5,9,0.556,0.455,4,5,0.8,2,3,5,0,1,0,3,2,14,7.4,H,1,1,ej-crawford-1,E.J. Crawford,2019
2,70,2,2018-11-13,Iona,@,New Mexico,REG (Non-Conf),L 83-90,*,30,3,7,0.429,0,0,,3,7,0.429,0.429,10,14,0.714,1,2,3,1,0,0,2,3,16,9.5,A,0,1,ej-crawford-1,E.J. Crawford,2019
3,71,3,2018-11-19,Iona,N,Long Beach State,REG (Non-Conf),L 85-86,*,32,5,11,0.455,2,5,0.4,3,6,0.5,0.545,3,3,1.0,0,4,4,0,2,0,4,3,15,7.3,N,0,1,ej-crawford-1,E.J. Crawford,2019
4,72,4,2018-11-21,Iona,N,Hartford,REG (Non-Conf),W 80-75,*,36,8,12,0.667,0,2,0.0,8,10,0.8,0.667,3,3,1.0,0,3,3,5,1,1,2,4,19,16.3,N,1,1,ej-crawford-1,E.J. Crawford,2019
5,73,5,2018-11-24,Iona,@,Providence,REG (Non-Conf),L 79-91,*,38,8,18,0.444,3,7,0.429,5,11,0.455,0.528,2,2,1.0,2,3,5,1,1,0,1,2,21,13.8,A,0,1,ej-crawford-1,E.J. Crawford,2019
6,74,6,2018-11-27,Iona,@,Ohio,REG (Non-Conf),L 65-89,*,29,1,8,0.125,0,5,0.0,1,3,0.333,0.125,2,3,0.667,3,6,9,2,0,0,4,1,4,-0.7,A,0,1,ej-crawford-1,E.J. Crawford,2019
7,75,7,2018-12-01,Iona,@,VCU,REG (Non-Conf),L 59-88,*,35,5,12,0.417,1,3,0.333,4,9,0.444,0.458,5,5,1.0,1,7,8,0,0,0,1,1,16,11.0,A,0,1,ej-crawford-1,E.J. Crawford,2019
8,76,8,2018-12-09,Iona,N,Columbia,REG (Non-Conf),L 71-74,*,35,4,11,0.364,2,4,0.5,2,7,0.286,0.455,7,8,0.875,3,4,7,3,0,0,0,3,17,14.7,N,0,1,ej-crawford-1,E.J. Crawford,2019
9,77,9,2018-12-15,Iona,N,Princeton,REG (Non-Conf),L 81-85,*,34,7,14,0.5,5,6,0.833,2,8,0.25,0.679,2,4,0.5,1,2,3,1,0,0,2,2,21,12.4,N,0,1,ej-crawford-1,E.J. Crawford,2019
10,78,10,2018-12-22,Iona,@,Yale,REG (Non-Conf),L 84-99,*,33,9,14,0.643,2,6,0.333,7,8,0.875,0.714,3,4,0.75,0,3,3,1,1,0,0,1,23,18.6,A,0,1,ej-crawford-1,E.J. Crawford,2019
11,79,11,2018-12-30,Iona,,Holy Cross,REG (Non-Conf),L 71-78,*,31,5,10,0.5,0,1,0.0,5,9,0.556,0.5,1,2,0.5,2,2,4,1,2,0,3,2,11,6.5,H,0,1,ej-crawford-1,E.J. Crawford,2019
12,80,12,2019-01-03,Iona,,Monmouth,REG (Conf),W 103-84,*,30,6,8,0.75,3,5,0.6,3,3,1.0,0.938,5,6,0.833,0,5,5,5,1,1,1,3,20,20.9,H,1,1,ej-crawford-1,E.J. Crawford,2019
13,81,13,2019-01-05,Iona,,Fairfield,REG (Conf),W 94-87,*,35,9,14,0.643,2,3,0.667,7,11,0.636,0.714,2,3,0.667,3,3,6,1,2,0,3,3,22,16.9,H,1,1,ej-crawford-1,E.J. Crawford,2019
14,82,14,2019-01-11,Iona,@,Niagara,REG (Conf),L 90-95,,37,10,15,0.667,2,3,0.667,8,12,0.667,0.733,1,2,0.5,2,4,6,2,1,0,0,4,23,19.5,A,0,1,ej-crawford-1,E.J. Crawford,2019
15,83,15,2019-01-13,Iona,@,Canisius,REG (Conf),W 88-70,*,35,6,16,0.375,3,6,0.5,3,10,0.3,0.469,5,5,1.0,0,4,4,2,1,0,3,5,20,9.8,A,1,1,ej-crawford-1,E.J. Crawford,2019
16,84,16,2019-01-18,Iona,,Marist,REG (Conf),W 90-77,*,35,4,9,0.444,2,6,0.333,2,3,0.667,0.556,4,4,1.0,1,6,7,5,0,1,2,4,14,12.4,H,1,1,ej-crawford-1,E.J. Crawford,2019
17,85,17,2019-01-20,Iona,@,Monmouth,REG (Conf),L 81-83,*,34,3,11,0.273,1,6,0.167,2,5,0.4,0.318,0,0,,2,3,5,1,1,0,3,3,7,0.3,A,0,1,ej-crawford-1,E.J. Crawford,2019
18,86,18,2019-01-25,Iona,,Rider,REG (Conf),W 77-71,*,39,9,19,0.474,0,6,0.0,9,13,0.692,0.474,2,2,1.0,0,2,2,2,1,0,3,1,20,9.9,H,1,1,ej-crawford-1,E.J. Crawford,2019
