rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,38,1,2018-11-08,Liberty,,Maine-Fort Kent,REG (Non-Conf),W 89-40,*,21,2,6,0.333,2,5,0.4,0,1,0.0,0.5,3,4,0.75,1,4,5,3,0,1,3,0,9,6.9,H,1,1,elijah-cuffee-1,Elijah Cuffee,2019
2,39,2,2018-11-13,Liberty,,Trevecca-Naz,REG (Non-Conf),W 93-40,*,16,4,5,0.8,3,4,0.75,1,1,1.0,1.1,0,0,,0,1,1,2,1,0,1,3,11,9.6,H,1,1,elijah-cuffee-1,Elijah Cuffee,2019
3,40,3,2018-11-16,Liberty,@,Kent State,REG (Non-Conf),W 77-70,*,19,2,5,0.4,0,1,0.0,2,4,0.5,0.4,0,0,,0,1,1,2,1,0,3,5,4,-1.0,A,1,1,elijah-cuffee-1,Elijah Cuffee,2019
4,41,4,2018-11-19,Liberty,@,Vanderbilt,REG (Non-Conf),L 70-79,*,30,3,8,0.375,1,4,0.25,2,4,0.5,0.438,0,0,,1,2,3,3,0,0,1,3,7,3.8,A,0,1,elijah-cuffee-1,Elijah Cuffee,2019
5,42,5,2018-11-23,Liberty,,Alcorn State,REG (Non-Conf),W 76-54,*,28,6,8,0.75,3,5,0.6,3,3,1.0,0.938,0,0,,0,1,1,1,2,0,1,0,15,13.8,H,1,1,elijah-cuffee-1,Elijah Cuffee,2019
6,43,6,2018-11-25,Liberty,,Savannah State,REG (Non-Conf),W 82-56,*,25,5,8,0.625,3,5,0.6,2,3,0.667,0.813,0,0,,2,2,4,3,0,0,2,1,13,11.1,H,1,1,elijah-cuffee-1,Elijah Cuffee,2019
7,44,7,2018-11-28,Liberty,@,Navy,REG (Non-Conf),W 76-58,*,19,2,5,0.4,0,2,0.0,2,3,0.667,0.4,2,2,1.0,0,1,1,1,1,0,0,3,6,4.1,A,1,1,elijah-cuffee-1,Elijah Cuffee,2019
8,45,8,2018-12-01,Liberty,,Georgia State,REG (Non-Conf),W 78-52,*,34,6,11,0.545,5,7,0.714,1,4,0.25,0.773,2,2,1.0,0,3,3,5,2,1,2,1,19,18.4,H,1,1,elijah-cuffee-1,Elijah Cuffee,2019
9,46,9,2018-12-03,Liberty,@,Georgetown,REG (Non-Conf),L 78-88,*,28,3,8,0.375,2,5,0.4,1,3,0.333,0.5,0,0,,1,2,3,2,2,0,4,2,8,3.5,A,0,1,elijah-cuffee-1,Elijah Cuffee,2019
10,47,10,2018-12-11,Liberty,,South Carolina State,REG (Non-Conf),W 79-55,*,29,3,8,0.375,3,5,0.6,0,3,0.0,0.563,2,3,0.667,0,0,0,3,3,1,2,0,11,10.0,H,1,1,elijah-cuffee-1,Elijah Cuffee,2019
