rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,91,1,2018-11-06,Abilene Christian,,Arl Baptist,REG (Non-Conf),W 107-54,*,13,1,4,0.25,0,2,0.0,1,2,0.5,0.25,1,2,0.5,0,3,3,2,0,0,0,3,3,1.3,H,1,1,hayden-farquhar-1,Hayden Farquhar,2019
2,92,2,2018-11-09,Abilene Christian,,Arkansas State,REG (Non-Conf),W 94-73,,6,1,2,0.5,0,0,,1,2,0.5,0.5,1,2,0.5,2,0,2,0,0,0,0,1,3,2.6,H,1,1,hayden-farquhar-1,Hayden Farquhar,2019
3,93,3,2018-11-15,Abilene Christian,@,Denver,REG (Non-Conf),W 67-61,,8,1,3,0.333,1,3,0.333,0,0,,0.5,2,2,1.0,1,0,1,1,0,1,0,3,5,4.2,A,1,1,hayden-farquhar-1,Hayden Farquhar,2019
4,94,4,2018-11-22,Abilene Christian,N,Elon,REG (Non-Conf),W 72-56,,10,1,2,0.5,1,1,1.0,0,1,0.0,0.75,0,0,,0,1,1,0,1,0,0,1,3,2.9,N,1,1,hayden-farquhar-1,Hayden Farquhar,2019
5,95,5,2018-11-23,Abilene Christian,@,Pacific,REG (Non-Conf),W 73-71,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,A,1,1,hayden-farquhar-1,Hayden Farquhar,2019
6,96,6,2018-11-24,Abilene Christian,N,UC Riverside,REG (Non-Conf),W 60-48,,6,2,4,0.5,1,2,0.5,1,2,0.5,0.625,0,0,,0,0,0,0,0,0,0,1,5,2.6,N,1,1,hayden-farquhar-1,Hayden Farquhar,2019
7,97,7,2018-11-27,Abilene Christian,,Howard Payne,REG (Non-Conf),W 90-53,,12,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,1,1,2,2,2,0,1,3,2,3.9,H,1,1,hayden-farquhar-1,Hayden Farquhar,2019
8,98,8,2018-12-01,Abilene Christian,@,Pepperdine,REG (Non-Conf),L 62-77,,8,1,2,0.5,0,1,0.0,1,1,1.0,0.5,2,2,1.0,0,0,0,0,0,0,0,0,4,3.0,A,0,1,hayden-farquhar-1,Hayden Farquhar,2019
9,99,9,2018-12-04,Abilene Christian,,Campbell,REG (Non-Conf),W 83-68,,12,2,4,0.5,0,1,0.0,2,3,0.667,0.5,2,2,1.0,0,2,2,1,2,0,1,1,6,5.9,H,1,1,hayden-farquhar-1,Hayden Farquhar,2019
10,100,10,2018-12-08,Abilene Christian,,Schreiner,REG (Non-Conf),W 93-53,,11,6,9,0.667,2,3,0.667,4,6,0.667,0.778,1,1,1.0,3,2,5,0,0,2,2,1,15,12.8,H,1,1,hayden-farquhar-1,Hayden Farquhar,2019
11,101,11,2018-12-15,Abilene Christian,@,Texas Tech,REG (Non-Conf),L 48-82,,9,0,5,0.0,0,5,0.0,0,0,,0.0,0,1,0.0,0,0,0,0,0,0,0,3,0,-5.1,A,0,1,hayden-farquhar-1,Hayden Farquhar,2019
12,102,12,2018-12-21,Abilene Christian,@,Southeast Missouri State,REG (Non-Conf),W 70-68,,2,0,0,,0,0,,0,0,,,0,2,0.0,0,0,0,0,0,0,0,0,0,-0.8,A,1,1,hayden-farquhar-1,Hayden Farquhar,2019
13,103,13,2018-12-29,Abilene Christian,,McMurry,REG (Non-Conf),W 88-40,,13,5,10,0.5,1,2,0.5,4,8,0.5,0.55,0,0,,6,2,8,1,0,0,1,0,11,10.5,H,1,1,hayden-farquhar-1,Hayden Farquhar,2019
14,104,14,2019-01-02,Abilene Christian,,New Orleans,REG (Conf),W 68-58,,12,1,1,1.0,0,0,,1,1,1.0,1.0,1,2,0.5,0,0,0,0,2,0,0,4,3,2.7,H,1,1,hayden-farquhar-1,Hayden Farquhar,2019
15,105,15,2019-01-05,Abilene Christian,@,Sam Houston State,REG (Conf),L 68-71,*,16,2,6,0.333,1,2,0.5,1,4,0.25,0.417,2,2,1.0,2,1,3,0,1,0,2,1,7,3.9,A,0,1,hayden-farquhar-1,Hayden Farquhar,2019
16,106,16,2019-01-09,Abilene Christian,@,McNeese State,REG (Conf),W 73-72,,17,5,6,0.833,2,3,0.667,3,3,1.0,1.0,0,0,,1,3,4,0,0,1,1,4,12,9.5,A,1,1,hayden-farquhar-1,Hayden Farquhar,2019
17,107,17,2019-01-12,Abilene Christian,@,Southeastern Louisiana,REG (Conf),W 75-72,,21,1,4,0.25,0,2,0.0,1,2,0.5,0.25,0,0,,2,3,5,0,0,0,2,4,2,-1.7,A,1,1,hayden-farquhar-1,Hayden Farquhar,2019
18,108,18,2019-01-16,Abilene Christian,,Houston Baptist,REG (Conf),W 75-68,,7,2,2,1.0,0,0,,2,2,1.0,1.0,0,0,,1,1,2,0,0,0,1,3,4,2.2,H,1,1,hayden-farquhar-1,Hayden Farquhar,2019
19,109,19,2019-01-19,Abilene Christian,,Northwestern State,REG (Conf),W 78-69,,14,1,6,0.167,0,2,0.0,1,4,0.25,0.167,1,4,0.25,2,1,3,1,0,0,1,3,3,-1.8,H,1,1,hayden-farquhar-1,Hayden Farquhar,2019
20,110,20,2019-01-23,Abilene Christian,@,Stephen F. Austin,REG (Conf),L 60-61,,18,8,9,0.889,3,4,0.75,5,5,1.0,1.056,0,0,,3,2,5,1,1,1,0,1,19,20.6,A,0,1,hayden-farquhar-1,Hayden Farquhar,2019
21,111,21,2019-01-26,Abilene Christian,,Central Arkansas,REG (Conf),W 79-56,,14,2,4,0.5,0,1,0.0,2,3,0.667,0.5,0,0,,1,2,3,1,1,2,0,2,4,5.6,H,1,1,hayden-farquhar-1,Hayden Farquhar,2019
22,112,22,2019-01-30,Abilene Christian,,Texas A&M–Corpus Christi,REG (Conf),W 78-71,,14,2,7,0.286,1,2,0.5,1,5,0.2,0.357,4,4,1.0,1,1,2,5,2,0,0,2,9,10.6,H,1,1,hayden-farquhar-1,Hayden Farquhar,2019
23,113,23,2019-02-06,Abilene Christian,@,Lamar,REG (Conf),W 75-64,,20,0,5,0.0,0,3,0.0,0,2,0.0,0.0,2,2,1.0,1,3,4,2,0,0,3,4,2,-3.1,A,1,1,hayden-farquhar-1,Hayden Farquhar,2019
24,114,24,2019-02-09,Abilene Christian,,Sam Houston State,REG (Conf),L 85-90 (2OT),,16,1,3,0.333,0,2,0.0,1,1,1.0,0.333,1,2,0.5,0,0,0,0,2,0,1,3,3,0.7,H,0,1,hayden-farquhar-1,Hayden Farquhar,2019
25,115,25,2019-02-13,Abilene Christian,@,Nicholls State,REG (Conf),W 64-48,,13,2,3,0.667,1,2,0.5,1,1,1.0,0.833,0,0,,2,3,5,0,2,0,1,1,5,6.6,A,1,1,hayden-farquhar-1,Hayden Farquhar,2019
26,116,26,2019-02-16,Abilene Christian,@,Incarnate Word,REG (Conf),W 68-48,,9,2,3,0.667,1,2,0.5,1,1,1.0,0.833,0,0,,0,1,1,1,0,0,2,3,5,1.5,A,1,1,hayden-farquhar-1,Hayden Farquhar,2019
27,117,27,2019-02-23,Abilene Christian,,Southeastern Louisiana,REG (Conf),L 66-75,,27,6,7,0.857,3,4,0.75,3,3,1.0,1.071,1,1,1.0,1,0,1,0,2,1,1,4,16,14.3,H,0,1,hayden-farquhar-1,Hayden Farquhar,2019
28,118,28,2019-02-27,Abilene Christian,@,Texas A&M–Corpus Christi,REG (Conf),W 73-64,,17,5,6,0.833,2,3,0.667,3,3,1.0,1.0,0,0,,2,1,3,1,0,0,0,2,12,11.4,A,1,1,hayden-farquhar-1,Hayden Farquhar,2019
29,119,29,2019-03-02,Abilene Christian,@,Central Arkansas,REG (Conf),W 67-55,,19,3,7,0.429,3,6,0.5,0,1,0.0,0.643,0,0,,0,4,4,1,0,0,0,3,9,6.0,A,1,1,hayden-farquhar-1,Hayden Farquhar,2019
30,120,30,2019-03-05,Abilene Christian,,Stephen F. Austin,REG (Conf),W 72-58,,24,6,9,0.667,3,6,0.5,3,3,1.0,0.833,0,1,0.0,3,1,4,1,1,0,1,2,15,13.0,H,1,1,hayden-farquhar-1,Hayden Farquhar,2019
31,121,31,2019-03-09,Abilene Christian,,Incarnate Word,REG (Conf),W 81-52,*,23,5,9,0.556,4,7,0.571,1,2,0.5,0.778,0,0,,0,4,4,3,1,0,0,1,14,13.6,H,1,1,hayden-farquhar-1,Hayden Farquhar,2019
32,122,32,2019-03-15,Abilene Christian,N,Southeastern Louisiana,CTOURN,W 69-66,*,26,0,9,0.0,0,6,0.0,0,3,0.0,0.0,1,2,0.5,0,2,2,1,1,0,2,2,1,-6.2,N,1,0,hayden-farquhar-1,Hayden Farquhar,2019
33,123,33,2019-03-16,Abilene Christian,N,New Orleans,CTOURN,W 77-60,*,24,6,9,0.667,2,5,0.4,4,4,1.0,0.778,0,0,,0,8,8,1,1,0,1,4,14,11.6,N,1,0,hayden-farquhar-1,Hayden Farquhar,2019
34,124,34,2019-03-21,Abilene Christian,N,Kentucky,ROUND-64,L 44-79,*,18,3,7,0.429,2,6,0.333,1,1,1.0,0.571,0,0,,0,0,0,1,0,0,0,3,8,3.8,N,0,0,hayden-farquhar-1,Hayden Farquhar,2019
