rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,38,1,2018-11-06,Louisiana State,,Southeastern Louisiana,REG (Non-Conf),W 94-63,,21,1,2,0.5,0,0,1,2,0.5,0.5,5,7,0.714,0,4,4,0,0,3,1,2,7,6.7,H,1,1,kavell-bigby-williams-1,Kavell Bigby-Williams,2019
2,39,2,2018-11-09,Louisiana State,,UNC Greensboro,REG (Non-Conf),W 97-91,,8,1,2,0.5,0,0,1,2,0.5,0.5,0,0,,2,1,3,0,0,2,0,1,2,3.7,H,1,1,kavell-bigby-williams-1,Kavell Bigby-Williams,2019
3,40,3,2018-11-13,Louisiana State,,Memphis,REG (Non-Conf),W 85-76,,17,7,7,1.0,0,0,7,7,1.0,1.0,0,0,,3,1,4,1,0,1,0,2,14,14.9,H,1,1,kavell-bigby-williams-1,Kavell Bigby-Williams,2019
4,41,4,2018-11-16,Louisiana State,,Louisiana Tech,REG (Non-Conf),W 74-67,*,20,2,3,0.667,0,0,2,3,0.667,0.667,1,2,0.5,3,3,6,2,2,3,0,1,5,11.4,H,1,1,kavell-bigby-williams-1,Kavell Bigby-Williams,2019
5,42,5,2018-11-22,Louisiana State,N,College of Charleston,REG (Non-Conf),W 67-55,,12,2,5,0.4,0,0,2,5,0.4,0.4,0,2,0.0,0,3,3,0,0,0,1,3,4,-0.8,N,1,1,kavell-bigby-williams-1,Kavell Bigby-Williams,2019
6,43,6,2018-11-23,Louisiana State,N,Florida State,REG (Non-Conf),L 76-79 (OT),,9,1,1,1.0,0,0,1,1,1.0,1.0,0,0,,0,1,1,0,0,2,0,4,2,1.8,N,0,1,kavell-bigby-williams-1,Kavell Bigby-Williams,2019
7,44,7,2018-11-25,Louisiana State,N,Oklahoma State,REG (Non-Conf),L 77-90,,18,6,9,0.667,0,0,6,9,0.667,0.667,0,0,,4,3,7,0,0,1,0,3,12,11.3,N,0,1,kavell-bigby-williams-1,Kavell Bigby-Williams,2019
8,45,8,2018-12-01,Louisiana State,,Grambling State,REG (Non-Conf),W 78-57,*,24,4,6,0.667,0,0,4,6,0.667,0.667,1,4,0.25,0,5,5,1,1,9,4,1,9,10.3,H,1,1,kavell-bigby-williams-1,Kavell Bigby-Williams,2019
9,46,9,2018-12-09,Louisiana State,,Incarnate Word,REG (Non-Conf),W 91-50,,27,6,9,0.667,0,0,6,9,0.667,0.667,2,2,1.0,6,4,10,0,0,2,2,3,14,13.7,H,1,1,kavell-bigby-williams-1,Kavell Bigby-Williams,2019
10,47,10,2018-12-12,Louisiana State,@,Houston,REG (Non-Conf),L 76-82,,6,0,0,,0,0,0,0,,,4,4,1.0,0,2,2,0,0,2,0,2,4,5.2,A,0,1,kavell-bigby-williams-1,Kavell Bigby-Williams,2019
11,48,11,2018-12-15,Louisiana State,N,St. Mary's (CA),REG (Non-Conf),W 78-74,*,18,1,2,0.5,0,0,1,2,0.5,0.5,3,4,0.75,0,2,2,0,2,1,1,3,5,4.7,N,1,1,kavell-bigby-williams-1,Kavell Bigby-Williams,2019
12,49,12,2018-12-21,Louisiana State,,Furman,REG (Non-Conf),W 75-57,*,27,4,6,0.667,0,0,4,6,0.667,0.667,2,6,0.333,2,8,10,0,1,0,1,4,10,8.0,H,1,1,kavell-bigby-williams-1,Kavell Bigby-Williams,2019
13,50,13,2018-12-28,Louisiana State,,Louisiana–Monroe,REG (Non-Conf),W 81-69,,7,0,0,,0,0,0,0,,,0,0,,1,0,1,0,0,0,0,2,0,-0.1,H,1,1,kavell-bigby-williams-1,Kavell Bigby-Williams,2019
