rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,68,1,2018-11-06,VCU,,Gardner-Webb,REG (Non-Conf),W 69-57,,9,3,5,0.6,1,2,0.5,2,3,0.667,0.7,2,3,0.667,0,1,1,1,2,0,1,1,9,7.9,H,1,1,marcus-evans-2,Marcus Evans,2019
2,69,2,2018-11-09,VCU,,Hampton,REG (Non-Conf),W 69-57,,19,3,8,0.375,2,5,0.4,1,3,0.333,0.5,5,6,0.833,0,5,5,3,2,0,3,0,13,10.8,H,1,1,marcus-evans-2,Marcus Evans,2019
3,70,3,2018-11-12,VCU,,Bowling Green,REG (Non-Conf),W 72-61,,17,3,7,0.429,1,3,0.333,2,4,0.5,0.5,5,5,1.0,0,0,0,3,5,0,1,3,12,13.2,H,1,1,marcus-evans-2,Marcus Evans,2019
4,71,4,2018-11-19,VCU,N,Temple,REG (Non-Conf),W 57-51,*,24,7,12,0.583,2,5,0.4,5,7,0.714,0.667,5,8,0.625,0,3,3,1,0,0,6,2,21,9.0,N,1,1,marcus-evans-2,Marcus Evans,2019
5,72,5,2018-11-20,VCU,N,St. John's (NY),REG (Non-Conf),L 86-87 (OT),*,27,4,11,0.364,1,6,0.167,3,5,0.6,0.409,3,7,0.429,0,0,0,1,2,1,6,4,12,0.1,N,0,1,marcus-evans-2,Marcus Evans,2019
6,73,6,2018-11-24,VCU,,Hofstra,REG (Non-Conf),W 69-67 (OT),*,35,6,15,0.4,0,7,0.0,6,8,0.75,0.4,1,2,0.5,0,1,1,5,3,0,1,4,13,8.7,H,1,1,marcus-evans-2,Marcus Evans,2019
7,74,7,2018-11-28,VCU,@,Old Dominion,REG (Non-Conf),L 52-62,*,30,5,13,0.385,1,4,0.25,4,9,0.444,0.423,3,4,0.75,1,0,1,0,0,0,2,3,14,4.0,A,0,1,marcus-evans-2,Marcus Evans,2019
8,75,8,2018-12-01,VCU,,Iona,REG (Non-Conf),W 88-59,*,23,4,10,0.4,3,5,0.6,1,5,0.2,0.55,8,10,0.8,1,5,6,1,3,0,1,2,19,16.9,H,1,1,marcus-evans-2,Marcus Evans,2019
9,76,9,2018-12-05,VCU,@,Texas,REG (Non-Conf),W 54-53,*,27,4,13,0.308,1,9,0.111,3,4,0.75,0.346,7,7,1.0,2,2,4,3,1,0,3,0,16,10.6,A,1,1,marcus-evans-2,Marcus Evans,2019
10,77,10,2018-12-09,VCU,@,Virginia,REG (Non-Conf),L 49-57,*,27,1,10,0.1,1,6,0.167,0,4,0.0,0.15,0,0,,0,1,1,1,0,0,3,4,3,-7.2,A,0,1,marcus-evans-2,Marcus Evans,2019
11,78,11,2018-12-15,VCU,,College of Charleston,REG (Non-Conf),L 79-83,*,30,2,9,0.222,0,2,0.0,2,7,0.286,0.222,6,10,0.6,1,2,3,3,3,0,6,4,10,1.7,H,0,1,marcus-evans-2,Marcus Evans,2019
12,79,12,2018-12-22,VCU,,Wichita State,REG (Non-Conf),W 70-54,*,30,5,12,0.417,1,5,0.2,4,7,0.571,0.458,4,4,1.0,1,2,3,5,1,0,1,2,15,12.6,H,1,1,marcus-evans-2,Marcus Evans,2019
13,80,13,2018-12-30,VCU,,Rider,REG (Non-Conf),W 90-79,*,29,4,9,0.444,3,6,0.5,1,3,0.333,0.611,3,4,0.75,0,5,5,5,2,0,4,1,14,11.5,H,1,1,marcus-evans-2,Marcus Evans,2019
14,81,14,2019-01-05,VCU,@,Fordham,REG (Conf),W 76-51,*,21,6,6,1.0,1,1,1.0,5,5,1.0,1.083,4,4,1.0,0,1,1,3,3,0,2,3,17,17.4,A,1,1,marcus-evans-2,Marcus Evans,2019
15,82,15,2019-01-09,VCU,,La Salle,REG (Conf),W 69-63,*,32,4,11,0.364,1,3,0.333,3,8,0.375,0.409,3,4,0.75,0,8,8,2,1,0,4,3,12,5.1,H,1,1,marcus-evans-2,Marcus Evans,2019
16,83,16,2019-01-12,VCU,@,Davidson,REG (Conf),L 57-64,*,32,6,13,0.462,1,7,0.143,5,6,0.833,0.5,3,5,0.6,0,7,7,2,1,0,0,4,16,11.4,A,0,1,marcus-evans-2,Marcus Evans,2019
17,84,17,2019-01-16,VCU,,Dayton,REG (Conf),W 76-71,*,29,6,13,0.462,1,4,0.25,5,9,0.556,0.5,4,4,1.0,1,3,4,2,1,0,0,4,17,12.7,H,1,1,marcus-evans-2,Marcus Evans,2019
18,85,18,2019-01-19,VCU,,Massachusetts,REG (Conf),W 68-50,*,24,1,6,0.167,0,3,0.0,1,3,0.333,0.167,6,7,0.857,0,4,4,6,1,1,2,2,8,8.1,H,1,1,marcus-evans-2,Marcus Evans,2019
19,86,19,2019-01-23,VCU,@,Rhode Island,REG (Conf),L 65-71,*,35,4,8,0.5,2,5,0.4,2,3,0.667,0.625,3,4,0.75,0,5,5,6,2,0,3,4,13,11.7,A,0,1,marcus-evans-2,Marcus Evans,2019
20,87,20,2019-01-26,VCU,@,Duquesne,REG (Conf),W 80-74,*,32,6,11,0.545,1,3,0.333,5,8,0.625,0.591,9,11,0.818,0,0,0,2,3,0,4,2,22,15.5,A,1,1,marcus-evans-2,Marcus Evans,2019
21,88,21,2019-02-02,VCU,,George Mason,REG (Conf),W 79-63,*,26,2,7,0.286,0,4,0.0,2,3,0.667,0.286,7,9,0.778,1,2,3,5,1,2,2,4,11,9.7,H,1,1,marcus-evans-2,Marcus Evans,2019
22,89,22,2019-02-06,VCU,@,George Washington,REG (Conf),W 60-50,*,34,2,10,0.2,1,7,0.143,1,3,0.333,0.25,5,7,0.714,1,3,4,4,2,0,2,2,10,6.6,A,1,1,marcus-evans-2,Marcus Evans,2019
23,90,23,2019-02-09,VCU,@,St. Bonaventure,REG (Conf),W 85-55,*,25,4,9,0.444,0,2,0.0,4,7,0.571,0.444,4,5,0.8,0,2,2,4,6,0,1,3,12,14.1,A,1,1,marcus-evans-2,Marcus Evans,2019
24,91,24,2019-02-13,VCU,,Richmond,REG (Conf),W 81-60,*,29,5,7,0.714,2,4,0.5,3,3,1.0,0.857,4,5,0.8,0,0,0,5,2,0,4,3,16,13.0,H,1,1,marcus-evans-2,Marcus Evans,2019
25,92,25,2019-02-16,VCU,@,Dayton,REG (Conf),W 69-68,*,34,5,13,0.385,0,4,0.0,5,9,0.556,0.385,2,2,1.0,1,5,6,3,0,0,5,2,12,3.4,A,1,1,marcus-evans-2,Marcus Evans,2019
26,93,26,2019-02-19,VCU,,Rhode Island,REG (Conf),W 76-42,*,24,3,7,0.429,1,4,0.25,2,3,0.667,0.5,2,2,1.0,0,2,2,9,4,0,2,3,9,13.0,H,1,1,marcus-evans-2,Marcus Evans,2019
27,94,27,2019-02-23,VCU,,George Washington,REG (Conf),W 85-57,*,24,6,10,0.6,4,6,0.667,2,4,0.5,0.8,9,10,0.9,0,2,2,2,1,0,0,1,25,22.6,H,1,1,marcus-evans-2,Marcus Evans,2019
28,95,28,2019-02-26,VCU,,Saint Louis,REG (Conf),W 71-65,*,31,7,13,0.538,3,8,0.375,4,5,0.8,0.654,3,5,0.6,3,1,4,4,1,0,3,3,20,14.9,H,1,1,marcus-evans-2,Marcus Evans,2019
