rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,66,1,2018-11-06,Marquette,,UMBC,REG (Non-Conf),W 67-42,*,32,5,16,0.313,2,12,0.167,3,4,0.75,0.375,3,4,0.75,0,8,8,7,0,0,2,2,15,9.9,H,1,1,markus-howard-1,Markus Howard,2019
2,67,2,2018-11-10,Marquette,,Bethune-Cookman,REG (Non-Conf),W 92-59,*,27,10,16,0.625,7,10,0.7,3,6,0.5,0.844,10,11,0.909,1,7,8,5,0,0,2,1,37,33.3,H,1,1,markus-howard-1,Markus Howard,2019
3,68,3,2018-11-14,Marquette,@,Indiana,REG (Non-Conf),L 73-96,*,34,6,14,0.429,1,5,0.2,5,9,0.556,0.464,5,6,0.833,0,2,2,4,0,0,4,2,18,8.8,A,0,1,markus-howard-1,Markus Howard,2019
4,69,4,2018-11-17,Marquette,,Presbyterian,REG (Non-Conf),W 74-55,*,35,4,7,0.571,2,5,0.4,2,2,1.0,0.714,0,0,,0,5,5,6,2,0,7,1,10,7.0,H,1,1,markus-howard-1,Markus Howard,2019
5,70,5,2018-11-21,Marquette,N,Kansas,REG (Non-Conf),L 68-77,*,38,6,23,0.261,4,11,0.364,2,12,0.167,0.348,2,2,1.0,0,3,3,6,0,0,2,1,18,7.0,N,0,1,markus-howard-1,Markus Howard,2019
6,71,6,2018-11-23,Marquette,N,Louisville,REG (Non-Conf),W 77-74 (OT),*,44,7,16,0.438,2,6,0.333,5,10,0.5,0.5,5,5,1.0,0,3,3,5,2,0,1,4,21,16.4,N,1,1,markus-howard-1,Markus Howard,2019
7,72,7,2018-11-27,Marquette,,Charleston Southern,REG (Non-Conf),W 76-55,*,33,6,16,0.375,5,14,0.357,1,2,0.5,0.531,0,0,,1,6,7,4,3,0,4,0,17,12.5,H,1,1,markus-howard-1,Markus Howard,2019
8,73,8,2018-12-01,Marquette,,Kansas State,REG (Non-Conf),W 83-71,*,35,11,17,0.647,4,10,0.4,7,7,1.0,0.765,19,21,0.905,0,2,2,1,1,0,5,1,45,33.6,H,1,1,markus-howard-1,Markus Howard,2019
9,74,9,2018-12-04,Marquette,,UTEP,REG (Non-Conf),W 76-69,*,38,6,17,0.353,2,8,0.25,4,9,0.444,0.412,7,7,1.0,0,3,3,5,1,0,2,3,21,13.7,H,1,1,markus-howard-1,Markus Howard,2019
10,75,10,2018-12-08,Marquette,,Wisconsin,REG (Non-Conf),W 74-69 (OT),*,41,7,29,0.241,1,7,0.143,6,22,0.273,0.259,12,15,0.8,1,1,2,4,1,0,3,1,27,9.7,H,1,1,markus-howard-1,Markus Howard,2019
